name,city,country,address,phone,website,openingHours,kashrut,restaurantType,category,priceRange,notes,sourceUrl,scrapedAt
"מסעדת חנה  Hanna","Budapest","Hungary","Budapest, Kazinczy u. 29, 1074.טלפון:  T +3613421072","+3613421072","https://www.hannarestaurant.hu/he/shabbat","ראשון-חמישי 11:30 – 22:00, שישי 11:00 – 16:30.","מהדרין בהשגחת מערכת הכשרות CRC שע""י התאחדות הרבנים דארה""ב וקנדה.","meat","","€€","מסעדה מסורתית של אוכל יהודי ביתי כשרה למהדרין, באזור היהודי בבודפשט.לאחרונה שופץ המקום ונפתח מחדש.במקום מתקיימות סעודות שבת, להן נדרשת הזמנה מראש. מחיר סעודות שבת: 70 יורו.","https://metaylimbkipa.com/kosher-restaurants-abroad/kosher-restaurants-in-budapest/","2026-05-27T13:03:58.071Z"
"מסעדת כרמל  Carmel","Budapest","Hungary","31. Kazinczy St.","+36 1 3221834","","ראשון-חמישי 12:00 – 22:30, מטבח סוגר ב- 22:00.","מהדרין בהשגחת הרב ברוך אוברלנדר, חב""ד בודפשט.","meat","","€€","מסעדה בשרית כשרה המציעה מטבח קלאסי יהודי/הונגרי. מסעדת כרמל נמצאת באזור היהודי בבודפשט,ליד בית הכנסת קזניצי. יורדים אל אולם המסעדה הממוקם במפלס התחתון מתחת לקומת הקרקע, ונכנסים לאווירה אחרת. את האווירה מנעימה תזמורת ""כליזמרים"" אותנטית עם שירים יהודיים קלאסיים בסגנון ""לו הייתי רוטשילד"" וכד'.מנה מיוחדת: אל תפספסו את פלטת הבשרים המיוחדת!","https://metaylimbkipa.com/kosher-restaurants-abroad/kosher-restaurants-in-budapest/","2026-05-27T13:03:58.071Z"
"פלאפל בר  Falafel Bar","Budapest","Hungary","Budapest, Wesselényi utca 30.","","","ראשון-חמישי 11:30 – 24:00.","מהדרין בהשגחת הרב ברוך אוברלנדר, חב""ד בודפשט.","meat","","","חנות פלאפל ומסעדת מזון מהיר מבית ""קפה תמר"". במקום מציעים מלבד מציעים פלאפל גם מנות בסגנון ים-תיכוני כמו שקשוקה, שווארמה כשרה ועוד.","https://metaylimbkipa.com/kosher-restaurants-abroad/kosher-restaurants-in-budapest/","2026-05-27T13:03:58.072Z"
"מסעדת מיטאפ  MeatUp","Budapest","Hungary","Budapest, Nagy Diófa u. 4.טלפון:  T +36203885453","+36203885453","","ראשון-חמישי 13:00-22:00.","מהדרין בהשגחת הרב ברוך אוברלנדר, חב""ד בודפשט.","meat","","€€","מסעדת מזון מהיר בשרית.","https://metaylimbkipa.com/kosher-restaurants-abroad/kosher-restaurants-in-budapest/","2026-05-27T13:03:58.072Z"
"זמיר דיינר בר","Budapest","Hungary","Dohány utca 54, Budapest","+36 20 272 6017וואטסאפ:  T +972 50 5311774","","שני-חמישי 17:00-22:00.","מהדרין בהשגחת הרב ברוך אוברלנדר, חב""ד בודפשט.","meat","","","חדש! מסעדה בשרית כשרה בבודפשט עם תפריט מגוון בסגנון דיינר אמריקאי. ניתן למצוא במקום גם סושי.","https://metaylimbkipa.com/kosher-restaurants-abroad/kosher-restaurants-in-budapest/","2026-05-27T13:03:58.072Z"
"מסעדת אשיז׳ Ashis","Budapest","Hungary","Budapest, Dob u. 5","+36 20 2983763","","ראשון-חמישי 12:00-2:00, מוצ""ש 20:45-2:00.","מהדרין בהשגחת הרב נחמיה רוטנברג.","meat","","€€","מסעדת סטריט-פוד בסגנון ישראלי. מציעה פלאפל, חומוס, שניצל, המבורגר ועוד.","https://metaylimbkipa.com/kosher-restaurants-abroad/kosher-restaurants-in-budapest/","2026-05-27T13:03:58.072Z"
"מסעדת קאצ'אפ Catchup","Budapest","Hungary","Budapest, Nagy Diófa u. 4, 1072.","+36 70 7541948","","ראשון-חמישי 13:00-22:00.","מהדרין בהשגחת הרב ברוך אוברלנדר, חב""ד בודפשט.","meat","","","מסעדה בסגנון אסיאתי נפתחה בבודפשט ממש בימים אלה (קיץ 2023). במקום מגישים מנות פרווה/צמחוני/דגים כמו כריכי באו, פוקי בול, פיש אנד צ'יפס ועוד.","https://metaylimbkipa.com/kosher-restaurants-abroad/kosher-restaurants-in-budapest/","2026-05-27T13:03:58.072Z"
"שייט בבודפשט","Budapest","Hungary","[map: https://maps.app.goo.gl/65B6ZaprFgE4xLUs5]","","","","","meat","","€","שייט על נהר הדנובה במחיר הכי זול ומשתלם שיש – 12 € בלבד!","https://metaylimbkipa.com/kosher-restaurants-abroad/kosher-restaurants-in-budapest/","2026-05-27T13:03:58.072Z"
"אוטובוס אמפיבי בבודפשט - חוויה בים וביבשה","Budapest","Hungary","Budapest, Nagy Diófa u. [map: https://maps.app.goo.gl/E6nSAdgzeQyswk3Y7]","+36 30 1500150","https://www.tiqets.com/en/budapest-c68199/riverride-budapest-p975209?partner=metaylimbkipa","ראשון-חמישי 8:00-18:00, שישי 8:00-14:00.","מהדרין בהשגחת הרב ברוך אוברלנדר, חב""ד בודפשט.","meat","","","הדרך המהנה ביותר לחוות את בודפשט: אוטובוס שהופך לסירה!","https://metaylimbkipa.com/kosher-restaurants-abroad/kosher-restaurants-in-budapest/","2026-05-27T13:03:58.072Z"
"קבוצת וואטסאפ לבודפשט - כל מה שתצטרכו לטיול הבא!","Budapest","Hungary","","","https://tinyurl.com/mr3vu7x6","","","meat","","","להצטרפות לקבוצת הוואטסאפ של בודפשט מבית ""מטיילים בכיפה"" פשוט לחצו כאן >","https://metaylimbkipa.com/kosher-restaurants-abroad/kosher-restaurants-in-budapest/","2026-05-27T13:03:58.072Z"
"שייט בבודפשט","Budapest","Hungary","","","https://www.tiqets.com/en/things-to-do-in-budapest-c68199/tickets-for-budapest-sightseeing-cruise-p1032099/?partner=metaylimbkipa","",".במלון מרכז כושר, והוא נגיש לנכים.החדרים מפוארים, מרווחים וממוזגים וכוללים מיניבר וקומקום חשמלי.שירות אדיב. קרוב לתחבורה ציבורית.","meat","","€","אל תוותרו על שייט בבודפשט – חוויה מדהימה!","https://metaylimbkipa.com/kosher-restaurants-abroad/kosher-restaurants-in-budapest/","2026-05-27T13:03:58.074Z"
"שאלות נפוצות לגבי מסעדות כשרות בבודפשט","Budapest","Hungary","","","https://chabadhungary.com/shabbat-meals/","","","meat","","","כן. במאפייה הכשרה UpTown מוכרים גם קיורטוש.","https://metaylimbkipa.com/kosher-restaurants-abroad/kosher-restaurants-in-budapest/","2026-05-27T13:03:58.074Z"
"קרעסטיר – מורשת הכנסת האורחים של רבי ישעיה'לה","Budapest","Hungary","","","https://easykoshertravel.com/kosher-restaurants-in-budapest/","","","meat","","","Kosher restaurants in Budapest in English You can find on Easy Kosher Travel website.","https://metaylimbkipa.com/kosher-restaurants-abroad/kosher-restaurants-in-budapest/","2026-05-27T13:03:58.075Z"
"13 תגובות","Budapest","Hungary","","","https://metaylimbkipa.com/kosher-restaurants-abroad/kosher-restaurants-in-budapest/#comment-39552","","","meat","","","נסו ליצור קשר עם בית חב""ד בודפשט:
https://chabadhungary.com/","https://metaylimbkipa.com/kosher-restaurants-abroad/kosher-restaurants-in-budapest/","2026-05-27T13:03:58.076Z"
"השארת תגובה","Budapest","Hungary","","","https://metaylimbkipa.com/kosher-restaurants-abroad/kosher-restaurants-in-budapest/#respond","","","meat","","","Δ
document.getElementById( ""ak_js_1"" ).setAttribute( ""value"", ( new Date() ).getTime() );","https://metaylimbkipa.com/kosher-restaurants-abroad/kosher-restaurants-in-budapest/","2026-05-27T13:03:58.076Z"
