id,final,source,old_name,google_name,name_sim,distance_m,business_status,food_signal,google_primary_type,google_phone,google_rating,has_photo,old_address,google_address,llm_verdict,llm_conf,llm_reason,google_maps_uri
175,verified,regular,חבש,Habash,1.000,0,OPERATIONAL,food,ethiopian_restaurant,054-469-6076,4.5,yes,"Ha-Negev St 10, Tel Aviv-Yafo, Israel","Ha-Negev St 10, Tel Aviv-Yafo, Israel",,,,https://maps.google.com/?cid=8211613387907014920&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA
184,flagged,llm-no,קופי טיים,Arcaffè,0.000,31,OPERATIONAL,food,cafe,03-739-8397,4,yes,"אבא אחימאיר 27, מרכז שוסטר, תל אביב, Israel","Schuster Centre, Aba Akhime'ir St 23, Tel Aviv-Yafo, 6949209, Israel",no,0.95,"Different business names with no translation/transliteration relationship. 'קופי טיים' (Coffee Time) and 'Arcaffè' are distinct brands. While both are in the same shopping center and nearby on the same street, the different names and slightly different house numbers (27 vs 23) indicate different establishments.",https://maps.google.com/?cid=6249333978972713404&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA
195,flagged,nonfood-reject,שומשום בר בריאות,מכבי שירותי בריאות,0.167,0,OPERATIONAL,nonfood,medical_center,03-646-1515,2.8,yes,"אורי צבי גרינברג 25, צפון תל אביב, Israel","Uri Tsvi Grinberg St 25, Tel Aviv-Yafo, Israel",,,,https://maps.google.com/?cid=1827846444530304303&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA
204,no_match,llm-no,רחל המבשלת-אוכל טבעוני,Meshek Barzilay,0.300,2317,OPERATIONAL,food,vegan_restaurant,03-516-6329,4.4,yes,"הקשת 10, תל אביב, Israel","Ahad Ha'Am St 6, Tel Aviv-Yafo, Israel",no,0.95,"Different business names (Rachel Hakibshelet vs Meshek Barzilay), different streets (Hakeshet St vs Ahad Ha'Am St), 2.3km apart. No translation/transliteration match between names.",https://maps.google.com/?cid=9681770331749912381&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA
210,flagged,rule,פליים,Flame TLV,0.333,15,CLOSED_PERMANENTLY,food,restaurant,073-338-3833,4.2,yes,"אליעזר פרי 10, תל אביב, Israel","Eliezer Peri St 10, Tel Aviv-Yafo, Israel",,,,https://maps.google.com/?cid=18311440426145115234&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA
216,verified,regular,חומוס הבן של הסורי,חומוס הבן של הסורי,1.000,0,OPERATIONAL,food,restaurant,03-676-7505,3.9,yes,"Yigal Alon St 121, Tel Aviv-Yafo, Israel","Yigal Alon St 121, Tel Aviv-Yafo, Israel",,,,https://maps.google.com/?cid=1410747855798806105&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA
237,no_match,llm-no,גולדות,Golda,0.500,563,OPERATIONAL,food,ice_cream_shop,03-670-4303,4.4,yes,"אלנבי 78, תל אביב, Israel","Rothschild Blvd 22, Tel Aviv-Yafo, 6688218, Israel",no,0.92,"Different street addresses (Allenby 78 vs Rothschild 22) with 563m distance. While 'Golda' could be a transliteration of 'גולדות' (Goldot), the significant address mismatch indicates different locations. No evidence these are the same business.",https://maps.google.com/?cid=10484470967666633632&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA
275,verified,regular,אלוף הסביח,אלוף הסביח,1.000,0,OPERATIONAL,food,restaurant,052-835-5113,3.9,yes,"Carlebach St 18, Tel Aviv-Yafo, Israel","Carlebach St 18, Tel Aviv-Yafo, Israel",,,,https://maps.google.com/?cid=18234236483015066950&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA
279,verified,llm,מסעדת באביקה Babica,BABICA מסעדת שף אותנטית כשרה,1.000,2388,OPERATIONAL,other,,052-339-0044,3,yes,"שד' רוטשילד 60, תל אביב, Israel","Rothschild Blvd 60, Tel Aviv-Yafo, Israel",yes,0.98,"Identical unique name (Babica), same street (Rothschild/רוטשילד) and house number (60), same city (Tel Aviv). Distance of 2388m is likely a geocoding error, not a physical difference. Google's version adds descriptors (chef, authentic, kosher) which is common variation.",https://maps.google.com/?cid=2536808370803922021&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA
292,flagged,llm-no,כרמלי'ס בייגל בייקרי,כרמליס בייגל,1.000,266,OPERATIONAL,food,bagel_shop,03-547-2844,4.4,yes,"יצחק שדה 27, תל אביב, Israel","Ben Avigdor St 3, Tel Aviv-Yafo, Israel",no,0.85,"Different streets (Yitzhak Sadeh vs Ben Avigdor) with 266m distance suggests different locations. Names match (Carmeli's Bagel), but addresses don't align enough to confirm same business.",https://maps.google.com/?cid=6763694642605196115&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA
398,no_match,llm-no,בורגראנץ',Tel Aviv Central Bus Station 7th Floor/Platforms,0.185,5587,OPERATIONAL,other,bus_stop,,2.9,yes,"לוינסקי 108, תחנה מרכזית חדשה תל אביב, Israel","Tel Aviv-Yafo, Israel",no,0.95,"Google listing is a bus station location/floor description, not a food business. It appears to be infrastructure/transport rather than a restaurant establishment.",https://maps.google.com/?cid=6653960744940852647&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA
426,verified,regular,"בוטיק הפיתה סניף רובע י""ג","בוטיק הפיתה סניף רובע י""ג",1.000,0,OPERATIONAL,food,bakery,08-956-1000,4.5,yes,"David HaMelech St 20, Ashdod, Israel","David HaMelech St 20, Ashdod, Israel",,,,https://maps.google.com/?cid=10113981586263337717&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA
430,flagged,rule,בנדורה,Bandura Ashdod,0.500,102,CLOSED_PERMANENTLY,food,gyro_restaurant,050-808-6325,3.8,yes,"צה""ל 1, אשדוד, Israel","Tsahal St 1, Ashdod, Israel",,,,https://maps.google.com/?cid=6411768548574965378&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA
447,no_match,llm-no,ליון,Cafè Lyon big fashion ashdod,0.167,2683,OPERATIONAL,food,cafe,08-631-5758,4.4,yes,"שד' משה סנה 1, אשדוד, Israel","Derech HaRakevet 1, Ashdod, Israel",no,0.95,"Different streets: 'Moshe Sena' vs 'Derech HaRakevet' (1.3 km apart in Ashdod). While names match (ליון = Lyon), the significant distance and different street addresses indicate different physical locations.",https://maps.google.com/?cid=9995498810947521930&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA
449,uncertain,llm-uncertain,ה-פריקסה,Tunisian sandwich corner,0.154,1352,OPERATIONAL,food,restaurant,08-856-7161,4.3,yes,"אשדוד, Israel","Rogozin St 1, Ashdod, Israel",uncertain,0.35,"A has unique Hebrew name 'ה-פריקסה' (likely transliteration of 'Freeksa' or similar), which doesn't match B's 'Tunisian sandwich corner'. B's name is descriptive/generic. A's address is city-only with no street info, while B has specific street address 1.4km away. Without confirmation that 'ה-פריקסה' translates to or is associated with Tunisian sandwiches, cannot confirm match despite same city.",https://maps.google.com/?cid=9771120489959378155&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA
451,no_match,llm-no,בורגרס בר,Burgers bar,0.833,2418,OPERATIONAL,food,hamburger_restaurant,079-591-2242,4,yes,"הפלמ""ח 20, אשדוד, Israel","Ha-Gdud ha-Ivri St 5, Ashdod, Israel",no,0.85,"Different streets (Palmach St vs Ha-Gdud ha-Ivri St) with 2.4km distance between them in Ashdod. While names match (Burgers bar = בורגרס בר), the significant distance and different street addresses indicate these are distinct locations.",https://maps.google.com/?cid=13214267079375022024&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA
453,no_match,llm-no,בורגראנץ',בורגראנץ' אשדוד,1.000,1344,OPERATIONAL,food,hamburger_restaurant,1-700-700-600,3.1,yes,"גור דב 13, אשדוד, Israel","קניון סיטי תחנה מרכזית, שדרות מנחם בגין 1, אשדוד, Israel",no,0.85,"Chain restaurant with different addresses: A is at Gor Dav 13, B is at City mall/Central station on Menachem Begin 1. Distance of 1344m is significant for a chain location check. Different street addresses indicate different physical locations.",https://maps.google.com/?cid=13365111225747449360&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA
465,uncertain,llm-uncertain,טוסטאדס,sandwich bar,0.167,348,OPERATIONAL,food,sandwich_shop,08-865-8247,4.2,yes,"כנרת 5, אשדוד, Israel","מרכזון יא, כנרת 5, אשדוד, Israel",yes,0.85,Same street (כנרת 5) and city (אשדוד). 'טוסטאדס' (Tostadas) is a unique food business name matching a sandwich bar. Distance of 348m is likely due to coordinate imprecision. The building reference (מרכזון יא) confirms same complex.,https://maps.google.com/?cid=1683487271333224428&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA
470,verified,regular,Aroma Espresso Bar ארומה אספרסו בר,Aroma Espresso Bar ארומה אספרסו בר,1.000,0,OPERATIONAL,food,coffee_shop,08-856-8160,4.2,yes,"ויצמן פינת בן גוריון, סטאר סנטר, Ashdod, 7721902, Israel","ויצמן פינת בן גוריון, סטאר סנטר, Ashdod, 7721902, Israel",,,,https://maps.google.com/?cid=272866927120418478&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA
484,uncertain,llm-uncertain,קאסה דל-פפה,Casa Del Papa Ashdod,0.500,1186,OPERATIONAL,food,pizza_delivery,08-865-5993,4.1,yes,"אבן עזרא 23, אשדוד, Israel","HaKlita St 3, Ashdod, Israel",uncertain,0.6,"Names match (Casa Del Papa = קאסה דל-פפה, unique restaurant name). Both in Ashdod. However, addresses differ significantly: אבן עזרא 23 vs HaKlita St 3, ~1.2km apart. Could be relocations or coordinate errors, but the distance is substantial enough to warrant caution.",https://maps.google.com/?cid=6051037177046805497&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA
498,no_match,llm-no,פיצה USA,American Pizza,0.125,1780,OPERATIONAL,food,pizza_restaurant,08-866-6553,4.1,yes,"יקינטון 3, אשדוד, Israel","1 מתחם מג'יק, שבט לוי 16, אשדוד, Israel",no,0.95,"Different street addresses (יקינטון 3 vs שבט לוי 16) with 1780m distance. While both are pizza places in Ashdod, the physical locations are clearly distinct and too far apart to be the same business.",https://maps.google.com/?cid=15224125508509850703&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA
549,verified,llm,קבלרו,Caballero/ קאבלרו,0.500,2726,OPERATIONAL,food,restaurant,02-537-7000,4.6,yes,"ירושלים, Israel","Ha-Marpe St 1, Jerusalem, Israel",yes,0.92,Unique name 'קבלרו' (Caballero) transliterates correctly to Google's 'קאבלרו'. Both in Jerusalem. Large distance (2.7km) is likely due to our imprecise city-only address record rather than indicating different businesses. Strong unique name match outweighs coordinate discrepancy.,https://maps.google.com/?cid=6669392091828903222&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA
550,uncertain,llm-uncertain,מיכליס בראסרי,Michali's,0.250,4827,OPERATIONAL,food,restaurant,08-669-1000,4.4,yes,"מודיעין, Israel","VXQ6+7MR מרכז עינב, HaHarat 7, Modi'in Makabim-Re'ut, Israel",yes,0.85,"A's name 'מיכליס בראסרי' (Michalis Brasserie) matches B's 'Michali's' (transliteration variant). Both are in Modi'in. A's address is city-only but has a strong unique name. B's address is in the same city with a specific street location. The 4.8km distance is large, but given that A only lists city-level granularity and B provides precise coordinates, this likely represents the same business with address data variation.",https://maps.google.com/?cid=98637974208356083&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA
551,verified,regular,Alfredo | מסעדת אלפרדו,Alfredo | מסעדת אלפרדו,1.000,0,OPERATIONAL,food,italian_restaurant,03-923-0643,4,yes,"Shlomo Shmeltzer Rd 94, Petah Tikva, Israel","Shlomo Shmeltzer Rd 94, Petah Tikva, Israel",,,,https://maps.google.com/?cid=681350800017574025&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA
552,uncertain,llm-uncertain,פיאנו פיאנו,פיאנו פיאנו,1.000,4359,OPERATIONAL,food,restaurant,03-504-4455,3.5,yes,"תל אביב, Israel","Kaf Gimel Yordei ha-Sira St 1, Tel Aviv-Yafo, Israel",uncertain,0.35,"Names match perfectly (Piano Piano), both in Tel Aviv, and it's a unique name suggesting same business. However, listing A has only city-level address with no street info, while B has a specific street address (Kaf Gimel Yordei ha-Sira St). The 4.3km distance is substantial. Without street-level confirmation for A, cannot definitively match.",https://maps.google.com/?cid=3504560856594823229&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA
553,uncertain,llm-uncertain,רשל,Rashal,1.000,6554,OPERATIONAL,food,restaurant,03-525-5550,4.3,yes,"תל אביב, Israel","רחוב יוסף יקותיאלי St 3, Tel Aviv-Yafo, Israel",uncertain,0.45,"Name matches (Hebrew 'רשל' = 'Rashal'), both in Tel Aviv, and Rashal is a known unique restaurant name. However, listing A has only city-level address info while B has a specific street address. The 6.5km distance and lack of street-level detail in A make definitive confirmation impossible without additional verification.",https://maps.google.com/?cid=610509867870033288&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA
554,uncertain,llm-uncertain,קמפניה,Campania,0.600,1127,OPERATIONAL,food,restaurant,03-903-7667,4.1,yes,"ראשון לציון, Israel","Barshavski St 8, Rishon LeZion, Israel",yes,0.85,"Hebrew name 'קמפניה' translates to 'Campania' (Italian region, commonly used for Italian restaurants). Same city (Rishon LeZion). Distance of 1127m is significant but A has only city-level address with no street specified, making precise location matching unreliable. Unique name + city match + translation alignment suggests same business.",https://maps.google.com/?cid=9044146864516221541&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA
555,verified,address-first,Thirty Three,Thirty Thtee,0.917,2539,OPERATIONAL,food,restaurant,055-681-0165,3.8,yes,"ירושלים, Israel","בקומת הגלריה, Yirmiyahu 33, Jerusalem, 9446718, Israel",,,,https://maps.google.com/?cid=4428337699881740435&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA
556,uncertain,llm-uncertain,גריל בר מבשרת ציון,גריל בר - מבשרת | Grill Bar,1.000,7520,OPERATIONAL,food,restaurant,02-622-3761,4.1,yes,"ירושלים, Israel","Har'el St 5, Mevaseret Zion, 9079101, Israel",uncertain,0.35,"A is listed as Jerusalem (generic city-only address), B is in Mevaseret Zion (a different town near Jerusalem). Name matches well (Grill Bar Mevaseret Zion), but the address mismatch is significant - A lacks a street address while B has a specific street in Mevaseret Zion. Distance of 7.5km suggests different cities. Without confirmation that A's actual location is Har'el St, Mevaseret Zion, cannot confirm as same place.",https://maps.google.com/?cid=7351090327224243499&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA
557,uncertain,llm-uncertain,גריל בר ירושלים,Grill Bar,0.000,504,OPERATIONAL,food,restaurant,02-622-3761,4.3,yes,"ירושלים, Israel","Ha-Soreg St 1, Jerusalem, Israel",uncertain,0.45,"Name matches translation ('Grill Bar' = 'גריל בר'), both in Jerusalem. However, A has only city-level address (no street specified), while B has specific address on Ha-Soreg St. 504m distance is significant. Without street confirmation for A, cannot definitively match despite name alignment.",https://maps.google.com/?cid=10970049495547659591&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA
558,uncertain,llm-uncertain,פקורינו,Pecorino מסעדה חלבית,0.250,2316,OPERATIONAL,food,restaurant,04-673-5111,4.1,yes,"טבריה, Israel","Tiberias, Israel",uncertain,0.45,"Names match (Pecorino/פקורינו), both in Tiberias, but 2.3km distance is significant for a single location without specific street addresses to verify. Listing A only has city-level address data, making confirmation difficult.",https://maps.google.com/?cid=17805833008884613148&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA
559,verified,address-first,מסובין,Mesubin,0.800,1133,OPERATIONAL,food,restaurant,02-991-1778,4.1,yes,"בית שמש, Israel","Yig'al Alon Ave 2, Beit Shemesh, Israel",,,,https://maps.google.com/?cid=8898996066032461274&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA
565,verified,llm,אגדיר,אגאדיר בורגר בסר בני ברק - כשר,0.208,954,OPERATIONAL,food,hamburger_restaurant,03-554-1444,4.2,yes,"בני ברק, Israel","Metsada St 7, Bnei Brak, 5126201, Israel",yes,0.92,"Strong name match: 'אגדיר' (A) vs 'אגאדיר בורגר בסר' (B) - same transliteration/spelling variant of the Moroccan city name Agadir. Both in Bnei Brak. Despite ~950m distance and missing street details in A, the unique name strongly indicates the same food business. Distance likely due to incomplete address data in our Hebrew database.",https://maps.google.com/?cid=11304368951891685075&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA
566,no_match,llm-no,שווארמה ובשרים,בוטרא - שוארמה רובע י'ב אשדוד,0.474,2305,OPERATIONAL,food,shawarma_restaurant,08-995-5284,4.5,yes,"אשדוד, Israel","Adar St 4, Ashdod, Israel",no,0.95,"Different business names: 'שווארמה ובשרים' (Shawarma and Meats) vs 'בוטרא' (Butra). While both are shawarma restaurants in Ashdod, they have distinct brand names indicating separate businesses. The 2.3km distance reinforces they are not the same location.",https://maps.google.com/?cid=14739893529782692049&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA
567,verified,address-first,רוזה אשדוד,Roza Ashdod - רוזה אשדוד,1.000,1279,OPERATIONAL,food,restaurant,08-618-1717,4.2,no,"אשדוד, Israel","| Star center, Jabotinski St 45, Ashdod, 7721902, Israel",,,,https://maps.google.com/?cid=10473141702648758471&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA
568,verified,regular,מסעדת ויצמן אשדוד,מסעדת ויצמן אשדוד,1.000,0,OPERATIONAL,food,restaurant,08-852-2593,4.3,yes,"HaBana'im St 9, Ashdod, Israel","HaBana'im St 9, Ashdod, Israel",,,,https://maps.google.com/?cid=17577275907754434494&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA
569,no_match,llm-no,וופל בר אפרת,וופל בר אפרת,1.000,15811,OPERATIONAL,food,cafe,02-566-9533,3.9,yes,"ירושלים, Israel","נצר ישי 1, Efrat",no,0.95,"Different cities: A is in Jerusalem, B is in Efrat (15.8km apart). Despite matching names and being a chain, the street address and city clearly differ, indicating separate physical locations.",https://maps.google.com/?cid=12208528287355238741&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA
570,uncertain,llm-uncertain,המקסיקני,Mexicani,0.333,1164,OPERATIONAL,food,mexican_restaurant,1-700-505-033,3.5,yes,"בית שמש, Israel","Yig'al Alon Ave 1, Beit Shemesh, Israel",yes,0.85,Unique name match: 'המקסיקני' (HaMexicani) = 'Mexicani' (Hebrew to English translation). Both in Beit Shemesh. Distance of 1.1km is notable but acceptable given coordinate uncertainty in our database and the strong unique name match. Food business confirmed.,https://maps.google.com/?cid=17746070250793948317&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA
571,uncertain,llm-uncertain,פיקולינו,Piccolino,0.500,604,OPERATIONAL,food,italian_restaurant,02-624-4186,4.4,yes,"ירושלים, Israel","Yo'el Moshe Salomon St 12, Jerusalem, 9463312, Israel",yes,0.85,"Name matches perfectly (Hebrew 'פיקולינו' = English 'Piccolino'). Same city (Jerusalem). Unique restaurant name with no generic component. 604m distance is large but acceptable given that our address is city-only with no street specifics, and Google has precise street address. Name match + same city + unique name type supports same business.",https://maps.google.com/?cid=13063449209730532644&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA
572,uncertain,llm-uncertain,גרג קיטשן רמות,גרג קיטשן רמות,1.000,5247,OPERATIONAL,food,restaurant,,4.3,yes,"ירושלים, Israel","255 Golda Me'ir Boulevard, Jerusalem",uncertain,0.45,"Chain restaurant with matching name (Greg Kitchen Ramot), but large distance (5.2km) and our address is city-only without street details. Cannot confirm if this Google location is the actual 'Ramot' branch or another location of the chain. Need street-level address in our database to verify.",https://maps.google.com/?cid=2970066068604506854&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA
