id,final,source,old_name,google_name,name_sim,distance_m,business_status,google_phone,google_rating,has_photo,old_address,google_address,llm_verdict,llm_conf,llm_reason,google_maps_uri
5896,verified,llm,גונס פאב-בר,גונס חדרה / GOONS pizza & beer,0.500,5499,OPERATIONAL,04-950-6030,4.5,yes,"שד' ברוך בוארון 6, גבעת אולגה, חדרה, Israel","Baruch Bu'aron Blvd 6, Hadera, Israel",yes,0.95,"Same unique business name (Goons Pub-Bar), identical street address (Baruch Bu'aron 6), same city (Hadera). Large distance_meters value appears to be a calculation error (coordinates likely misplaced), but street+house number match is definitive. Google's variant name includes 'pizza & beer' which aligns with 'pub-bar' concept.",https://maps.google.com/?cid=3903839858183242880&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA
3891,no_match,llm-no,פלאפל שלי,Sadab Center,0.143,2404,OPERATIONAL,,3.6,yes,"יהושע רבינוביץ 11, מרכז סאדאב חולון, Israel","Yehoshu'a Rabinovich St 11, Holon, Israel",no,0.85,"Different business types: A is 'Falafel Sheli' (falafel restaurant), B is 'Sadab Center' (shopping center). Same address on paper, but 2.4km distance suggests coordinate error in our data. The Google listing is for the shopping center itself, not a falafel restaurant within it. Without confirmation that the falafel shop is actually located inside Sadab Center, these appear to be different businesses.",https://maps.google.com/?cid=3586081713455360307&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA
3736,verified,regular,חומוס אליהו תל אביב,חומוס אליהו - שוק הפשפשים,0.667,120,OPERATIONAL,03-959-9188,4.2,yes,"בית אשל 7, יפו, תל אביב, Israel","Ami'ad St 14, Tel Aviv-Yafo, Israel",,,,https://maps.google.com/?cid=2722809734500492813&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA
5512,verified,regular,בן אנד ג'ריס,Ben & Jerry's,0.571,43,OPERATIONAL,08-942-0586,4.5,yes,"המיסב 5, יבנה, Israel","Ha-Meisav St 5, Yavne, Israel",,,,https://maps.google.com/?cid=4541320026806290271&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA
4194,verified,address-first,פיצה הקוסם האיטלקי,פיצה הקוסם האיטלקי פיצריה בבת ים,1.000,548,OPERATIONAL,03-648-5555,4.9,yes,"הרצל 48, בת ים, Israel","Derech Ben Gurion 79, Bat Yam, Israel",,,,https://maps.google.com/?cid=15104730020595356512&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA
2612,verified,llm,העוגה,העוגה קונדיטוריה,1.000,27123,OPERATIONAL,04-866-6925,4.6,yes,"הרצל 14, חיפה, Israel","Herzl St 14, Haifa, Israel",yes,0.95,"Identical street address (Herzl/הרצל 14, Haifa/חיפה) and matching business name. 'העוגה' (The Cake) matches 'העוגה קונדיטוריה' (The Cake Bakery) - the Google name is simply more descriptive. Large distance_meters value appears to be a data error and should be disregarded given perfect address match.",https://maps.google.com/?cid=428263799015248483&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA
5069,no_match,llm-no,בורגראנץ' ירושלים (קניון מלחה),בורגראנץ' מלחה ירושלים,1.000,4496,OPERATIONAL,1-700-700-600,1.8,yes,"בן יהודה 5, ירושלים, Israel","Derech Agudat Sport Beitar 1, Jerusalem, Israel",no,0.95,"Chain restaurant with different street addresses (Ben Yehuda vs Derech Agudat Sport Beitar) and 4.5km distance. Even for chains, address mismatch this large rules out same location.",https://maps.google.com/?cid=1510854540199054466&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA
3520,verified,regular,בכור את שושי,Bechor & Shoshi,0.667,34,OPERATIONAL,03-687-2895,4.2,yes,"יד חרוצים 13, תל אביב, Israel","Yad Harutsim St 13, Tel Aviv-Yafo, Israel",,,,https://maps.google.com/?cid=7801116618440031296&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA
7001,verified,address-first,BBB BTW עין חצבה,BBB By The Way Burgers סניף חצבה,0.643,3135,OPERATIONAL,077-303-4132,4.3,yes,"עין חצבה, עין חצבה","פונדק, עין חצבה, Israel",,,,https://maps.google.com/?cid=9366531493365006697&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA
78,flagged,llm-no,פביאנו,La Lasagna,0.000,9,OPERATIONAL,03-523-0037,3.8,yes,"דיזנגוף 177, תל אביב, Israel","Dizengoff St 177, Tel Aviv-Yafo, Israel",no,0.95,"Different restaurant names (Fabiano vs La Lasagna) with no translation/transliteration relationship. Same address suggests possible location change or data error, but names are completely distinct businesses.",https://maps.google.com/?cid=12199372845269107227&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA
4267,flagged,rule,הבוטקה,הבוטקה,1.000,175,CLOSED_PERMANENTLY,052-686-6684,,no,"ז'בוטינסקי זאב 1, לוד, Israel","Jabotinski St 1, Lod, Israel",,,,https://maps.google.com/?cid=433146819578197539&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA
4116,flagged,rule,מפגש גולן,מפגש גולן,1.000,7,CLOSED_PERMANENTLY,077-434-6717,4,yes,"קרן היסוד 1, חולון, Israel","Keren ha-Yesod St 1, Holon, 5848930, Israel",,,,https://maps.google.com/?cid=9994689684489361690&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA
1458,verified,regular,בית הסנדוויץ הטוניסאי,בית הסנדוויץ הטוניסאי,1.000,202,OPERATIONAL,,4.8,no,"הזית 56, קריית גת, Israel","Ha-Zayit St 56, Kiryat Gat, Israel",,,,https://maps.google.com/?cid=10734664857445497604&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA
4855,verified,address-first,נאדי קפה,Coffee Nadi,1.000,255,OPERATIONAL,02-625-1737,4.5,yes,"הלל 44, ירושלים, Israel","מעונות הסטודנטים, הלל 39, ירושלים, Israel",,,,https://maps.google.com/?cid=8225620282708986671&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA
3706,verified,regular,בישולים במרומים,בישולים במרומים,1.000,210,OPERATIONAL,03-613-1620,5,yes,"היצירה 25, מתחם הבורסה, רמת גן, Israel","Ha-Yetsira St 25, Ramat Gan, Israel",,,,https://maps.google.com/?cid=17032991950008399317&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA
3293,verified,address-first,דאנלין,קפה דאנלין,1.000,2704,OPERATIONAL,03-612-0353,4.9,yes,"דרך אבא הלל סילבר 7, מתחם הבורסה, רמת גן, Israel","Abba Hillel Silver Rd 7, Ramat Gan, Israel",,,,https://maps.google.com/?cid=11013771901021628309&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA
1806,flagged,rule,בלינצ'ס קפה,בלינצ'ס קפה,1.000,171,CLOSED_TEMPORARILY,,5,yes,"יהודה הלוי 15, קניון לב אשדוד, Israel","Yehuda Halevi St 15, Ashdod, Israel",,,,https://maps.google.com/?cid=5993275035453922224&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA
5227,verified,regular,פיורי,Pizza Fiori,0.333,43,OPERATIONAL,02-587-4486,4,yes,"דוד רמז 4, המושבה הגרמנית, ירושלים, Israel","David Remez St 4, Jerusalem, Israel",,,,https://maps.google.com/?cid=10270096727077998315&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA
7133,verified,llm,BBB BTW איכילוב,BBB BTW איכילוב,1.000,954,OPERATIONAL,,4.1,yes,"ויצמן 6, תל אביב","בניין סוראסקי, Weizmann St 6, Tel Aviv-Yafo, Israel",yes,0.95,"Identical names (BBB BTW איכילוב), matching street (Weizmann/ויצמן) and house number (6) in Tel Aviv. Distance discrepancy likely due to coordinate inaccuracy; building name (Sourasky) confirms this is Ichilov Hospital complex. All core identifiers align.",https://maps.google.com/?cid=7580825339803466064&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA
3617,flagged,rule,נוע'לה,Noale,0.500,6,CLOSED_PERMANENTLY,,4.2,yes,"רוטשילד 81, ראשון לציון, Israel","Rothschild St 81, Rishon LeZion, Israel",,,,https://maps.google.com/?cid=9216493522995117334&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA
1631,flagged,llm-no,טאג'ין,וולטר פארק,0.125,60,OPERATIONAL,08-852-9311,4.4,yes,"האורגים 22, נמל אשדוד, Israel","HaOrgim St 2, Ashdod, Israel",no,0.95,Different business names (Tajine vs Walter Park) with no translation/transliteration relationship. Different house numbers (22 vs 2) on same street. Unique names indicate distinct businesses despite proximity.,https://maps.google.com/?cid=15116059778820852276&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA
7178,no_match,llm-no,מאמא גרג קניון אילון,Greg's Café mama,0.375,3623,OPERATIONAL,058-494-3499,3.4,yes,"קניון איילון, רמת גן","Abba Hillel Silver Rd 301, Ramat Gan, Israel",no,0.85,"Despite name similarity (mama greg's vs greg's café mama), the addresses don't match. 'קניון איילון' (Ayalon Mall) is a specific shopping center location, while Google shows Abba Hillel Silver Rd 301 - different streets in Ramat Gan. Distance of 3.6km confirms these are separate locations. A chain restaurant would have multiple locations, but the address mismatch is definitive.",https://maps.google.com/?cid=14686883015845384952&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA
1492,verified,llm,המאפה הצרפתי,המאפה הצרפתי,1.000,2766,OPERATIONAL,08-993-4062,2.5,no,"שד' ירושלים 29, נתיבות, Israel","Sderot Yerushalayim 29, Netivot, Israel",yes,0.95,"Identical business name (המאפה הצרפתי), matching street (Sderot Yerushalayim) and house number (29), same city (Netivot). The large distance_meters value (2766) appears to be a calculation error in the matching system, as the street address and house number are exact matches. This is clearly the same physical location.",https://maps.google.com/?cid=10822152084411222598&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA
7100,uncertain,llm-uncertain,ארקפה דוכן קניון עזריאלי,Arcaffè,0.091,1372,OPERATIONAL,050-539-2233,4.1,yes,"דרך מנחם בגין 132, תל אביב","Menakhem Begin Rd 144, Tel Aviv-Yafo, 6492102, Israel",uncertain,0.35,"Chain name match (Arcaffè), same street (Menachem Begin), same city, BUT house numbers differ significantly (132 vs 144) AND distance is 1372m, which is substantial. Could be different Arcaffè locations or data error. Need confirmation.",https://maps.google.com/?cid=1153456861711684192&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA
3895,no_match,llm-no,פיצה האט,פיצה האט - חולון מזרח - דרך השבעה,1.000,2195,OPERATIONAL,1-700-506-070,2.8,yes,"שד' ירושלים 159, חולון, Israel","Derech HaShiv'a 20, Holon, Israel",no,0.85,"Chain restaurant with different street addresses (Jerusalem St. 159 vs. Derech HaShiv'a 20) and 2.2km distance. For chains, street+house number must clearly match - these don't align sufficiently.",https://maps.google.com/?cid=8343878412818323073&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA
4403,flagged,llm-no,חומוס הבוטקה,Hummus Beit Ha-Ful,0.364,225,OPERATIONAL,03-561-8162,4.3,yes,"החשמונאים 88, תל אביב, Israel","HaHashmonaim St 119, Tel Aviv-Yafo, Israel",no,0.85,"Same street (HaHashmonaim/החשמונאים) but significantly different house numbers (88 vs 119). While our coordinates can be wrong, the ~30 house number difference on the same street indicates different physical locations. Different Hebrew names (חומוס הבוטקה vs Beit Ha-Ful) add to the distinction.",https://maps.google.com/?cid=2228955395686505334&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA
