source,held_id,held_name,held_address,db_id,db_name,db_address,google_name,google_address,place_id
held-green,4580,הכריש,"אח""י דקר 6, טיילת ראשון לציון, Israel",6952,הכריש פיצה בר,"אח""י דקר 6, ראשון לציון",Hakarish Pizza,"Ahi Dakar St 6, Rishon LeZion, Israel",ChIJaUjrmDi0AhUR6FejSB5WB2g
held-green,4631,דריה,"תל אביב, Israel",7056,דריה - Darya,"הירקון 205, תל אביב",Darya - דריה,"HaYarkon St 205, Tel Aviv-Yafo, 6340534, Israel",ChIJKSKqlFJNHRURP0338q1KVkA
held-green,5021,1868,"המלך דוד 10, ירושלים, Israel",6502,1868 & זוטא,"דוד המלך 10, ירושלים",1868,"King David St 10, Jerusalem, Israel",ChIJV32Lx9MpAxURjqfRdoXbEus
held-green,5223,the wine temple,"עמק רפאים 8, ירושלים, Israel",4845,בר יין,"עזה 82, ירושלים, Israel",Wine Bar,"Azza St 28, Jerusalem, Israel",ChIJoaeRf9XXAhURVlhY86AV2i4
held-green,5504,HBB המבורגר גדרה,"הרצל 3, גדרה, Israel",6684,HBB גדרה,"הרצל 3, גדרה",חביבי המבורגר גדרה - HBB Burger,"Herzl St 3, Gedera, 7040002, Israel",ChIJMdMP0xe7AhURiIM12xiNFHI
held-green,5963,סמבוסל'ה,"חדרה, Israel",6038,סמבוסלה חדרה,"הנשיא וייצמן 48, קניון לב חדרה, Israel",סמבוסלה,"HaNassi St 46, Hadera, Israel",ChIJW0l0E0QSHRURbHJLcH2_3e0
held-green,5973,בורקס בבא,"התע""ש 10, כפר סבא, Israel",5867,בורקסבבא,"התע""ש 10, כפר סבא, Israel",בורקס בבא,"HaTa'as St 10, Kefar Sava, Israel",ChIJd00jiM85HRURdBAfZtYPRrg
held-green,6481,Mood Restaurant,"דרך הים 5, אילת",1220,MOOD,"הים 5, אילת, Israel",מסעדת מוד באילת | mood restaurant eilat,"Ha-Yam St 5, Eilat, 88000, Israel",ChIJnz4VnvJxABURzc9W-40baiU
held-green,6493,Bardak pizza bar,"קרן היסוד 38, ירושלים",4863,ברדק,"קרן היסוד 38, ירושלים, Israel",Bardak Pizza Bar,"Keren HaYesod St 38, Jerusalem, Israel",ChIJ8xzywiwoAxURNWUrJBrkuxs
held-green,6550,צדקיהו,"יד חרוצים 21, ירושלים",4722,מסעדת צדקיהו,"יד חרוצים 21, קניון ישראל תלפיות, ירושלים, Israel",מסעדת צדקיהו Tzidkiyahu Resturant,"Yad Harutsim St 21, Jerusalem, Israel",ChIJS1oDEh4oAxURdy5Qkzxy2CE
held-green,6660,מנדרין סינמול,"ההסתדרות 55, חיפה",2625,מנדרין,"שד' ההסתדרות 55, קניון סינמול, חיפה, Israel",קפה מנדרין,"HaHistadrut Ave 55, Haifa, Israel",ChIJk7z6XXi6HRURcFyWq6Ux5IY
held-green,6720,נחמן,"יואל משה סלומון 10, ירושלים",5163,מסעדת נחמן,"מעבר בית הכנסת 8, כיכר המוזיקה, ירושלים, Israel",נחמן מסעדה חלבית,"Ze'ev Raban St, Jerusalem, Israel",ChIJQ3hDxNYpAxURy4l-mAARcIM
held-green,6734,פלאפל בריבוע - יבנה,"הדוגית 16, יבנה",5515,פלאפל בריבוע,"הדוגית 16, יבנה, Israel",פלאפל בריבוע - יבנה,"מרכז רוגובין, הדוגית 16, יבנה, Israel",ChIJ60dbSme6AhURKobSnVeKdT4
held-green,6753,Kiara Lounge Bar,"ברוך קטינקא 2, באר שבע",1473,קיארה,"קטינקא ברוך 2, באר שבע, Israel",קיארה לאונג׳ בר Kiara Lounge Bar,"ברוך קטינקא 2, Beersheba, Israel",ChIJDbx5SBtnAhURDSVv1NP5d-c
held-green,6489,Tommy's | ירושלים,"הקרן הקיימת לישראל 21, ירושלים",4928,טומיס',"קרן קיימת לישראל 21, ירושלים, Israel",Tommy's - טומי'ס,"HaKeren HaKayemet Le-Israel St 21, Jerusalem, Israel",ChIJg4KfvirWAhURqvpsFDlm9Y0
held-green,6908,AG- Jasper 08,"קמפאן 7, אילת",1231,"ג'אספר 08 JASPER, ישרוטל אגמים","קאמפן 7, אילת, Israel",ג'אספר 08 - Jasper 08,"Kampen St 7, Eilat, 88000, Israel",ChIJyzAYHBFxABURpabARVKMhsk
held-green,4874,הפי פיש ממילא,"ממילא 14, שדרות אלרוב ממילא, ירושלים, Israel",573,הפי פיש,"Mamilla Rd 14, Jerusalem, Israel",Happy Fish,"Mamilla Rd 14, Jerusalem, Israel",ChIJY3K8gtEpAxURbq4kplsAZa8
held-green,6921,Blendiz Jaffa St 226,"יפו 226, ירושלים",6511,Blendiz Jaffa St 43,"יפו 43, ירושלים",Blendiz,"Jaffa St 43, Jerusalem, Israel",ChIJ9XcYIwApAxURFQ8fq0bowAA
held-green,6961,ג'פניקה ראש פינה,"הגליל 1, ראש פינה",2259,ג'פניקה,"דרך הגליל 1, ראש פינה, Israel",ג׳פניקה ראש פינה כשר | JAPANIKA ROSH PINA KOSHER,"Derech HaGalil 1, Rosh Pina, Israel",ChIJE8WCZxkiHBURtkyL46EMtSI
held-green,6990,Sekai,"הברזל 10 בניין C, תל אביב",4538,סקאי,"הברזל 10, רמת החייל, תל אביב, Israel",Sekai סקאי,"HaBarzel St 10, Tel Aviv-Yafo, 6971014, Israel",ChIJL842MG9JHRURiqrqw9Fjvw0
held-green,4485,מיתוס,"ויצמן 2, תל אביב, Israel",7036,Meatos ויצמן,"וייצמן 2, תל אביב",Meatos,"מגדל אמות השקעות, ויצמן‬ 2, תל אביב-יפו, Israel",ChIJ4ckDaJpLHRURgDNCHMVrs94
held-green,7087,באזל בר,"הרצל 29, שדרות",1799,באזל בר שדרות,"הרצל 3, שדרות, Israel",באזל בר מסעדה שדרות,"איילים, שדרות, Israel",ChIJOT3C_WqBAhURqMDsDV1VjY0
held-green,6950,BIGA ראשונים,"שדרות נים 2, ראשון לציון",3106,ביגה,"שד' נים 2, קניון עזריאלי ראשונים, ראשון לציון, Israel",ביגה ראשונים,"Sderot Nim 2, Rishon LeZion, Israel",ChIJWQrBLCS0AhURb_7BJL-0c1w
held-green,1767,בורגרס בר,"הסתת 20, ביג אילת, Israel",6936,Burgers Bar ביג אילת,"הסתת 20, מרכז ביג, אילת",Burgers Bar,"Ha-Satat St 20, Eilat, Israel",ChIJET1AgQRuABUR2c0v88QZR18
held-green,4730,סושי אנד בייגלס,"ירמיהו 68, ירושלים, Israel",6543,Sushi N Bagels,"ירמיהו 68, ירושלים",SushiNBagels,"Yirmiyahu St 68, Jerusalem, Israel",ChIJs4LylmzXAhURyiITK_fxbhE
held-green,6172,קפה פיינברג,"ז'בוטינסקי 34, חדרה, Israel",6625,קפה בית פיינברג,"ז'בוטינסקי 34, חדרה",Café Feinberg,"Jabotinsky St 34, Hadera, Israel",ChIJCwP63U4SHRUREXvrF5gniCw
held-green,6228,ברנר בר יין,"ברנר 6, רעננה, Israel",5681,קפה ברנר,"ברנר 6, רעננה, Israel",Cafe Brener,"מתחם קולינר, ברנר 6, רעננה, Israel",ChIJx5A1aBM4HRURg-vqGwYXzEQ
held-green,1232,באביס',"הבנאים 3, אשדוד, Israel",6467,Babbi's,"הבנאים 3, אשדוד",BABBI'S,"HaBana'im St 3, Ashdod, Israel",ChIJgegZjGujAhURmkU1BrXgAbg
held-green,1968,BP ביפי מפרץ חיפה,"שד' ההסתדרות 157, חיפה, Israel",6918,ביסטרו  BP - מפרץ חיפה,"שדרות ההסתדרות 157, מפרץ חיפה",BP - ביסטרו כשר במפרץ חיפה,"HaHistadrut Ave 157, Haifa, 26299, Israel",ChIJM1eqULywHRURMQHV-X2nDnY
held-green,1970,ארסטו,"קיסריה, Israel",7162,Aresto,"נמל קיסריה, קיסריה",Aresto,"נמל קיסריה, Keisarya, Israel",ChIJCZQzCBENHRURL1S86KWLe3s
held-green,2021,ביגה כרמיאל כשר,"מעלה כמון 2, ביג כרמיאל, Israel",6651,BIGA כרמיאל,"מעלה כמון 2, כרמיאל",כשר Biga - ביג כרמיאל,"ביג כרמיאל Ma'ale, Ma'ale Kamon St 2, Karmiel, Israel",ChIJ19Ot_XQxHBUROZzcjGBKsos
held-green,6664,יענקלה,"חבצלת השרון 36, הרצליה",6247,יענקל'ה בית קפה,"חבצלת השרון 36, הרצליה פיתוח, Israel",Yankele,"Khavatselet ha-Sharon St 36, Herzliya, Israel",ChIJ6etV8pxIHRURAyPCKg3DkUA
held-green,7022,Luciana ראשון לציון,"לח""י 2, ראשון לציון",3083,לוצ'נה ראשון לציון,"לח""י 2, ראשון לציון, Israel",לוצ׳נה ראשון לציון,"הלח״י 2, ראשון לציון, 7570686, Israel",ChIJweIAaS-zAhUR9rzjeGFWvqA
held-green,4747,מיס אנד מר,"יואל משה סלומון 12, כיכר המוזיקה, ירושלים, Israel",6867,Miss & Mr,"יואל משה סלומון 12, ירושלים",Miss & Mr,"Yo'el Moshe Salomon St 12, Jerusalem, 9463312, Israel",ChIJbxbKd4opAxUR818_bcTBGeg
held-green,1491,ביגה,"שד' דוד טוביהו 125, באר שבע, Israel",6513,BIGA גרנד באר שבע,"שדרות דוד טוביהו 125, באר שבע",Biga,"עופר גרנד קניון, David Tuviyahu Ave 125, Beersheba, Israel",ChIJb0afnhxlAhURAZkyqpVBA6Y
held-green,1997,ביגה,"דרך עכו 192, קניון הקריון, קריית ביאליק, Israel",7134,BIGA קריון,"דרך עכו 192, קריית ביאליק",Biga,"קריון, Derech Akko 192, Kiryat Bialik, Israel",ChIJtYZYnfm2HRUR8ITrsVdABpw
held-green,2020,מריפוסה,"קיסריה, Israel",7203,Mariposa,"מגרש הגולף קיסריה, קיסריה",Mariposa,"מגרש הגולף, Caesarea, Israel",ChIJV9hVLagNHRURQDNbTYDDB4Q
held-green,2358,הפיצרייה,"משה שרת 6, עפולה, Israel",2154,הפיצריה,"משה שרת 6, עפולה, Israel",הפיצריה The Pizza Place,"Moshe Sharet St 6, Afula, Israel",ChIJsZX31BhTHBUR69OVP7cXlNw
held-green,3110,נאו סושי בר,"כצנלסון 55, גבעתיים, Israel",4450,Neo after dark,"כצנלסון 55, גבעתיים, Israel",Neo Sushi Bar,"Katzenelson St 55, Giv'atayim, Israel",ChIJbYy-gbpLHRURwnf1ynU2GYA
held-green,6022,פרוג'ינו,"הרצל 2, נתניה, Israel",5914,"""פרוג'ינו""","הרצל 4, נתניה, Israel",Perugino,"Dizengoff St 30, Netanya, Israel",ChIJw0NeX6hqHRURWnAYAM0XoIU
held-green,6024,ביגה,"פרופסור דן שכטמן 10, חדרה, Israel",6524,BIGA חדרה,"פרופסר דן שכטמן, 10 חדרה, חדרה",Biga,"פרופ דן שכטמן 10, Hadera, Israel",ChIJfQ0rAzgTHRURYWjS43yGQ60
held-green,6944,סורנטו,"ברשבסקי 8, ראשון לציון",3086,סורנטו Sorento,"ברשבסקי 8, ראשון לציון, Israel",Sorento,"Barshavski St 8, Rishon LeZion, Israel",ChIJc9Nes1G0AhURK5FA5ORe17k
held-green,7206,Kyoto nei,"ילדי טהרן 7, ראשון לציון",3150,"קיוטו נאי ראשל""צ","ילדי טהרן 7, ראשון לציון, Israel",קיוטו נאי,"Yaldei Teheran St 7, Rishon LeZion, 7565843, Israel",ChIJUdujOQqzAhURz55t9xxFiA0
held-green,7225,Frenchy Marche,"שינקין 54, תל אביב",7181,Frenchy Kiosk,"שינקין 54, תל אביב",Frenchy Tlv,"Sheinkin St 54, Tel Aviv-Yafo, 6713212, Israel",ChIJUTImqplLHRUR7A6vL1JH-vs
held-green,1629,גאטוס על המים אשקלון,"בת גלים 1, אשקלון, Israel",1587,גאטוס,"בת גלים 1, אשקלון, Israel",גאטוס מסעדה איטלקית,"Bat Galim St, Ashkelon, Israel",ChIJAQAAAFGcAhUR07Kw9GNNcno
held-green,1786,בית קפה מסעדה אופרה,"קנאים 27, קניון ערד, Israel",1218,קפה אופרה,"קנאים 27, קניון ערד, Israel",Opera Cafe,"Ha-Kana'im St 27, Arad, Israel",ChIJW7ufzfj_AhURfopxzycU72o
held-green,3530,שניצליאנו גבעת שמואל,"אורנים 1, רמת אילן, גבעת שמואל, Israel",4331,שניצליין,"אורנים 1, רמת אילן, גבעת שמואל, Israel",שניצלאנו,"Oranim St 1, Giv'at Shmuel, Israel",ChIJHxo4gWtKHRURqmvJc1qzKFA
held-green,4674,דונר גריל אקספרס,"אברהם גירון 15, יהוד, Israel",3559,דונר,"אברהם גירון 20, יהוד, Israel",דונר/שווארמה טורקית ועל האש,"Avraham Giron St 15, Yehud-Monosson, Israel",ChIJES2blQU1HRURZH-TiNGGyhk
held-green,6470,מסעדת O2,"Ze'ev Jabotinsky St 3, Jerusalem",5086,מסעדת 02,"ז'בוטינסקי 3, ירושלים, Israel",מסעדת 02,"Jabotinski St 3, Jerusalem, Israel",ChIJ_TBv-FjEAhURA_l5d2E-p9Q
held-green,6650,אישטבח ירושלים,"השקמה 1 מחנה יהודה, ירושלים",5326,אישטבח,"השקמה 1, מחנה יהודה, ירושלים, Israel",Ishtabach,"השקמה פינת, Beit Ya'akov St 1, Jerusalem, Israel",ChIJPyQ7jSjWAhURLaRI4ORCohc
held-green,7302,בהדונס חומוס,"יד חרוצים 11, תל אביב, Israel",3350,בהדונס חומוס,"יד חרוצים 11, תל אביב, Israel",Bahadunas,"Yad Harutsim St 11, Tel Aviv-Yafo, Israel",ChIJdU5-8HpLHRUR6_7pUuUQgww
held-green,6045,יקבי בנימינה,"הנשיא 1, בנימינה, Israel",6655,יקב בנימינה,"היקב 2, בנימינה",Binyamina Winery,"Ha-Yekev St 6, Binyamina-Giv'at Ada, Israel",ChIJaXUTVhkMHRURUCIdTca2OpM
held-green,6155,סנדוויץ' פקטורי,"אריה שנקר 16, הרצליה פיתוח, Israel",6599,Sandwich Factory,"אריה שנקר 16, הרצליה",Sandwich Factory,"Arye Shenkar St 16, Herzliya, 46725, Israel",ChIJxcYUiCVGHRURqHki0_YQiIo
held-green,4502,ביגה,"לב העיר 2, קניון מודיעין, Israel",7136,BIGA מודיעין,"לב העיר 2, עזריאלי מודיעין",Biga Modi'in,"Lev ha-Ir St 2, Modi'in-Maccabim-Re'ut, Israel",ChIJkSERXAXNAhURiHiKqDGjx5o
held-green,5048,Zalmans chef hotdogs,"לונץ משה 3, ירושלים, Israel",6579,Zalmans- מדרחוב,"לונץ 3, ירושלים",Zalman's זלמנ'ס- מדרחוב,"Lunz St 3, Jerusalem, Israel",ChIJMUzmDiMpAxURyA_4VGLTUws
held-green,7325,חומוס כספי,"יהודה המכבי 61, תל אביב, Israel",3688,חומוס כספי,"יהודה המכבי 61, תל אביב, Israel",Hummus 616,"Yehuda HaMakkabbi St 61, Tel Aviv-Yafo, Israel",ChIJl-CpculLHRUR-Efhyyf84yY
held-green,6639,Berlin burger,"שדרות ממילא 13, ירושלים",4734,המבורגר ברלין,"ממילא 13, שדרות אלרוב ממילא, ירושלים, Israel",המבורגר ברלין,"Mamilla Rd 13, Jerusalem, Israel",ChIJHwYO76cpAxURPQUbfRRinbc
held-green,4119,ברילוצ'ה טוסט נקניק,"הרא""ה 186, רמת גן, Israel",7085,Bariloche רמת גן,"הרואה 186, רמת גן",Bariloche- מסעדה דרום אמריקאית,"Haroe St 186, Ramat Gan, Israel",ChIJQ9UriU5KHRURliVOjgtz5cA
held-green,6955,ג'פניקה עפולה,"קהילת ציון 26, עפולה",2269,ג'פניקה,"קהילת ציון 26, עפולה, Israel",Japanika,"Kehilat Tsiyon St 26, Afula, 1830126, Israel",ChIJa1JLoepTHBURlKa9UfSFIaQ
held-green,6644,פלאפל בריבוע - גבעת שמואל,"יוני נתניהו 23, גבעת שמואל",4019,פלאפל בריבוע,"יוני נתניהו 23, קניון עופר הגבעה, גבעת שמואל, Israel",Falafel Baribua,"Yoni Netanyahu St 23, Giv'at Shmuel, Israel",ChIJxWhbGQ9KHRUReK6PqXR1HqE
held-green,5721,פלאפל טובה בתעשייה,"פנקס דוד 14, נתניה, Israel",5953,הפלאפל של טובה,"פנקס דוד 14, נתניה, Israel",Falafel Tova,"David Pinkas St 14, Netanya, Israel",ChIJ1XXAkwRAHRURrFEKUCIutxM
held-green,6729,פאפאגאיו הרצליה,"השונית 2, הרצליה",6032,פאפאגאיו,"השונית 2, מרינה הרצליה, Israel",Papagaio,"Ha-Shunit St 2, Herzliya, 4655502, Israel",ChIJmUjw8upIHRURhDaCiwKSdSU
held-green,2679,"יקבי קיסריה בע""מ","קיסריה, Israel",1999,יקבי קיסריה אירועים,"קיסריה, Israel",Caesarea Wineries,"Caesarea, Israel",ChIJ222WbxoNHRUR3YFJzcDtteQ
held-green,6744,ג'פניקה צ'ק פוסט,"דרך בר יהודה 111, חיפה",2371,ג'פניקה,"דרך בר יהודה 111, צ'ק פוסט, חיפה, Israel",Japanika,"Israel bar Yehuda Road 111, Haifa, Israel",ChIJPTuqp3iwHRURz-YqsIecbx8
held-green,6978,פלאפל בריבוע - ראש העין,"בזק 1, ראש העין",3349,פלאפל בריבוע,"בזק 1, מרכז G אפק (לב אפק), ראש העין, Israel",Falafel Square,"מרכז מסחרי לב אפר, מבצע בזק 1, ראש העין, 4863087, Israel",ChIJI8opIN4wHRURIz5ohbXbNMI
held-green,5562,עוגות דה לה פה רחובות,"יעקב 26, רחובות, Israel",5614,עוגות דה לה פה,"יעקב 26, רחובות, Israel",Cakes de la Paix,"Ya'akov St 26, Rehovot, Israel",ChIJ0ZRXqAa3AhURjH_6y69S7aY
held-green,4909,ג'פטו- טאבון איטלקי,"דפנה 1, צור הדסה, Israel",6943,Geppeto טאבון איטלקי,"דפנה 1, צור הדסה",Jeppeto Pizza Bar,"Dafna St 1, Tzur Hadassah, Israel",ChIJ1W8xXknbAhURRJmlxkKNfV0
held-green,465,טוסטאדס,"כנרת 5, אשדוד, Israel",1498,סנדביץ בר,"כנרת 5, אשדוד, Israel",sandwich bar,"מרכזון יא, כנרת 5, אשדוד, Israel",ChIJq6qqquWiAhUR7F-198DyXBc
held-green,5656,בוזי-סושי נודלס בר,"הרצל 185, רחובות, Israel",5396,בוזי,"הרצל 185, רחובות, Israel",Buzzi,"Herzl St 185, Rehovot, Israel",ChIJN6XzBwO3AhUReWqDXlFmZpQ
held-green,6888,פלאפל בריבוע - חולון,"פנחס איילון 13, חולון",4196,פלאפל בריבוע,"פנחס אילון 13, חולון, Israel",Falafel Square,"Pinkhas Eilon St 13, Holon, Israel",ChIJs34o6p60AhUROIoKOlWAHlI
held-green,3707,מסעדת בר כוכבא,"בר כוכבא 27, פתח תקווה, Israel",3427,ענק הסביח והסמבוסק,"בר כוכבא 27, פתח תקווה, Israel",Bar Kochva - South American Sandwich,"Bar Kochva St 27, Petah Tikva, Israel",ChIJv5DCpGw2HRURaBdf0o0pK3g
held-green,6932,הולי בייגל - בית שמש,"נחל דולב 19, בית שמש",5105,הולי בייגל,"נחל דולב 19, בית שמש, Israel",Holy Bagel RBS,"Nachal Dolev St 19, Bet Shemesh, Israel",ChIJa-70e3fDAhURtujaIv9AeVs
held-green,7260,רפאלו - קריון (כשר),"דרך עכו 192, קריית ביאליק",2104,רפאלו קריית ביאליק,"דרך עכו 192, קניון הקריון, קריית ביאליק, Israel",Raffaello,"קניון קריון, דרך עכו 192, קריית ביאליק, Israel",ChIJAU5WBfm2HRURx-MeCH4qtmM
held-green,5658,פאפוס בשרים שווארמה ועל האש איזור התעשיה,"גבריאלוב קלמן 38, רחובות, Israel",5451,פאפוס בשרים,"גבריאלוב קלמן 38, רחובות, Israel",PAPOS,"Kalman Gavrielov St 38, Rehovot, Israel",ChIJ4Q5sOUi3AhURCyC9KELD8So
held-green,6822,"המקסיקנית ⏐ כשר למהדרין בד""ץ הרב מחפוד","אח""י אילת 59, חיפה",2892,המקסיקנית | כשר למהדרין,"אח""י אילת 59, קריית חיים, חיפה, Israel",The Mexican,"Sderot Achi Eilat 59, Haifa, 2626948, Israel",ChIJWxqkjC63HRURWCJNl52HSkw
held-green,6603,בייגל קפה עמק רפאים,"עמק רפאים 54, ירושלים",5155,בייגל קפה,"עמק רפאים 54, ירושלים, Israel",Bagel Cafe,"Emek Refa'im St 54, Jerusalem, Israel",ChIJ_2hLtMIpAxURPzabC0YTgvM
held-green,1966,קפה גרג,"דרך מנחם בגין 1, שדרות, Israel",7246,Greg שדרות,"שדרות מנחם בגין 1, שדרות",Cafe Greg,"Menachem Begin Rd 1, Sderot, Israel",ChIJuW2b5E6BAhURDcqdN2g0M5k
held-green,7138,שיפודי התקווה ראשון לציון,"רוזנסקי 11, ראשון לציון",3047,שיפודי התקווה,"רוז'נסקי 11, ראשון לציון, Israel",שיפודי התקווה ראשון לציון,"Rozhanski St 11, Rishon LeZion, 7574516, Israel",ChIJ7-Pah9azAhURalVjIO1GOf8
held-green,4981,לה מוצרלה LAMOZZARELLA ירושלים,"צביה ויצחק 8, ירושלים, Israel",4901,לה מוצרלה LAMOZZARELLA,"צביה ויצחק 8, ירושלים, Israel",פיצה לה מוצרלה la mozzarella,"Tsviya Ve-Yitshak St 8, Jerusalem",ChIJ738ZizzYAhURX5jtl1KnLow
held-green,4508,ביגה,"ז'בוטינסקי 72, הקניון הגדול, פתח תקווה, Israel",7212,BIGA פתח תקווה,"72 זאב ז'ובטינסקי, פתח תקווה",BIGA,"Jabotinsky St 72, Petah Tikva, Israel",ChIJsQxUymA3HRURbIBfDba-eZ4
held-green,5120,בלאק איירון,"אגריפס 80, מחנה יהודה, ירושלים, Israel",6704,Black Iron,"אגריפס 80, ירושלים",Black Iron,"Agripas St 80, Jerusalem, 9451304, Israel",ChIJ8-EWNfbXAhUREXgUvsP9n04
held-green,6759,Greg באר שבע,"דרך טוביהו 125, באר שבע",1877,קפה גרג,"שד' דוד טוביהו 125, באר שבע, Israel",קפה גרג גרנד קניון באר שבע,"גרנד קניון, שדרות דוד טוביהו 125, באר שבע, 8424351, Israel",ChIJ7dmRIqxlAhURXGpavWyOnLw
held-green,7210,"BIGA פ""ת כפר גנים","העצמאות 63, פתח תקווה",3992,ביגה BIGA כפר גנים,"העצמאות 63, פתח תקווה, Israel",ביגה כפר גנים - קניון הכיכר | כשר למהדרין,"HaAtsmaut St 63, Petah Tikva, Israel",ChIJZ_H032c1HRURUWiIKZYxqe4
held-green,1844,פסקדו,"מרטין בובר 1, אשדוד, Israel",6676,Pescado,"מרטין בובר 1, אשדוד",Pescado,"Martin Buber St 1/12, Ashdod, Israel",ChIJUUxvh6CjAhURs9np0Z_2At4
held-green,5090,Denver-דנוור,"דרך חברון 101, ירושלים, Israel",6614,דנוור סטייק האוס,"דרך חברון 101, ירושלים",Denver Steak House,"Hebron Rd 101, Jerusalem, 9348001, Israel",ChIJo0dZBLspAxURNCraVu0Tkuo
held-green,3643,חיים שווארמה פלאפל,"רוטשילד 27, בת ים, Israel",4260,פלאפל אריה,"רוטשילד 29, בת ים, Israel",פלאפל שרעבי,"Rothschild St 42, Bat Yam, Israel",ChIJwbUgYJCzAhURR87E749bsac
held-green,3815,שווארמה מילי,"ארלוזורוב 2, פתח תקווה, Israel",4004,פיצה מילי,"ארלוזורוב 2, פתח תקווה, Israel",פיצה מילי פתח תקווה,"Haim Arlozorov St 2, Petah Tikva, Israel",ChIJURUUTgk2HRURG93VrpyO5N8
held-green,6564,אחלה - אילת,"קאמן 1, אילת",1329,אחלה אילת,"קאמן 1, אילת, Israel",Achla - Platinum Grill,"קאמן 1 אילת IL 88000, Kamen 1, Eilat, Israel",ChIJz7PPdvtxABURuwmxUFhO0K4
held-green,1224,השיפודיה של שופן,"נורדאו מקס 5, באר שבע, Israel",6512,מסעדת שופן,"נורדאו 5, באר שבע",Shufan,"Max Nordau St 5, Be'er Sheva, Israel",ChIJ3-Kqcj9mAhURuFLLyORBPHQ
held-green,6641,ארקפה בסר 3,"כנרת 5, בני ברק",3143,ארקפה,"מצדה (כנרת) 5, פרדס כץ, בני ברק, Israel",Arcaffè,"Kinneret St 5, Bnei Brak, 6515252, Israel",ChIJPZfqeylKHRURu7w6lhJZ1eg
held-green,1980,רותס,"ויצמן 1, עכו העתיקה, Israel",7236,Roots,"וייצמן 1, עכו",Roots רותס,"Weizman St 1, Acre, 2430122, Israel",ChIJg2lGuj7JHRURy476nlgQ9h0
held-green,2032,שאלתי אלי,"יוחאי בן נון 6, חיפה, Israel",6740,שאלתיאלי,"יוחאי בן נון 6, חיפה",Shaltieli,"Yohai Ben Nun St 6, Haifa, Israel",ChIJ7yFS_mMPHRURAqs0L3Neags
held-green,3869,ממפיס Memphis תל אביב,"קרליבך 20, תל אביב, Israel",3460,ממפיס,"קרליבך 20, תל אביב, Israel","Memphis ממפיס תל אביב | המבורגר פרימיום כשר בד""צ בית יוסף","Carlebach St 20, Tel Aviv-Yafo, 6473005, Israel",ChIJj3oKf4JLHRURIgPsZjdaUQI
held-green,5447,הפינה,"ויצמן 6, רחובות, Israel",7092,קפה הפינה,"חיים ויצמן 6, רחובות",הפינה,"Haim Weizman St 6, Rehovot, 7628102, Israel",ChIJZ8ENtgO3AhURXJRKFIkkrOw
