id,name,original_address,current_google_name,current_google_address,google_place_id,google_name_he,google_name_lang_he,google_address_he,google_short_address_he,address_has_hebrew_he,google_name_en,google_name_lang_en,google_address_en,google_short_address_en,address_has_hebrew_en
583,פלאפל מוסא,"נתניה, Israel",Falafel mosa,"Sderot Hayim Weizman 12, Netanya, Israel",ChIJ6d27kKtqHRUR0hiVMqjCgjw,פלאפל מוסא וייצמן נתניה,iw,"שדרות חיים וייצמן 12, נתניה","שדרות חיים וייצמן 12, נתניה",yes,Falafel mosa,en,"Sderot Hayim Weizman 12, Netanya","Sderot Hayim Weizman 12, Netanya",no
586,פיצה דון פדרו,"נתניה, Israel",Don Pedro,"Herzl St 5, Netanya, 42400, Israel",ChIJAyRw-KhqHRURprEaYR9WKrc,פיצה,iw,"הרצל 5, נתניה, 42400","הרצל 5, נתניה",yes,Don Pedro,en,"Herzl St 5, Netanya, 42400","Herzl 5, Netanya",no
587,גלי צאנז,"Ha-Melakhim St 6, Netanya, Israel",Galei Tsanz,"Ha-Melakhim St 6, Netanya, Israel",ChIJbSqTWrZqHRURVrzcW7vdI5Y,מלון גלי צאנז,iw,"המלכים 6, נתניה","המלכים 6, נתניה",yes,Galei Tsanz,iw-Latn,"Ha-Melakhim St 6, Netanya","HaMelachim 6, Netanya",no
588,פיצה האט - נתניה - פולג,"Sderot Giborei Israel 22, Netanya, Israel",פיצה האט - נתניה - פולג,"Sderot Giborei Israel 22, Netanya, Israel",ChIJkapaIYJAHRURvBIbgyhHL1g,פיצה האט,iw,"שדרות גיבורי ישראל 22, נתניה","שדרות גיבורי ישראל 22, נתניה",yes,פיצה האט - נתניה - פולג,en,"Sderot Giborei Israel 22, Netanya","Sderot Giborei Israel 22, Netanya",no
589,בליקר בייקרי,"נתניה, Israel",Bleecker Bakery,"Ir Yamim Mall, Beni Berman St 2, Netanya, Israel",ChIJpcrg6JFAHRURP4Z5d2VsYro,בליקר בייקרי קניון עיר ימים,iw,"קניון עיר ימים, בני ברמן 2, נתניה","קניון עיר ימים, בני ברמן 2, נתניה",yes,Bleecker Bakery,en,"Ir Yamim Mall, Beni Berman St 2, Netanya","Ir Yamim Mall, Beni Berman 2, Netanya",no
591,היקב,"Gad Machnes St 6, Netanya, Israel",HaYekev,"Gad Machnes St 6, Netanya, Israel",ChIJC2nDlKdqHRURPYcUo-8fUqs,היקב,iw,"גד מכנס 6, נתניה","גד מכנס 6, נתניה",yes,HaYekev,en,"Gad Machnes St 6, Netanya","Gad Machnes 6, Netanya",no
599,קפה גן סיפור,"Sacher Park, Jerusalem, Israel",Gan Sipur Café,"Sacher Park, Jerusalem, Israel",ChIJQQHV9r_XAhURUZW0zafyYqw,קפה גן סיפור ירושלים,iw,"גן סאקר, ירושלים","גן סאקר, ירושלים",yes,Gan Sipur Café,en,"Sacher Park, Jerusalem","Sacher Park, Jerusalem",no
1192,פטריקס,"Hita St 1, Be'er Sheva, 8424617, Israel",Patrick's B7,"Hita St 1, Be'er Sheva, 8424617, Israel",ChIJA-kX61tnAhUR-CIfjJ2Xf5Q,פטריקס באר שבע,iw,"חיטה 1, באר שבע, 8424617","חיטה 1, באר שבע",yes,Patrick's B7,en,"Hita St 1, Be'er Sheva, 8424617","Hita 1, Beersheba",no
1195,ריבר באר שבע - River,"Hita St 1, Be'er Sheva, 8424617, Israel",ריבר באר שבע - River,"Hita St 1, Be'er Sheva, 8424617, Israel",ChIJV8mFbU5nAhURRSeKchKwK54,ריבר באר שבע - River,iw,"חיטה 1, באר שבע, 8424617","חיטה 1, באר שבע",yes,ריבר באר שבע - River,iw,"Hita St 1, Be'er Sheva, 8424617","Hita 1, Beersheba",no
1196,רוזה אשדוד כשרות מהדרין מחפוד,"ז'בוטינסקי 45, סטאר סנטר, אשדוד, Israel",Roza Ashdod - רוזה אשדוד,"| Star center, Jabotinski St 45, Ashdod, 7721902, Israel",ChIJ-7E-V1KjAhURx4C1tOMSWJE,Roza Ashdod - רוזה אשדוד,en,"| Star center, Jabotinski St 45, Ashdod, 7721902","| Star center, ז'בוטינסקי 45, אשדוד",no,Roza Ashdod - רוזה אשדוד,en,"| Star center, Jabotinski St 45, Ashdod, 7721902","| Star center, Jabotinsky 45, Ashdod",no
1198,רובן,"ז'בוטינסקי 43, סטאר סנטר, אשדוד, Israel",רובן אשדוד סטאר סנטר ruben‏,"Jabotinski St 43, Ashdod, Israel",ChIJs4k7zdGjAhURxVUlrKPbFvY,רובן,iw,"ז'בוטינסקי 43, אשדוד","ז'בוטינסקי 43, אשדוד",yes,רובן אשדוד סטאר סנטר ruben‏,en,"Jabotinski St 43, Ashdod","Jabotinsky 43, Ashdod",no
1199,כולנו - Kulanu,"Makhal St 1, Ashkelon, Israel",כולנו - Kulanu,"Makhal St 1, Ashkelon, Israel",ChIJr9aVl4ydAhURqeGq68TwLPY,כולנו - Kulanu,iw,"מח""ל 1, אשקלון","מח""ל 1, אשקלון",yes,כולנו - Kulanu,iw,"Makhal St 1, Ashkelon","Mahal 1, Ashkelon",no
1202,ג'אפן ג'אפן באר שבע,"מתחם הבלוק, ראובן רובין 5, באר שבע, 8454942, Israel",ג'אפן ג'אפן באר שבע,"מתחם הבלוק, ראובן רובין 5, באר שבע, 8454942, Israel",ChIJh9FBisBnAhUREpw_gsle5VQ,ג'אפן ג'אפן באר שבע,iw,"מתחם הבלוק, ראובן רובין 5, באר שבע, 8454942","מתחם הבלוק, ראובן רובין 5, באר שבע",yes,ג'אפן ג'אפן באר שבע,iw,"מתחם הבלוק, ראובן רובין 5, באר שבע, 8454942","מתחם הבלוק, Reuven Rubin 5, Beersheba",yes
1203,טעם העמק,"בעלי המלאכה 5, צים סנטר נתיבות, Israel",Taste of the Valley,"פריז סנטר, Ba'alei HaMelacha 5, Netivot, Israel",ChIJjTNKk3l-AhUReEM8LT6It9s,טעם העמק,iw,"פריז סנטר, בעלי המלאכה 5, נתיבות","פריז סנטר, בעלי המלאכה 5, נתיבות",yes,Taste of the Valley,en,"פריז סנטר, Ba'alei HaMelacha 5, Netivot","פריז סנטר, Ba'alei HaMelacha 5, Netivot",yes
1206,פרש דה מרקט,"דרך הדרום 3, קריית גת, Israel",פרש דה מרקט Fresh The Market,"Derekh ha-Darom 3, Kiryat Gat, Israel",ChIJpVkLPEiRAhURYe2c83whzhQ,פרש דה מרקט Fresh The Market,iw,"דרך הדרום 3, קרית גת","דרך הדרום 3, קרית גת",yes,פרש דה מרקט Fresh The Market,iw,"Derekh ha-Darom 3, Kiryat Gat","Derekh ha-Darom 3, Kiryat Gat",no
1211,"אווז הזהב, ביג","דרך אליהו נאוי 24, באר שבע, Israel",Golden Goose Restaurant,"מרכז ביג, אליהו נאוי 24, באר שבע, Israel",ChIJ0V_FWmlmAhURNeSjEEjJLMA,מסעדת אווז הזהב,iw,"מרכז ביג, אליהו נאוי 24, באר שבע","מרכז ביג, אליהו נאוי 24, באר שבע",yes,Golden Goose Restaurant,en,"מרכז ביג, אליהו נאוי 24, באר שבע","מרכז ביג, Eliyahu Nawi 24, Beersheba",yes
1213,ראיחונה- בית האוכל הבוכרי,"הבנאים 3, נמל אשדוד, Israel","ראיחונה, מסעדה בוכרית","HaBana'im St 3, Ashdod, Israel",ChIJSSNB82ujAhURLOUSrWuf6Z0,"ראיחונה, מסעדה בוכרית",iw,"הבנאים 3, אשדוד","הבנאים 3, אשדוד",yes,"ראיחונה, מסעדה בוכרית",iw,"HaBana'im St 3, Ashdod","HaBana'im 3, Ashdod",no
1214,אנג'לינה פיצה ופסטה,"אילת, Israel",מסעדת אנג'לינה באילת,"מלון המלך שלמה, Eilat, Israel",ChIJ67-_L-VxABURFyBhxrW-dgw,מסעדת אנג'לינה באילת,iw,"מלון המלך שלמה, אילת","מלון המלך שלמה, אילת",yes,מסעדת אנג'לינה באילת,iw,"מלון המלך שלמה, Eilat","מלון המלך שלמה, Eilat",yes
1215,קירה,"יאיר 4, אשדוד, Israel",קירה,"Yair St 4, Ashdod, 7722611, Israel",ChIJC4t1WHOjAhURLofDxX4F1D4,קירה,iw,"יאיר 4, אשדוד, 7722611","יאיר 4, אשדוד",yes,קירה,iw,"Yair St 4, Ashdod, 7722611","Yair 4, Ashdod",no
1216,ראנץ' האוס,"אילת, Israel",Ranch House,"טיילת רויאל ביץ, אילת, Israel",ChIJmY5N7e9xABURuSIAsmdOK-I,ראנץ' האוס,iw,"טיילת רויאל ביץ, אילת","טיילת רויאל ביץ, אילת",yes,Ranch House,en,"טיילת רויאל ביץ, אילת","טיילת רויאל ביץ, Eilat",yes
1217,באדה בום גן העיר,"Ha-Gdud ha-Ivri St 5, Ashdod, 7770089, Israel",באדה בום -Bada Boom,"Ha-Gdud ha-Ivri St 5, Ashdod, 7770089, Israel",ChIJPzZ8KrOjAhURE0zPLDMY23Y,באדה בום -Bada Boom,iw,"הגדוד העברי 5, אשדוד, 7770089","הגדוד העברי 5, אשדוד",yes,באדה בום -Bada Boom,iw,"Ha-Gdud ha-Ivri St 5, Ashdod, 7770089","HaGdud Haivri 5, Ashdod",no
1218,קפה אופרה,"קנאים 27, קניון ערד, Israel",Opera Cafe,"Ha-Kana'im St 27, Arad, Israel",ChIJW7ufzfj_AhURfopxzycU72o,קפה אופרה ערד,iw,"הקנאים 27, ערד","הקנאים 27, ערד",yes,Opera Cafe,en,"Ha-Kana'im St 27, Arad","HaKanaim 27, Arad",no
1219,הלב הרחב,"חיל ההנדסה 6, אילת, Israel",הלב הרחב,"Heil HaHandasa St 6, Eilat, Israel",ChIJmQ8F4vVxABUR1SI-Y9fUjdM,הלב הרחב,iw,"חיל ההנדסה 6, אילת","חיל ההנדסה 6, אילת",yes,הלב הרחב,iw,"Heil HaHandasa St 6, Eilat","Heil HaHandasa 6, Eilat",no
1220,MOOD,"הים 5, אילת, Israel",מסעדת מוד באילת | mood restaurant eilat,"Ha-Yam St 5, Eilat, 88000, Israel",ChIJnz4VnvJxABURzc9W-40baiU,מסעדת מוד באילת | mood restaurant eilat,en,"הים 5, אילת, 88000","הים 5, אילת",yes,מסעדת מוד באילת | mood restaurant eilat,en,"Ha-Yam St 5, Eilat, 88000","HaYam 5, Eilat",no
1221,קפרזה,"דרך הדרום 20, קריית גת, Israel",קפרזה,"Derekh ha-Darom 20, Kiryat Gat, Israel",ChIJZ9TBQlyTAhURnJCxcZD1F04,קפרזה,iw,"דרך הדרום 20, קרית גת","דרך הדרום 20, קרית גת",yes,קפרזה,iw,"Derekh ha-Darom 20, Kiryat Gat","Derekh ha-Darom 20, Kiryat Gat",no
1222,איטליקה,"קאמפן 8, אילת, Israel",איטליקה אילת,"Kampen St 6, Eilat, Israel",ChIJlxB3heNxABURnLjwv5JG-H4,איטליקה אילת,iw,"קאמפן 6, אילת","קאמפן 6, אילת",yes,איטליקה אילת,iw,"Kampen St 6, Eilat","Kampen 6, Eilat",no
1223,בום בר,"מבקיעים, Israel",עגלת קפה בום בר - מושב מבקיעים,"שדרת עצי הזית, Mavki'im, Israel",ChIJEYY8BOOdAhURLQWhbiCK-ug,עגלת קפה בום בר - מושב מבקיעים,en,"שדרת עצי הזית, מבקיעים","שדרת עצי הזית, מבקיעים",yes,עגלת קפה בום בר - מושב מבקיעים,en,"שדרת עצי הזית, Mavki'im","שדרת עצי הזית, Mavki'im",yes
1225,טעם העמק,"יפה נוף 5, אשקלון, Israel",טעם העמק,"Yefe Nof St 5, Ashkelon, Israel",ChIJJw5apUucAhURCp-4bl2QYXY,טעם העמק,iw,"יפה נוף 5, אשקלון","יפה נוף 5, אשקלון",yes,טעם העמק,iw,"Yefe Nof St 5, Ashkelon","Yefe Nof 5, Ashkelon",no
1227,ניסו הדייג,"בת גלים 3, אשקלון, Israel",Nisso HaDayag,"מתחם המרינה, בת גלים 1, אשקלון, Israel",ChIJvbRJxDWcAhURhKDET2sQqeg,ניסו הדייג,iw,"מתחם המרינה, בת גלים 1, אשקלון","מתחם המרינה, בת גלים 1, אשקלון",yes,Nisso HaDayag,en,"מתחם המרינה, בת גלים 1, אשקלון","מתחם המרינה, Bat Galim 1, Ashkelon",yes
1229,אושי אושי,"דימונה, Israel",אושי אושי דימונה,"דימרי סנטר, דימונה, Israel",ChIJrT3y-UhFAhURGszWOJN7tb4,אושי אושי דימונה,iw,"דימרי סנטר, דימונה","דימרי סנטר, דימונה",yes,אושי אושי דימונה,iw,"דימרי סנטר, דימונה","דימרי סנטר, Dimona",yes
1230,בית החצ'אפורי באר שבע,"החלוץ 53, באר שבע, Israel",בית החצ'פורי,"He-Khaluts St 53, Be'er Sheva, 8421431, Israel",ChIJ59yM6nZnAhURNA9ybkjztO8,בית החצ'פורי,iw,"החלוץ 53, באר שבע, 8421431","החלוץ 53, באר שבע",yes,בית החצ'פורי,iw,"He-Khaluts St 53, Be'er Sheva, 8421431","HeHaluts 53, Beersheba",no
1231,"ג'אספר 08 JASPER, ישרוטל אגמים","קאמפן 7, אילת, Israel",ג'אספר 08 - Jasper 08,"Kampen St 7, Eilat, 88000, Israel",ChIJyzAYHBFxABURpabARVKMhsk,ג'אספר 08 - Jasper 08,iw,"קאמפן 7, אילת, 88000","קאמפן 7, אילת",yes,ג'אספר 08 - Jasper 08,iw,"Kampen St 7, Eilat, 88000","Kampen 7, Eilat",no
1235,ללוש בראסרי באר שבע,"חיטה 1, באר שבע, Israel",Cafe La Lush,"סינמה סיטי, חיטה, באר שבע, Israel",ChIJSzn0GjJnAhURAaInVPCWr7k,ללוש בראסרי (כשר),iw,"סינמה סיטי, חיטה, באר שבע","סינמה סיטי, חיטה, באר שבע",yes,Cafe La Lush,en,"סינמה סיטי, חיטה, באר שבע","סינמה סיטי, Hita, Beersheba",yes
1236,ריבר אשקלון,"רחבעם זאבי 4, אשקלון, Israel",ריבר אשקלון - River,"Rehavam Ze'evi St 4, Ashkelon, Israel",ChIJx4GiBBSfAhURX4XSwzQ3vuk,ריבר אשקלון - River,iw,"רחבעם זאבי 4, אשקלון","רחבעם זאבי 4, אשקלון",yes,ריבר אשקלון - River,iw,"Rehavam Ze'evi St 4, Ashkelon","Rehavam Ze'evi 4, Ashkelon",no
1237,HAVAS,"יוסף טרומפלדור 73, באר שבע, Israel",מסעדת חבס,"Trumpeldor Joseph St 73, Be'er Sheva, Israel",ChIJrRSEoSZnAhURXr9-wWdNbkE,מסעדת חבס,iw,"טרומפלדור יוסף 73, באר שבע","טרומפלדור יוסף 73, באר שבע",yes,מסעדת חבס,iw,"Trumpeldor Joseph St 73, Be'er Sheva","Trumpeldor Joseph 73, Beersheba",no
1238,בית הפול והשווארמה נווה זאב,"שד' יוהנה ז'בוטינסקי 11, באר שבע, Israel","בית הפול והשווארמה - נווה זאב באר שבע | ב""ש | חומוס | פלאפל | סביח | שניצל | שווארמה | משלוחים","Sderot Johana Jabotinsky 11, Beersheba, Israel",ChIJSWOfZQdmAhUR_IDBoaq3Ug4,"בית הפול והשווארמה - נווה זאב באר שבע | ב""ש | חומוס | פלאפל | סביח | שניצל | שווארמה | משלוחים",iw,"שדרות יוהנה ז'בוטינסקי 11, באר שבע","שדרות יוהנה ז'בוטינסקי 11, באר שבע",yes,"בית הפול והשווארמה - נווה זאב באר שבע | ב""ש | חומוס | פלאפל | סביח | שניצל | שווארמה | משלוחים",iw,"Sderot Johana Jabotinsky 11, Beersheba","Sderot Johana Jabotinsky 11, Beersheba",no
1244,פינצ'יטו,"הסתת 7, אילת, Israel",Pinchito Eilat,"Ha-Satat St 7, Eilat, 88000, Israel",ChIJzQ4oXARuABURx77m2BbmBhA,פינצ׳יטו pinchito,iw,"הסתת 7, אילת, 88000","הסתת 7, אילת",yes,Pinchito Eilat,en,"Ha-Satat St 7, Eilat, 88000","HaSatat 7, Eilat",no
1246,פיצה שמש נווה זאב,"שד' יוהנה ז'בוטינסקי 24, באר שבע, Israel",פיצה שמש נווה זאב,"Sderot Johana Jabotinsky 24, Beersheba, Israel",ChIJb05EnwdmAhURrcmjQR2FD9s,פיצה שמש נווה זאב,iw,"שדרות יוהנה ז'בוטינסקי 24, באר שבע","שדרות יוהנה ז'בוטינסקי 24, באר שבע",yes,פיצה שמש נווה זאב,iw,"Sderot Johana Jabotinsky 24, Beersheba","Sderot Johana Jabotinsky 24, Beersheba",no
1247,מאפיית אורן,"מרכז אורן 50, באר שבע, Israel",מאפיות אורן Cafe,"Yitzhack I. Rager Blvd 185, Be'er Sheva, Israel",ChIJO5QVoPRmAhUR6YnyQ2aTnfs,מאפיות אורן Cafe,iw,"שדרות יצחק רגר 185, באר שבע","שדרות יצחק רגר 185, באר שבע",yes,מאפיות אורן Cafe,iw,"Yitzhack I. Rager Blvd 185, Be'er Sheva","Yitzhack I. Rager Blvd 185, Beersheba",no
1248,בראנצ'וס,"ז'בוטינסקי 43, סטאר סנטר, אשדוד, Israel",בראנצ'וס אשדוד,"מתחם סטאר סנטר, ז'בוטינסקי 43, אשדוד, Israel",ChIJnUPN286jAhUR-W_rSnZKLvU,בראנצ'וס אשדוד,iw,"מתחם סטאר סנטר, ז'בוטינסקי 43, אשדוד","מתחם סטאר סנטר, ז'בוטינסקי 43, אשדוד",yes,בראנצ'וס אשדוד,iw,"מתחם סטאר סנטר, ז'בוטינסקי 43, אשדוד","מתחם סטאר סנטר, Jabotinsky 43, Ashdod",yes
1250,פיתה בסטה אשדוד,"הבנאים 1, נמל אשדוד, Israel",פיתה בסטה - סניף אשדוד,"HaBana'im St 1, Ashdod, Israel",ChIJRUMRhGujAhUROdEdSInk2cI,פיתה בסטה - סניף אשדוד,iw,"הבנאים 1, אשדוד","הבנאים 1, אשדוד",yes,פיתה בסטה - סניף אשדוד,iw,"HaBana'im St 1, Ashdod","HaBana'im 1, Ashdod",no
