id,name,dest,country,address,kosher_certified,source_quality,confidence,certifying_body,evidence,source_url,friReason,satReason
8445,Kosher Food at the Chabad Latchi,Paphos,Cyprus,"Box 66091, Latchi CY, E713, Polis Crysochous, Cyprus",unclear,directory,0.35,,"הנמצא ברשימה של הרבנות הראשית של קפריסין בקטגוריית לאצ'י, אך ללא אישור ספציפי של תעודת הכשרות לסניף זה. הנתונים מראים רק שם הערים ללא פרטים מלאים של ההשגחה.",https://rabbinatecyprus.org/en/info/6372/,,פתוח 8:30 AM–9:00 PM בשבת (חופף ל-08:00–16:00)
7356,שלום,Prague,Czech Republic,"Maiselova 250/18, Josefov, 110 00 Praha-Praha 1, Czechia, Prague",yes,official,0.95,Chief Rabbinate of the Jewish Community of Prague,אתר הקהילה היהודית בפראג מאשר שרסטוران שלום בכתובת Maiselova 250/18 מחזיק בתעודת כשרות מאשרת 'Fleishik' תחת감독 Chief Rabbinate. התעודה תקפה והפיקוח מתנהל על ידי הרבנות הרשמית של הקהילה.,https://www.kehilaprag.cz/en/tourism/restaurant-salom,,פתוח 11:30 AM–2:00 PM בשבת (חופף ל-08:00–16:00)
8374,5th District by King Solomon,Prague,Czech Republic,"Široká 8,  Josefov, Prague, 110 00, Czech Republic",yes,directory,0.85,Prague Rabbinate (Orthodox Rabbinate of Prague); supervised by local rabbi,מסעדה זו מוכנת כשר בהשגחה של הרבנות הקדושה של פראג עם הסמכה גלט כשר.,https://bestpragueguide.com/en/blog/prague-kosher-restaurants,פתוח עד 10:00 PM בערב שישי (אחרי 21:00),
8377,Mansson's Bakery,Prague,Czech Republic,"Josefov CZ, Bílkova 6/8, Staré Město, Prague, 110 00, Czech Republic",yes,official,0.85,Rabbinate of the Jewish Community in Prague,"הקמח כשר תחת פיקוח הרבנות של הקהילה היהודית בפראג. בעמוד הרשמי של הרבנות (2024-2026 רשימות כשרות) מפורש שמנסון בקונדיטוריה בכתובת Bílkova Str. 8, Prague 1, מכשירה לחם בקטגוריית 'Pat Israel' עם תעודה כשר בחנות.",https://www.kehilaprag.cz/docs/2577-Kosher%20List%202026%20(products%20under%20the%20supervision%20of%20the%20Rabbiinate%20JCP).pdf,,פתוח 8:00 AM–7:00 PM בשבת (חופף ל-08:00–16:00)
8382,Trdelník & Coffee,Prague,Czech Republic,"Josefov CZ, U Starého Hřbitova 42/2, Prague, 110 00, Czech Republic",yes,directory,0.75,Prague Chief Rabbinate,"הקביעה נעשתה בעיקר דרך מקורות בינוניים כמו TotallyJewishTravel, WandeRving Jews, וEasyKosherTravel המציינים תיקייה בפיקוח רבנות פראג. אמנם מציאות אינה מוצאת שום תעודה רשמית בתוך עצמי הרבנות, ובדיקה ממוקדת של אתרי הרבנות מצביעה על סקי היכולת לזהות תעודות משנה 2024. מקורות רבים של צד שלישי ודיור מציעים ערך צנוע יותר אך קוהרנטי",https://www.totallyjewishtravel.com/Kosher_Restaurant-TE66278-trdelnik_coffee-Reviews-prague_czech_republic.html,,פתוח 11:00 AM–7:30 PM בשבת (חופף ל-08:00–16:00)
4694,Florence Kahn,Paris,France,"24 Rue des Écouffes, Paris 4e",unclear,directory,0.35,,"התיקייה מסווגת ככשר באתרים שלישיים, אך אין אישור רשמי מגופי הסמיכה (Beth Din, Rabbanut, וכו'). כל המאמרים הם בעיקר מ-travel guides ו-review sites. אתר אחד מתאר זאת כ-'kosher-style', שלא הוא תעודת הסמיכה.",,,פתוח 10:00 AM–6:30 PM בשבת (חופף ל-08:00–16:00)
4695,Chez Marianne,Paris,France,"2 Rue des Hospitalières Saint-Gervais, Paris 4e",no,directory,0.9,,"אתר מידע על המסעדה נשאל ישירות 'האם המקום קשר בקפדנות?' ותשובת בעל המסעדה או מנהלה הייתה 'לא'. כמו כן, לא נמצאה הסמכה רשמית מכל רשות כשרות מוכרת (קונסיסטוריון פריז, רבנות לובוביץ', בית דין וכו')",https://chez-marianne.weeblyte.com/,פתוח עד 12:00 AM בערב שישי (אחרי 21:00),פתוח 9:30 AM–12:00 AM בשבת (חופף ל-08:00–16:00)
8195,Canal Grill,Paris,France,"153 Rue de Crimée , Paris, 75019 , France",yes,directory,0.8,Rav Rottenberg (Paris),מסעדה בהנהלת הרב רוטנברג בכתובת המדוקדקת 153 רו דקרימה פריז 75019,https://koshernear.me/listings/15781/canal-grill-paris,פתוח 24 שעות (כולל כניסת שבת),פתוח 24 שעות בשבת
8196,Chabad Champs Elysees Shabbat,Paris,France,"122 Av. des Champs-Élysées, Paris, 75008, France",unclear,directory,0.6,Chabad (informal supervision),"מקורות מפורסמים מפרטים קו קדוש בעת ארוחות שבת, אך אין הוכחה של תעודת הכשרות רשמית מגוף קדוש מוכר. פיקוח של חב״ד בדרך כלל בלתי רשמי.",https://www.totallyjewishtravel.com/Kosher_Restaurant-TE54450-chabad_champs_elysees_shabbat-Reviews-paris_france.html,,פתוח 9:00 AM–3:00 PM בשבת (חופף ל-08:00–16:00)
8216,Doron 17e,Paris,France,"73 Av. Niel, Paris, 75017, France",yes,directory,0.75,Rav Rottenberg (Paris local authority),מספר ספריות כשרות מאמתות את הסערטיפיקט של דורון 17 בנתובת 73 Av. Niel תחת פיקוח rav Rottenberg; אך קיימת עיבוד כתובות אפשרי עם מיקומים אחרים של דורון,https://www.123cacher.com/restaurant/doron_restaurant/,פתוח עד 12:00 AM בערב שישי (אחרי 21:00),
8220,Friday Night Great Synagogue,Paris,France,"Synagogue de la Victoire 44, rue de la Victoire  , Paris, 75009, France",unclear,directory,0.3,,"הסינגוג מציעה ארוחת שבת עם קייטרינג גלט כשר (לא הסינגוג עצמה מאושרת כשר), אך אין אישור רשמי ממשק הכשרות של בית דין פריז או רשות כשרות אחרת שנמצא בחיפוש.",http://www.lavictoire.org/English/,,פתוח 9:00 AM–12:30 PM בשבת (חופף ל-08:00–16:00)
8238,La Délicieuse Voltaire,Paris,France,"234, Boulevard Voltaire, Paris, 75011, France",yes,directory,0.75,Beth Din de Paris,"מסעדה זו מופיעה בכמה מקורות כעם תעודת Beth Din de Paris, כולל אתרים מוכרים לתיירות כשרה. עם זאת, המקורות הם בעיקר רשימות צד שלישי (directory) ולא אתר רשמי של Beth Din עצמו. ההנתונים העדכניים ביותר הם מ-2024-2026",https://koshernear.me/listings/15830/la-delicieuse-voltaire-paris,,פתוח 7:00 AM–8:00 PM בשבת (חופף ל-08:00–16:00)
8270,O'Woks 19,Paris,France,"115, rue Manin, Paris, 75019, France",yes,directory,0.85,Lubavitch Rabbinate of France (Rabbinat Loubavitch de France / Chabad),"מסעדה זו מופיעה בכמה ספרייות כשרות (KosherNear.me, TotallyJewishTravel, ForKosher, KosherInFrance) עם אישור Rabbinat Loubavitch de France בכתובת הדיוקת: 115 rue Manin, Paris 75019",https://koshernear.me/listings/15870,,פתוח 11:00 AM–3:00 PM בשבת (חופף ל-08:00–16:00)
8279,Shinzzo Manin,Paris,France,"68 Rue Manin, Paris, 75019, France",yes,official,0.95,Beth Din de Paris,"הרסטוران Shinzzo Manin בכתובת 68 Rue Manin, Paris 75019 הוא מוסמך על ידי Beth Din de Paris (בית דין של פריז). מצוין בעמודים רשמיים וספריות משמעותיות כמו goKosher וEasy Kosher Travel 2026, עם כתובת והסכמי פיקוח מחדדים.",https://www.gokosher.com/en/f96446,פתוח עד 10:45 PM בערב שישי (אחרי 21:00),פתוח 11:00 AM–10:45 PM בשבת (חופף ל-08:00–16:00)
6422,"בית חב""ד מערב ברלין",Berlin,Germany,"Münstersche Str. 6, 10709 Berlin, Germany.",yes,official,0.95,Rabbi Yehuda Teichtal (Chabad Berlin / Chief Rabbi of Berlin),"מסעדה כשרה למהדרין בכשרות רב העיר הרב טייכטל במרכז חב'ד בברלין, ממוקמת בכתובת המדויקת Münstersche Str. 6",https://chabadberlin.de/en/food/,פתוח עד 10:00 PM בערב שישי (אחרי 21:00),פתוח 8:30 AM–10:00 PM בשבת (חופף ל-08:00–16:00)
6423,"בית חב""ד ברלין לישראלים – אלכסנדרפלאץ",Berlin,Germany,"Karl-Liebknecht Str. 34, 10178 Berlin.",unclear,directory,0.3,,"בית חב""ד אלכסנדרפלאץ מציע סעודות שבת לרישום מראש אך לא נמצאה תעודת כשרות רשמית לאתר זה",https://chabad-berlin-alexanderplatz.com/en/,,פתוח 9:00 AM–6:30 PM בשבת (חופף ל-08:00–16:00)
6311,hummusbar,Budapest,Hungary,"Budapest, Október 6. u. 19, 1051 Hungary",unclear,directory,0.4,Chug Chatam Sofer – Petach Tikva (referenced),"מקורות שונים מציינים הנחזקות של חמוס בר בשם 'כשר' אך ללא אישור רשמי. Visit Kerestir מציין 'Chug Chatam Sofer - Petach Tikva' כגוף הפיקוח, עם הערה 'The kosher certificate must be checked.' מסדרי Wolt/delivery מציינים 'kosher restaurants' אך ללא אישור מאומת למקום הספציפי זה.",https://www.visitkerestir.com/en/kosher-restaurants-in-budapest,פתוח עד 9:30 PM בערב שישי (אחרי 21:00),פתוח 11:00 AM–9:30 PM בשבת (חופף ל-08:00–16:00)
8400,The Bretzel Bakery - ONLY THE BREAD,Dublin,Ireland,"1a Lennox St Portobello, Dublin 8, Dublin, Ireland",yes,official,0.85,Kashrut Commission of Ireland (KCI),"Dublin Hebrew Congregation's official kosher page states: 'The Bretzel Bakery, 1a Lennox Street in Portobello, Dublin 8 also make bread onsite under supervision. Only specified items are currently approved as kosher under the KCI.' This matches the exact address provided.",https://www.dublinhebrew.org/kosher,,פתוח 9:00 AM–4:00 PM בשבת (חופף ל-08:00–16:00)
2196,תחנה 4,Afula,Israel,"זלמן הוז 1, עפולה, Israel",unclear,directory,0.4,,"רשומה בספריות מסעדות כישראליות מסומנות ככשרות, אך לא נמצאה תעודת כשרות רשמית מגוף הכשרות מוכר או מועצה דתית עפולה",https://www.rest.co.il/restaurants/afula/steakhouse/,פתוח 24 שעות (כולל כניסת שבת),פתוח 24 שעות בשבת
6662,BIGA נוף הגליל,Afula,Israel,"דרך העמק 41, נוף הגליל",no,directory,0.85,,"BIGA בנוף הגליל בדרך העמק 41 אינה מפורטת בתיקיות מסעדות כשרות, והאתר הרשמי אינו מזכיר תעודת כשרות. רק הסניף בעפולה מציין כשרות למהדרין חלבי.",https://biga.nazareth.rest.co.il/,פתוח עד 11:00 PM בערב שישי (אחרי 21:00),פתוח 8:00 AM–11:00 PM בשבת (חופף ל-08:00–16:00)
2638,הרופטופ של עכותיקה,Akko,Israel,"רח' 10 31, עכו, Israel",unclear,directory,0.4,,"המסעדה מופיעה בדירוג כ'כשר' בספריית מסעדות Rest.co.il, אך לא נמצאה אישור רשמי מגוף הכשרות מוכר (רבנות, OK, OU וכו') או תעודת הכשרות למקום זה.",https://www.rest.co.il/kosher-restaurants/akko/kosher/,,פתוח 8:30 AM–12:00 PM בשבת (חופף ל-08:00–16:00)
1444,קמפאי סטריט ווק,Ashdod,Israel,"גור דב 13, אשדוד, Israel",unclear,none,0.2,,"כתובת לא מתאימה - המסעדה בביג פאשן, לא בגור דב 13. לא נמצאה תעודת כשרות רשמית לסניף אשדוד.",,,פתוח 11:30 AM–11:30 PM בשבת (חופף ל-08:00–16:00)
1837,גרג קיטשן,Ashdod,Israel,"הגדוד העברי 1, אשדוד, Israel",yes,directory,0.85,Beit Yosef / Badatz,"מקור דיריקטורי מציין כשרות למהדרין, בית יוסף. גרג קיטשן, הגדוד העברי 1, אשדוד מופיע בחיפוש ברשימות מסעדות כשרות כ-כשר למהדרין עם הנתון שהוא מוקפד על כשרות דקדוקית.",https://gregcafe.co.il/branch/%D7%92%D7%9F-%D7%94%D7%A2%D7%99%D7%A8-%D7%90%D7%A9%D7%93%D7%95%D7%93/,,פתוח 8:00 AM–11:00 PM בשבת (חופף ל-08:00–16:00)
1892,מקדונלד'ס,Ashdod,Israel,"בלפור 14, קניון לב אשדוד, Israel",unclear,directory,0.6,,"מקורות בדיקטוריון (דפי זהב, ZAP) מציינים את הסניף בבלפור 14 כ'כשר', אך לא נמצאה תעודת כשרות רשמית או פרטי גוף מפקח ספציפי לסניף זה בדיוק. אתר מקדונלד'ס הרשמי מפרט סניפים בסטאר סנטר אך לא זה בבלפור 14 במפורש.",https://www.d.co.il/h-c30455-e0-p0-l0-city70-t40090659.nb1/,,פתוח 10:30 AM–12:00 AM בשבת (חופף ל-08:00–16:00)
1928,T-MIX,Ashdod,Israel,"העצמאות 4, אשדוד, Israel",unclear,directory,0.5,,"T-MIX בכתובת העצמאות 4 באשדוד מופיע כמסעדת בשרים כשרה בספריית rest.co.il, אך לא אוכלת לאשר תוקף הסמכה זו משום שלא הצלחתי לגשת למאגר הרשמי של רבנות אשדוד",https://www.rest.co.il/kosher-restaurants/ashdod/kosher/deliveries/page-2/,,פתוח 9:00 AM–5:00 PM בשבת (חופף ל-08:00–16:00)
3214,בורה בורה,Bat Yam,Israel,"דרך בן גוריון 96, טיילת בת ים, Israel",no,none,0.95,,"בורה בורה בבת ים היא בריכת שחייה ומקום אירועים, לא מסעדה. אמנם מציעה שירותי קייטרינג כשר, אך לא נמצאה שום הסמכה רשמית מגוף הסדר כשרות מוכר.",,,פתוח 9:00 AM–6:00 PM בשבת (חופף ל-08:00–16:00)
3506,מרכז המאפה,Bat Yam,Israel,"אהוד קנמון 27, בת ים, Israel",yes,official,0.9,"בד""ץ בית יוסף (Badatz Beit Yosef)","מרכז המאפה בכתובת אהוד קנמון 27, בת ים רשום בתיקייה הרשמית של בד״ץ בית יוסף ובאתרים של מסעדות כשרות כשר, וגם בחשבון אינסטגרם הרשמי של העסק המציין 'כשרות- בד""ץ ביץ יוסף'",https://www.badatz.biz/biz/%D7%9E%D7%A8%D7%9B%D7%96-%D7%94%D7%9E%D7%90%D7%A4%D7%94/,פתוח 24 שעות (כולל כניסת שבת),פתוח 24 שעות בשבת
3553,ארומה,Bat Yam,Israel,"יוספטל 92, קניון בת ים, Israel",yes,directory,0.65,,"סניף ארומה בקניון בת ים מסומן כ'כשר' בפלטפורמות צד שלישי (Wolt, וולט). לא נמצאה תעודה רשמית מגוף הכשר מסוים.",https://wolt.com/en/isr/rishon-lezion-hashfela-area/restaurant/aroma-bat-yam,,פתוח 7:00 AM–9:00 PM בשבת (חופף ל-08:00–16:00)
1324,סומבררו,Be'er Sheva,Israel,"בורנשטיין 801, ירוחם, Israel",unclear,directory,0.4,,"רשימה בספריות מסעדות כשרות של צד שלישי, אך אין תעודת כשרות רשמית מגוף מוסמך שנמצאה לסניף הספציפי בירוחם",https://www.rest.co.il/rest/80234148/,פתוח עד 3:00 AM בערב שישי (אחרי 21:00),
6582,Cinnabon באר שבע,Be'er Sheva,Israel,"שדרות טוביהו 125 גראנד קניון, באר שבע",unclear,directory,0.5,,"מיקום בספריית מסעדות כשרות בבאר שבע וצפוי להפתח בגרנד קניון באר שבע (פברואר 2026), אך אין אישור רשמי של גוף הסמכה ספציפי",https://www.rest.co.il/kosher-restaurants/beer-sheva/kosher/,פתוח עד 9:30 AM בערב שישי (אחרי 21:00),
2180,דלאל,Beit She'an,Israel,"הארבעה 1, בית שאן, Israel",unclear,directory,0.5,,"המסעדה מופיעה בספריות כשרות בתור כשרה, אך לא נמצאה תעודת הכשר רשמית מהרבנות או המועצה הדתית של בית שאן. ניתן לאמת על ידי פנייה ישירה למסעדה או לרבנות המקומית.",https://www.rest.co.il/kosher-restaurants/beit-shean/kosher/,,פתוח 8:00 AM–11:30 PM בשבת (חופף ל-08:00–16:00)
2694,בויה נקניק מגולגל בטוסט,Beit She'an,Israel,"אהבת ישראל 9, בית שאן, Israel",unclear,directory,0.5,Rabbanut Beit She'an (presumed),"Restaurant listed as kosher in Israeli directories at correct address, but no direct access to official Rabbanut Beit She'an certificate registry to confirm current valid certification",https://www.rest.co.il/rest/80377222/,פתוח עד 11:00 PM בערב שישי (אחרי 21:00),פתוח 6:00 AM–11:00 PM בשבת (חופף ל-08:00–16:00)
2702,מפגש מאור,Beit She'an,Israel,"ירושלים הבירה 31, בית שאן, Israel",unclear,official,0.4,Beit She'an Religious Council (המועצה הדתית בית שאן),"רשומה בתיקייה הרשמית של המועצה הדתית בית שאן מצביעה על כתובת 34 ירושלים הבירה, לא 31. יש חוסר בהירות בשאלה האם זהו אותו מקום או מקומות שונים",https://rbs.org.il/directory-kashrut/listing/%D7%9E%D7%A4%D7%92%D7%A8-%D7%9E%D7%90%D7%95%D7%A8/,פתוח עד 12:00 AM בערב שישי (אחרי 21:00),
2983,מפגש השווארמה,Beit She'an,Israel,"אהבת ישראל 3, בית שאן, Israel",yes,official,0.95,Beit She'an Religious Council (המועצה הדתית בית שאן) - Rabbanut Local Authority,"הרסטורן רשום בתיקייה הרשמית של המועצה הדתית בית שאן - ממקור ממשלתי רשמי של הרבנות המקומית. בנוסף, מדורגות כשרות למהדרין בכמה שירותי הזמנה.",https://rbs.org.il/directory-kashrut/listing/%D7%9E%D7%A4%D7%92%D7%A9-%D7%94%D7%A9%D7%95%D7%95%D7%90%D7%A8%D7%9E%D7%94/,פתוח 24 שעות (כולל כניסת שבת),
5455,הבית של זוהרה,Beit Shemesh,Israel,"לוזית, Israel",no,directory,0.7,,מקור tour-yehuda.org.il מציין כי הכשרות היא 'לא' (no). אף מקור רשמי לא מאשר הסמכה כשרה. המסעדה הוא מוקד מרוקאי בתיתי ללא감קדימא כשרה מוכרת.,https://tour-yehuda.org.il/business/174/,פתוח 24 שעות (כולל כניסת שבת),
1907,הפיצה של יהושוע,Dimona,Israel,"דימונה, Israel",unclear,directory,0.3,,מסעדה רשומה בדירוג קומפילציה כ'כשר' אך אין אישור רשמי מגוף השגחה ידוע. אין מידע על סמכות השגחה구体 באתר הרשמי של המסעדה או בתיעודים רשמיים.,https://www.rest.co.il/rest/71726530/,פתוח עד 12:00 AM בערב שישי (אחרי 21:00),פתוח 12:00 AM–5:00 PM בשבת (חופף ל-08:00–16:00)
1724,כפות תמרים,Eilat,Israel,"אילות, Israel",yes,official,0.95,רבנות אילת (Eilat Rabbinate),מסעדה כשרה עם משגיח צמוד במקום תחת השגחת רבנות אילת. מאומת בכמה מקורות רשמיים כולל קוד-מטא וכתלי הרבנות.,https://www.kosherest.co.il/rests/eilat/6935-%D7%9B%D7%A4%D7%95%D7%AA-%D7%AA%D7%9E%D7%A8%D7%99%D7%9D,פתוח 24 שעות (כולל כניסת שבת),פתוח 24 שעות בשבת
1728,פיצה מטר אילת,Eilat,Israel,"חיל ההנדסה 6, אילת, Israel",yes,directory,0.85,רבנות אילת (Rabbanut Eilat),"מקום זה מופיע בכמה מקורות מסוים כברוכשה בתאריך עדכני עם כשרות מהדרין של רבנות אילת בכתובת חיל ההנדסה 6, אילת",https://metaylimbkipa.com/%D7%9E%D7%A1%D7%A2%D7%93%D7%95%D7%AA-%D7%9B%D7%A9%D7%A8%D7%95%D7%AA-%D7%91%D7%90%D7%99%D7%9C%D7%AA/,פתוח 24 שעות (כולל כניסת שבת),פתוח 24 שעות בשבת
1789,פיצה האט,Eilat,Israel,"אילת, Israel",yes,official,0.95,Badatz Beit Yosef,"סניף קניון האדום אילת מחזיק בתעודת כשרות מהודרין של בד""ץ בית יוסף - מקור רשמי מאתר פיצה האט",https://www.pizzahut.co.il/branch/mall-hayam-eilat/,פתוח עד 12:00 AM בערב שישי (אחרי 21:00),פתוח 11:30 AM–12:00 AM בשבת (חופף ל-08:00–16:00)
1869,גולדה,Eilat,Israel,"אילת, Israel",yes,directory,0.85,Rabbanut (Eilat Rabbinate),אתר eilat.city דיווח שהסניף קוסם ממוקם בפרומנדה North Beach של אילת וקבל הסמכה כשרות מפקחות הרבנות המקומית,https://eilat.city/en/golda,פתוח עד 12:00 AM בערב שישי (אחרי 21:00),פתוח 9:00 AM–12:00 AM בשבת (חופף ל-08:00–16:00)
5566,ארוחות קטנות,Gedera,Israel,"ההדר 94, קדרון, Israel",unclear,directory,0.3,,תאגידים עסקיים קובעים 'כשר עם תעודה' אך לא נמצאה תעודה רשמית מהרבנות גדרה או הרבנות הראשית,https://easy.co.il/page/26069666,,פתוח 7:00 AM–6:00 PM בשבת (חופף ל-08:00–16:00)
5688,חוות אלבואדי מסעדת אג'אויד,Hadera,Israel,"זמר, Israel",no,none,0.95,,"המסעדה מתוארת כערבית אותנטית עם תפריט בשרים מסורתי, ללא כל אזכור להסמכה כשרה בכל המקורות הרשמיים שלה",https://www.ajoid.co.il/,פתוח עד 1:00 AM בערב שישי (אחרי 21:00),פתוח 9:00 AM–12:00 AM בשבת (חופף ל-08:00–16:00)
2034,כתום,Haifa,Israel,"חיפה, Israel",unclear,directory,0.4,,"המסעדה עצמה מהווה מוסד כשר (האתר הרשמי וספריות מסעדות בישראל מציינות זאת), אך לא מצאתי אישור רשמי מעדת חיפה לאימות התעודה הנוכחית",https://katom.rest.co.il/,,פתוח 11:30 AM–4:00 PM בשבת (חופף ל-08:00–16:00)
2520,סטיישן סנדביץ' קלאב-STATION SANDWICH CLUB,Haifa,Israel,"דרך שמחה גולן 54, גרנד קניון חיפה, Israel",unclear,directory,0.4,Likely Rabbanut Haifa (not verified),"ממקורות רישום מסעדות בעברית (Rest.co.il, Wolt) המסעדה מופיעה כ'כשר', אך לא נמצא תעודת כשרות רשמית מהרבנות חיפה או מאתר רישום רשמי. ראיה היא מדירקטוריון בלבד ולא מקור ממונה כשרות.",https://www.rest.co.il/rest/80294916/,פתוח 24 שעות (כולל כניסת שבת),פתוח 24 שעות בשבת
2692,ברוקלין 17,Haifa,Israel,"חיפה, Israel",no,official,0.95,,ברוקלין 17 בחיפה אינה בעלת תעודת כשרות. מצא במאמר בירושלים פוסט: 'Dairy kosher ingredients but no kashrut certificate' - המסעדה משתמשת בחומרים כשרים אך ללא תעודה רשמית.,https://www.jpost.com/food-recipes/article-864927,פתוח עד 12:00 AM בערב שישי (אחרי 21:00),
6530,Greg חוצות המפרץ חיפה,Haifa,Israel,"החרושת 8, חיפה",yes,official,0.95,Haifa Rabbanut,קפה גרג חוצות המפרץ בחיפה מעוניין בתיקיה כשרה תחת פיקוח הרבנות חיפה. אתר goKosher מדווח על הסמכה רבנית כשרה.,https://www.gokosher.com/en/f92506,,פתוח 10:00 AM–10:30 PM בשבת (חופף ל-08:00–16:00)
