id,old_name,old_address,google_place_id,current_google_name,current_google_address,triage,triage_reason,google_name_he,google_name_lang_he,google_address_he,google_short_address_he,address_has_hebrew_he,google_name_en,google_name_lang_en,google_address_en,google_short_address_en,address_has_hebrew_en
1469,קייטרינג שף,"באר שבע, Israel",ChIJA5eTNNllAhURf4AhMa8xxbM,הסכין והקרש-שף פרטי-עדי אליהו-קייטרינג- באר שבע,"Ha-Khoresh St 22, Be'er Sheva, Israel",,,הסכין והקרש-שף פרטי-עדי אליהו-קייטרינג- באר שבע,iw,"החורש 22, באר שבע","החורש 22, באר שבע",yes,הסכין והקרש-שף פרטי-עדי אליהו-קייטרינג- באר שבע,iw,"Ha-Khoresh St 22, Be'er Sheva","Hahoresh 22, Beersheba",no
1590,סינטה,"האורגים 9, טופ סנטר אשדוד, Israel",ChIJa-2cdWujAhURp71NOb7Qd3M,סינטה,"מתחם חצי חינם, האורגים 19, אשדוד, Israel",,,סינטה,iw,"מתחם חצי חינם, האורגים 19, אשדוד","מתחם חצי חינם, האורגים 19, אשדוד",yes,סינטה,iw,"מתחם חצי חינם, האורגים 19, אשדוד","מתחם חצי חינם, HaOrgim 19, Ashdod",yes
1634,פיציריקה,"נתיבות, Israel",ChIJdyvjC19-AhURXg5icU72QEo,פיציריקה,"Ganey Tal St 2, Netivot, Israel",,,פיציריקה,iw,"גני טל 2, נתיבות","גני טל 2, נתיבות",yes,פיציריקה,iw,"Ganey Tal St 2, Netivot","Ganey Tal 2, Netivot",no
1661,עוגלנד,"שד' התמרים, אילת, Israel",ChIJWXOR6ndzABURwNyoyj2lH7o,עוגלנד / ogalend,"Sderot HaTmarim, Eilat, 88000, Israel",,,עוגלנד / ogalend,en,"שדרות התמרים, אילת, 88000","שדרות התמרים, אילת",yes,עוגלנד / ogalend,en,"Sderot HaTmarim, Eilat, 88000","Sderot HaTmarim, Eilat",no
1663,קפה קפה,"שד' יגאל אלון 31, דימונה, Israel",ChIJYwvnXANGAhURCnAHBHMPeQ4,"קפה קפה, דימונה","Sderot Yig'al Alon 31, Dimona, Israel",,,"קפה קפה, דימונה",iw,"שדרות יגאל אלון 31, דימונה","שדרות יגאל אלון 31, דימונה",yes,"קפה קפה, דימונה",iw,"Sderot Yig'al Alon 31, Dimona","Sderot Yig'al Alon 31, Dimona",no
1707,חומוס אליהו,"ירוחם, Israel",ChIJ4RNEWB8_AhURI5aaOxPHbkQ,חומוס אליהו ירוחם,"מרכז מסחרי, Tsvi Bornstein, Yeruham, Israel",,,חומוס אליהו ירוחם,iw,"מרכז מסחרי, צבי בורנשטיין, ירוחם","מרכז מסחרי, צבי בורנשטיין, ירוחם",yes,חומוס אליהו ירוחם,iw,"מרכז מסחרי, Tsvi Bornstein, Yeruham","מרכז מסחרי, Tsvi Bornstein, Yeruham",yes
1796,בורגראנץ',"הרצל 31, שדרות, Israel",ChIJbUQWRgCBAhURYikkpXG5KXo,בורגראנץ' שדרות,"Simtat HaPlada 8, Sderot, Israel",,,בורגראנץ' שדרות,iw,"סמטת הפלדה 8, שדרות","סמטת הפלדה 8, שדרות",yes,בורגראנץ' שדרות,iw,"Simtat HaPlada 8, Sderot","Simtat HaPlada 8, Sderot",no
1826,בי 10,"דרך השלום 907, דימונה, Israel",EiZEZXJlY2ggSGFTaGFsb20gOTA3LzEwLCBEaW1vbmEsIElzcmFlbCIeGhwKFgoUChIJMcyiqf9FAhURZqHHtFoFuNUSAjEw,Derech HaShalom 907/10,"Derech HaShalom 907/10, Dimona, Israel",,,דרך השלום 907/10,,"דרך השלום 907/10, דימונה","דרך השלום 907/10, דימונה",yes,Derech HaShalom 907/10,,"Derech HaShalom 907/10, Dimona","Derech HaShalom 907/10, Dimona",no
2062,VITA FOOD,"הבנים 36, עפולה, Israel",ChIJg-W3-05THBURSuuTalV3WlI,ויטה פוד,"Ха-Абаним, Afula, Israel",,,ויטה פוד,iw,"Ха-Абаним, Afula","Ха-Абаним, עפולה",no,ויטה פוד,iw,"Ха-Абаним, Afula","Ха-Абаним, Afula",no
2081,קפה גרג,"טשרניחובסקי 4, קניון 8 סנטר, קריית שמונה, Israel",ChIJkbz89Va9HhUR6Ktjf8VcMP0,Greg Cafe,"קניון 8 סנטר, Tchernichovsky 4, Kiryat Shmona, 1103131, Israel",,,קפה גרג,iw,"קניון 8 סנטר, טשרניחובסקי 4, קרית שמונה, 1103131","קניון 8 סנטר, טשרניחובסקי 4, קרית שמונה",yes,Greg Cafe,en,"קניון 8 סנטר, Tchernichovsky 4, Kiryat Shmona, 1103131","קניון 8 סנטר, Tchernichovsky 4, Kiryat Shmona",yes
2092,פיצה שמש,"תל חי 92, קריית שמונה, Israel",ChIJsWJZiDy9HhURZ8DRc1jcrf0,Shemesh Pizza,"Tel Hai St 92, Qiryat Shemona, Israel",,,פיצה שמש קריית שמונה,iw,"תל חי 92, קרית שמונה","תל חי 92, קרית שמונה",yes,Shemesh Pizza,en,"Tel Hai St 92, Qiryat Shemona","Tel Hai 92, Kiryat Shmona",no
2118,שיפודי הטלה,"דגניה 30, קריית חיים, חיפה, Israel",ChIJ79kdzTG3HRURSXF9J93O_Ic,שיפודי הטלה,"Sderot Deganya, Haifa, Israel",,,שיפודי הטלה,iw,"שדרות דגניה, חיפה","שדרות דגניה, חיפה",yes,שיפודי הטלה,iw,"Sderot Deganya, Haifa","Sderot Deganya, Haifa",no
2124,מקדונלד'ס,"טשרניחובסקי 4, קניון 8 סנטר, קריית שמונה, Israel",ChIJe-0x3dS9HhURqn3QWwbaVGw,McDonald's,"Tchernikhovski St 4, Qiryat Shemona, 1103131, Israel",,,מקדונלד'ס - קניון שמונה באמצע (כשר),iw,"טשרניחובסקי 4, קרית שמונה, 1103131","טשרניחובסקי 4, קרית שמונה",yes,McDonald's,en,"Tchernikhovski St 4, Qiryat Shemona, 1103131","Tchernichovsky 4, Kiryat Shmona",no
2126,59 בשדרה,"שד' בן גוריון 59, המושבה הגרמנית, חיפה, Israel",ChIJFXs6gLa7HRURSqIoz48H-LQ,Sderot Ben Gurion 59,"Sderot Ben Gurion 59, Haifa, Israel",,,שדרות בן גוריון 59,,"שדרות בן גוריון 59, חיפה","שדרות בן גוריון 59, חיפה",yes,Sderot Ben Gurion 59,,"Sderot Ben Gurion 59, Haifa","Sderot Ben Gurion 59, Haifa",no
2228,קונדיטוריה ענבל,"חצור הגלילית, Israel",ChIJbyfX-r4jHBURnRlZiJES4Nk,קונדיטוריה ענבל,"Ha-Histadrut St 7, Hatzor HaGlilit, Israel",,,קונדיטוריה ענבל,iw,"ההסתדרות 7, חצור הגלילית","ההסתדרות 7, חצור הגלילית",yes,קונדיטוריה ענבל,iw,"Ha-Histadrut St 7, Hatzor HaGlilit","Hahistadrut 7, Hatsor Haglilit",no
2254,מקדונלד'ס,"דרך חיפה 30, קניון שער הצפון, קרית אתא, Israel",ChIJK8dyfKOxHRURUQ4yzxEm9JY,McDonald's,"Derech Haifa 30, Kiryat Ata, 2822632, Israel",,,מקדונלד'ס - קניון שער הצפון - איקאה (כשר),iw,"דרך חיפה 30, קרית אתא, 2822632","דרך חיפה 30, קרית אתא",yes,McDonald's,en,"Derech Haifa 30, Kiryat Ata, 2822632","Derech Haifa 30, Kiryat Ata",no
2317,סושי בר,"הרצל 73, נהריה, Israel",ChIJSfiDrlnOHRURAOW41oMe5A4,סושי בר נהריה,"Herzl St 73, Nahariyya, 2244601, Israel",,,סושי בר נהריה,iw,"הרצל 73, נהריה, 2244601","הרצל 73, נהריה",yes,סושי בר נהריה,en,"Herzl St 73, Nahariyya, 2244601","Hertsel 73, Nahariya",no
2426,קפה גרג,"אירית 2, נהריה, Israel",ChIJ1XtZbO_OHRURRu5YWD1jMho,Greg coffee Nahariya Mall,"Irit 2, כניסה הדרמית, Nahariya, Israel",,,קפה גרג קניון נהריה הכשר למהדרין,iw,"אירית 2, כניסה הדרמית, נהריה","אירית 2, כניסה הדרמית, נהריה",yes,Greg coffee Nahariya Mall,en,"Irit 2, כניסה הדרמית, Nahariya","Irit 2, כניסה הדרמית, Nahariya",yes
2436,פיצה פדאל חיפה קרית אליעזר,"ככר מאירהוף 3, חיפה, Israel",ChIJpYumU627HRURx6-c1X1Mm1c,פיצה פדאל קרית אליעזר,"Kikar Meirhoff, Haifa, Israel",,,פיצה פדאל קרית אליעזר,iw,"כיכר מאירהוף, חיפה","כיכר מאירהוף, חיפה",yes,פיצה פדאל קרית אליעזר,iw,"Kikar Meirhoff, Haifa","Kikar Meirhoff, Haifa",no
2477,מאמא פיצה קרית אתא,"העצמאות 71, קרית אתא, Israel",ChIJaRnDAsq2HRURN7yFBcmcnB8,Mama Pizza,"Ha-Atsma'ut St 83, Kiryat Ata, 28219, Israel",,,מאמא פיצה,iw,"העצמאות 83, קרית אתא, 28219","העצמאות 83, קרית אתא",yes,Mama Pizza,en,"Ha-Atsma'ut St 83, Kiryat Ata, 28219","Ha-Atsma'ut 83, Kiryat Ata",no
2507,רולדין,"נחום חת 5, טירת כרמל, Israel",ChIJ3w2jRVu7HRURqyeOcOKcSV4,Roladin Matam,"Nahum Het St 5, Haifa, 3508504, Israel",,,רולדין מת״מ,iw,"נחום חת 5, חיפה, 3508504","נחום חת 5, חיפה",yes,Roladin Matam,en,"Nahum Het St 5, Haifa, 3508504","Nahum Het 5, Haifa",no
2527,טו פיצה,"גוט לוין 2, חיפה, Israel",ChIJi8q5QfW6HRURiBQgCp5E_t4,Tu Pizza,"Moshe Got Levin St 48, Haifa, 3292240, Israel",,,טו פיצה,iw,"משה גוט לוין 48, חיפה, 3292240","משה גוט לוין 48, חיפה",yes,Tu Pizza,en,"Moshe Got Levin St 48, Haifa, 3292240","Moshe Got Levin 48, Haifa",no
2654,קפה קפה,"שד' שאול עמור 77, פרץ סנטר מגדל העמק, Israel",ChIJPUCZ6Z1SHBUR-nvugwrklFw,Café Café,"Sha'ul Amor Ave 77, Migdal HaEmek, 2309706, Israel",,,קפה קפה,iw,"שדרות שאול עמור 77, מגדל העמק, 2309706","שדרות שאול עמור 77, מגדל העמק",yes,Café Café,en,"Sha'ul Amor Ave 77, Migdal HaEmek, 2309706","Sderot Sha'ul Amor 77, Migdal HaEmek",no
2665,פיצה דומינו,"בן עמי 44, עכו העתיקה, Israel",ChIJB2GlsVbIHRURLyVajqGBdNo,Pizza Domino,"Ben Ami St 44, Acre, Israel",,,פיצה דומינו,iw,"בן עמי 44, עכו","בן עמי 44, עכו",yes,Pizza Domino,en,"Ben Ami St 44, Acre","Ben Ami 44, Akko",no
2673,פלאפל איצקו,"אודם 6, חריש, Israel",ChIJhzNgVtsFHRURDu9yvQBnc5E,פלאפל איצקו,"Odem St, Harish, Israel",,,פלאפל איצקו,iw,"אודם, חריש","אודם, חריש",yes,פלאפל איצקו,iw,"Odem St, Harish","Odem, Harish",no
2713,שיפודי הקריה,"תל חי 3, קריית שמונה, Israel",ChIJOybX81m9HhURZD3Z23LevYo,שיפודי הקריה,"Tel Hai St 3, Qiryat Shemona, Israel",,,שיפודי הקריה,iw,"תל חי 3, קרית שמונה","תל חי 3, קרית שמונה",yes,שיפודי הקריה,iw,"Tel Hai St 3, Qiryat Shemona","Tel Hai 3, Kiryat Shmona",no
2724,קפה קפה,"יהודה הלוי 1, ביג פאשן דנילוף טבריה, Israel",ChIJU6tf41o-HBURmq_lJulYBzU,cafe cafe,"Yehuda Halevi St 1, Tiberias, Israel",,,קפה קפה ביג פאשן טבריה,iw,"יהודה הלוי 1, טבריה","יהודה הלוי 1, טבריה",yes,cafe cafe,en,"Yehuda Halevi St 1, Tiberias","Yehuda Halevi 1, Tverya",no
2732,אחוזת סימיטה,"המלאכה 6, קניון דרכים יקנעם, Israel",ChIJ79Roo7-uHRUR-ttRSBsgmPY,אחוזת סימיטה,"HaMelacha St 1, Yokne'am Illit, Israel",,,אחוזת סימיטה,iw,"המלאכה 1, יוקנעם עילית","המלאכה 1, יוקנעם עילית",yes,אחוזת סימיטה,iw,"HaMelacha St 1, Yokne'am Illit","HaMelacha 1, Yokne'am Illit",no
2736,שיפודי רון,"חושן 14, קריית שמונה, Israel",ChIJexxokq6iHhUR2Bu7qu7h8uY,שיפודי רון,"Ha-Plada St 14, Qiryat Shemona, Israel",,,שיפודי רון,iw,"הפלדה 14, קרית שמונה","הפלדה 14, קרית שמונה",yes,שיפודי רון,en,"Ha-Plada St 14, Qiryat Shemona","HaPlada 14, Kiryat Shmona",no
2753,ROLADIN,"ויצמן 66, נהריה, Israel",ChIJw3GSSfjPHRURHbV49dova44,רולדין,"Weizman St 66, Nahariyya, Israel",,,רולדין,iw,"וייצמן 66, נהריה","וייצמן 66, נהריה",yes,רולדין,en,"Weizman St 66, Nahariyya","Weizman 66, Nahariya",no
2759,נישנוש,"מרחביה (קיבוץ), Israel",ChIJB_dzk2NRHBURzHdpAtCbx2s,Nishnush,"Derech HaOren, Merhavia, Israel",,,נישנוש,iw,"דרך האורן, מרחביה","דרך האורן, מרחביה",yes,Nishnush,en,"Derech HaOren, Merhavia","Derech HaOren, Merhavia",no
2839,השף גדסי,"רשות החולה, Israel",ChIJQ-g7qme9HhURBmqmtp_wQoI,שף גדסי - לאנשים שאוהבים בשר,"אגמון מרקט, אגמון, החולה, 1210501, Israel",,,שף גדסי - לאנשים שאוהבים בשר,iw,"אגמון מרקט, אגמון, החולה, 1210501","אגמון מרקט, אגמון, החולה",yes,שף גדסי - לאנשים שאוהבים בשר,en,"אגמון מרקט, אגמון, החולה, 1210501","אגמון מרקט, אגמון, החולה",yes
2874,מריאנה בוטיק עוגות,"דולב 14, קיסריה, Israel",ChIJqSax4kAOHRUROoaosSbwy50,מריאנה עוגות מעוצבות,"Rothschild St 100, Caesarea, Israel",,,Mariana Cake Boutique,iw,"רוטשילד 100, קיסריה","רוטשילד 100, קיסריה",yes,מריאנה עוגות מעוצבות,en,"Rothschild St 100, Caesarea","Rothschild 100, Keisarya",no
2886,הקבב העירקי,"השיחרור 16, טירת כרמל, Israel",ChIJDxnc0nalHRURTd8vJvO7o08,הקבב העירקי- דודי,"HaShihrur St, Tirat Carmel, Israel",,,הקבב העירקי- דודי,iw,"השיחרור, טירת כרמל","השיחרור, טירת כרמל",yes,הקבב העירקי- דודי,iw,"HaShihrur St, Tirat Carmel","HaShihrur, Tirat Carmel",no
2889,caffe nuna קפה נונה,"חיפה, Israel",ChIJs31K70q7HRUROqW2x2tUb_s,Nuna,"Sirkin St 21, Haifa, Israel",,,Nuna נונה תלפיות,iw,"סירקין 21, חיפה","סירקין 21, חיפה",yes,Nuna,en,"Sirkin St 21, Haifa","Sirkin 21, Haifa",no
2893,סבא חביב טבריה,"ברץ 1, טבריה עילית, Israel",ChIJCx9f2F0_HBURmFvfIiyroJk,מסעדת סבא חביב,"Barats St 3, Tiberias, Israel",,,מסעדת סבא חביב,iw,"ברץ 3, טבריה","ברץ 3, טבריה",yes,מסעדת סבא חביב,iw,"Barats St 3, Tiberias","Berz 3, Tverya",no
3025,שיפודי התקווה ראש פינה,"ראש פינה, Israel",ChIJT8f9mGMjHBUR2Autj3zp6kI,שיפודי התקווה ראש פינה - כשר מהדרין,"HaTapu'ach St 1, Rosh Pinna, 1155132, Israel",,,שיפודי התקווה ראש פינה - כשר מהדרין,iw,"התפוח 1, ראש פינה, 1155132","התפוח 1, ראש פינה",yes,שיפודי התקווה ראש פינה - כשר מהדרין,iw,"HaTapu'ach St 1, Rosh Pinna, 1155132","HaTapu'ach 1, Rosh Pina",no
3220,בורגראנץ',"רוטשילד 35, קניון G רוטשילד, ראשון לציון, Israel",ChIJH4NYMj-0AhUR0mGc3B1R4DM,Burger Ranch,"Rothschild St 45, Rishon LeZion, Israel",,,בורגראנץ' ראשון לציון - רוטשילד,iw,"רוטשילד 45, ראשון לציון","רוטשילד 45, ראשון לציון",yes,Burger Ranch,en,"Rothschild St 45, Rishon LeZion","Rothschild 45, Rishon LeZion",no
3224,שיפודי שמש,"שד' הרצל 66, רמלה, Israel",ChIJ-RDNMwq3AhURyYn3p2utcAI,שיפודי שמש,"Sderot Herzl 66, Ramla, Israel",,,שיפודי שמש,iw,"שדרות הרצל 66, רמלה","שדרות הרצל 66, רמלה",yes,שיפודי שמש,iw,"Sderot Herzl 66, Ramla","Sderot Herzl 66, Ramla",no
3276,השקשוקה של אפי משנת 1994,"יחזקאל קזז 12, אור יהודה, Israel",ChIJYb6r1-pLHRURj_V5LbOSJiE,השקשוקה של אפי,"Yehezkel Kazaz St 14, Or Yehuda, Israel",,,השקשוקה של אפי,iw,"יחזקאל קזז 14, אור יהודה","יחזקאל קזז 14, אור יהודה",yes,השקשוקה של אפי,iw,"Yehezkel Kazaz St 14, Or Yehuda","Yehezkel Kazaz 14, Or Yehuda",no
3351,פסטה בר,"דרך מנחם בגין 132, קניון עזריאלי, תל אביב, Israel",ChIJ4foHCMdLHRURt5SlXcwuFVY,Pasta Basta,"Azrieli Center, Menakhem Begin Rd, Tel Aviv-Yafo, Israel",,,פסטה בסטה עזריאלי,iw,"מגדלי עזריאלי, דרך מנחם בגין, תל אביב-יפו","מגדלי עזריאלי, דרך מנחם בגין, תל אביב-יפו",yes,Pasta Basta,en,"Azrieli Center, Menakhem Begin Rd, Tel Aviv-Yafo","Azrieli Center, Derech Menachem Begin, Tel Aviv-Jaffa",no
3356,מלכה,"דפנה 2, תל אביב, Israel",ChIJUw7-Z5pLHRURJBJfIEHYrgo,Malka by Eyal Shani,"Menakhem Begin Rd 146, Tel Aviv-Yafo, 6492103, Israel",,,מלכה - Malka by Eyal Shani,iw,"דרך מנחם בגין 146, תל אביב-יפו, 6492103","דרך מנחם בגין 146, תל אביב-יפו",yes,Malka by Eyal Shani,en,"Menakhem Begin Rd 146, Tel Aviv-Yafo, 6492103","Derech Menachem Begin 146, Tel Aviv-Jaffa",no
3381,חומוס אור יהודה,"הראשונים 5, אור יהודה, Israel",ChIJK0MRQpZKHRUR4i5CuLX5ttI,חומוס אור יהודה,"Ha-Rishonim St 2, Or Yehuda, Israel",,,חומוס אור יהודה,iw,"הראשונים 2, אור יהודה","הראשונים 2, אור יהודה",yes,חומוס אור יהודה,iw,"Ha-Rishonim St 2, Or Yehuda","HaRishonim 2, Or Yehuda",no
3396,בראל,"רוטשילד 113, ראשון לציון, Israel",ChIJCSZGuKS1AhUR_w89tg5VbFI,בראל - בר תוצרת הארץ,"Rothschild St 111, Rishon LeZion, 75205, Israel",,,בראל - בר תוצרת הארץ,en,"רוטשילד 111, ראשון לציון, 75205","רוטשילד 111, ראשון לציון",yes,בראל - בר תוצרת הארץ,en,"Rothschild St 111, Rishon LeZion, 75205","Rothschild 111, Rishon LeZion",no
3455,המטבחון של סימה,"עמק זבולון 24, קייזר סנטר, Israel",ChIJm66DZbTNAhURnGBoA6PxGxA,המטבחון של סימה,"Emek Zvulun St 24, Modi'in-Maccabim-Re'ut, 7177683, Israel",,,המטבחון של סימה,iw,"עמק זבולון 24, מודיעין מכבים רעות, 7177683","עמק זבולון 24, מודיעין מכבים רעות",yes,המטבחון של סימה,iw,"Emek Zvulun St 24, Modi'in-Maccabim-Re'ut, 7177683","Emek Zvulun 24, Modi'in Makabim-Re'ut",no
3495,חומוס אליהו,"גולדה מאיר 7, קניון חולון, Israel",ChIJIXwB5aG0AhUR1jymuWQys8U,Eliyahu hummus Holon Mall,"קניון עזריאלי, גולדה מאיר 7, חולון, Israel",,,חומוס אליהו קניון חולון,iw,"קניון עזריאלי, גולדה מאיר 7, חולון","קניון עזריאלי, גולדה מאיר 7, חולון",yes,Eliyahu hummus Holon Mall,en,"קניון עזריאלי, גולדה מאיר 7, חולון","קניון עזריאלי, Golda Meir 7, Holon",yes
3539,ארומה,"עמל 1, פארק תעשיות אפק, ראש העין, Israel",ChIJxxCIfMYwHRURfgNiW7GJLRc,ארומה Aroma,"פארק אפק, Amal St 1, Rosh Ha`Ayin, 4809201, Israel",,,ארומה Aroma,en,"פארק אפק, Amal St 1, Rosh Ha`Ayin, 4809201","פארק אפק, עמל 1, Rosh Ha`Ayin",yes,ארומה Aroma,en,"פארק אפק, Amal St 1, Rosh Ha`Ayin, 4809201","פארק אפק, Amal 1, Rosh Ha`Ayin",yes
3547,קפה קפה,"סוקולוב נחום 48, חולון, Israel",ChIJ_3Zc96e0AhURGxEKKevsl2U,Cafe Cafe,"Sokolov St 48, Holon, 5832201, Israel",,,קפה קפה חולון | Cafe Cafe,iw,"סוקולוב 48, חולון, 5832201","סוקולוב 48, חולון",yes,Cafe Cafe,en,"Sokolov St 48, Holon, 5832201","Sokolow 48, Holon",no
3553,ארומה,"יוספטל 92, קניון בת ים, Israel",ChIJrbyokxmzAhURqLFyH0EdbnY,Aroma,"Derech Ben Gurion 75, Bat Yam, 5945105, Israel",,,ארומה טיילת בת ים,iw,"דרך בן גוריון 75, בת ים, 5945105","דרך בן גוריון 75, בת ים",yes,Aroma,en,"Derech Ben Gurion 75, Bat Yam, 5945105","Derech Ben Gurion 75, Bat Yam",no
3611,פיצה שמש,"ויצמן 44, יהוד, Israel",ChIJ61YFSwg1HRURPsWl3fPF4iY,פיצה שמש יהוד,"Weizman St 44, Yehud-Monosson, Israel",,,פיצה שמש יהוד,iw,"וייצמן 44, יהוד מונוסון","וייצמן 44, יהוד מונוסון",yes,פיצה שמש יהוד,iw,"Weizman St 44, Yehud-Monosson","Weizman 44, Yahud Monoson",no
3634,פיצה האט,"שד' עמק איילון 161, מרכז מסחרי שהם, שוהם, Israel",ChIJ-Y5POZw0HRURmGaGLJgaWmI,Pizza Hut,"Sderot Emek Ayalon 161, Shoham, Israel",,,פיצה האט - שוהם,iw,"שדרות עמק איילון 161, שוהם","שדרות עמק איילון 161, שוהם",yes,Pizza Hut,en,"Sderot Emek Ayalon 161, Shoham","Sderot Emek Ayalon 161, Shoham",no
3651,שיפודי הכרם,"נחליאל 28, שוק הכרמל, תל אביב, Israel",ChIJ4am2nqORAhURz_H1YFPG2QM,שיפודי הכרם,"Nakhali'el St 28, Tel Aviv-Yafo, 8224525, Israel",,,שיפודי הכרם,iw,"נחליאל 28, תל אביב-יפו, 8224525","נחליאל 28, תל אביב-יפו",yes,שיפודי הכרם,iw,"Nakhali'el St 28, Tel Aviv-Yafo, 8224525","Nahliel 28, Tel Aviv-Jaffa",no
3718,ארומה,"תל השומר, רמת גן, Israel",ChIJa7Yf-4c1HRURW8otRNOQQyY,Aroma Espresso Bar,"בית חולים תל-השומר, רמת גן, 5266202, Israel",,,ארומה,iw,"בית חולים תל-השומר, רמת גן, 5266202","בית חולים תל-השומר, רמת גן",yes,Aroma Espresso Bar,en,"בית חולים תל-השומר, רמת גן, 5266202","בית חולים תל-השומר, Ramat Gan",yes
3724,פיצה האט,"עמק החולה 32, מודיעין והסביבה, Israel",ChIJK12q0OrNAhURettZwevfl8k,Pizza Hut,"Sherbet Center, Emek Hahula St 32, Modi'in-Maccabim-Re'ut, 7174218, Israel",,,פיצה האט מודיעין,iw,"מרכז שרבט, עמק החולה 32, מודיעין מכבים רעות, 7174218","מרכז שרבט, עמק החולה 32, מודיעין מכבים רעות",yes,Pizza Hut,en,"Sherbet Center, Emek Hahula St 32, Modi'in-Maccabim-Re'ut, 7174218","Sherbet Center, Emek Hahula 32, Modi'in Makabim-Re'ut",no
3754,שיפודי התקוה,"דרך אבא הלל סילבר 301, קניון איילון, רמת גן, Israel",ChIJ____XoZJHRURgBCb7wl-aRQ,Shipudei Hatikva,"Abba Hillel Silver Rd 301, Ramat Gan, Israel",,,שיפודי התקווה,iw,"דרך אבא הלל 301, רמת גן","דרך אבא הלל 301, רמת גן",yes,Shipudei Hatikva,en,"Abba Hillel Silver Rd 301, Ramat Gan","Derech Aba Hillel 301, Ramat Gan",no
