id,name_type,verdict,confidence,our_name,google_name,our_address,google_address,distance_m,reason
7123,unique,uncertain,0,אונמי - הילטון תל אביב,Onami Hilton Tel-Aviv - אונמי הילטון תל אביב,"הירקון 205, תל אביב","HaYarkon St 205, Tel Aviv-Yafo, 6340506, Israel",1126,"error: 400 {""type"":""error"",""error"":{""type"":""invalid_request_error"","
4864,chain,uncertain,0,וופל בר,וופל בר קניון רמות ירושלים,"גולדה מאיר 255, רמות אלון, ירושלים, Israel","Sderot Golda Me'ir, Jerusalem, Israel",2231,"error: 400 {""type"":""error"",""error"":{""type"":""invalid_request_error"","
3809,unique,uncertain,0,לה וויס,La Voice - לה ווייס קריוקי,"המרץ 13, ראש העין, Israel","HaMerEts St 13, Rosh Haayin, 4801713, Israel",381,"error: 400 {""type"":""error"",""error"":{""type"":""invalid_request_error"","
3490,unique,uncertain,0,Cofizz,"בתי קפה בביאליק, רמת גן","ביאליק 77, רמת גן, Israel","Bialik St 19, Ramat Gan, Israel",633,"error: 400 {""type"":""error"",""error"":{""type"":""invalid_request_error"","
5699,unique,uncertain,0,BP בי פי נתניה,BP,"נתניה, Israel","תחנת דלק פז כביש החוף, Netanya, Israel",1266,"error: 400 {""type"":""error"",""error"":{""type"":""invalid_request_error"","
4407,unique,uncertain,0,שופרא רומה,שופרא רומה,"ויצמן 17, יהוד, Israel","Weizman St 13, Yehud-Monosson, Israel",342,"error: 400 {""type"":""error"",""error"":{""type"":""invalid_request_error"","
1595,unique,uncertain,0,פלאפל רץ,פלאפל רץ,"העבודה 14, אשקלון, Israel","Ha-Avoda St 14, Ashkelon, Israel",523,"error: 400 {""type"":""error"",""error"":{""type"":""invalid_request_error"","
2161,unique,uncertain,0,פיצה טורינו,Torino Pizza,"שד' הנשיא 121, חיפה, Israel","HaNassi Blvd 121, Haifa, Israel",33569,"error: 400 {""type"":""error"",""error"":{""type"":""invalid_request_error"","
4550,chain,uncertain,0,שיפודי ציפורה,שיפודי ציפורה,"שחם 17, יכין סנטר פתח תקווה, Israel","Leshem St 10, Petah Tikva, Israel",459,"error: 400 {""type"":""error"",""error"":{""type"":""invalid_request_error"","
3607,unique,uncertain,0,MEAT MEAT,Better Burger,"רוטשילד 77, פתח תקווה, Israel","Rothschild St 83, Petah Tikva, Israel",146,"error: 400 {""type"":""error"",""error"":{""type"":""invalid_request_error"","
6188,unique,uncertain,0,טוסטביף,טוסטביף אם הדרך,"כפר ויתקין, Israel","Kfar Vitkin, Israel",839,"error: 400 {""type"":""error"",""error"":{""type"":""invalid_request_error"","
1934,unique,uncertain,0,בלחמניה,Big Eilat,"הסתת 20, ביג אילת, Israel","Ha-Satat St 20, Eilat, Israel",20,"error: 400 {""type"":""error"",""error"":{""type"":""invalid_request_error"","
3277,unique,uncertain,0,חומוס העיר,Hummus & Co.,"אברבנאל 35, פלורנטין, תל אביב, Israel","Herzl St 98, Tel Aviv-Yafo, Israel",332,"error: 400 {""type"":""error"",""error"":{""type"":""invalid_request_error"","
4538,unique,uncertain,0,סקאי,Sekai סקאי,"הברזל 10, רמת החייל, תל אביב, Israel","HaBarzel St 10, Tel Aviv-Yafo, 6971014, Israel",406,"error: 400 {""type"":""error"",""error"":{""type"":""invalid_request_error"","
4683,chain,uncertain,0,פיצה שמש,פיצה שמש,"שד' מרדכי בן פורת 79, אור יהודה, Israel","Sderot Mordehai Ben Porat 79, Or Yehuda, Israel",1064,"error: 400 {""type"":""error"",""error"":{""type"":""invalid_request_error"","
2854,unique,uncertain,0,מסעדת TOWER מסעדת בשרים,מסעדת טאוור - TOWER,"חיפה, Israel","Herzl St 63, Haifa, Israel",1272,"error: 400 {""type"":""error"",""error"":{""type"":""invalid_request_error"","
5132,unique,uncertain,0,"א.ר. מאפה קפה בע""מ",מאפה קפה היובל,"אורוגואי 6, ירושלים, Israel","Uruguay St 6, Jerusalem, Israel",24,"error: 400 {""type"":""error"",""error"":{""type"":""invalid_request_error"","
5927,unique,uncertain,0,שולחן דוד,שולחן דוד,"שד' עובד בן עמי 10, נתניה, Israel","Sderot Oved Ben Ami 10, Netanya, Israel",25850,"error: 400 {""type"":""error"",""error"":{""type"":""invalid_request_error"","
7298,unique,uncertain,0,פיצה פרגו,Pizza Prego,"הלוחמים 62, תל אביב, Israel","Ha-Lokhamim St 62, Tel Aviv-Yafo, Israel",325,"error: 400 {""type"":""error"",""error"":{""type"":""invalid_request_error"","
5260,unique,uncertain,0,איל פרסקו,Il Fresco,"אגודת ספורט בית""ר 1, קניון ירושלים, Israel","Derech Agudat Sport Beitar 1, Jerusalem, 9695989, Israel",53290,"error: 400 {""type"":""error"",""error"":{""type"":""invalid_request_error"","
5565,unique,uncertain,0,פיצה יו-יו,Pizza Yoyo,"עובדיה 1, יד בנימין, Israel","מרכז מסחרי, הושע 1, יד בנימין, Israel",344,"error: 400 {""type"":""error"",""error"":{""type"":""invalid_request_error"","
6812,unique,uncertain,0,פיצה רג'ינה,פיצה רג'ינה regina pizza,"הרצל 3, גדרה","Herzl St 3, Gedera, 7040002, Israel",844,"error: 400 {""type"":""error"",""error"":{""type"":""invalid_request_error"","
1609,unique,uncertain,0,לבריאות,Sderot Lachish 1,"שד' לכיש 1, קריית גת, Israel","Sderot Lachish 1, Kiryat Gat, Israel",619,"error: 400 {""type"":""error"",""error"":{""type"":""invalid_request_error"","
2037,unique,uncertain,0,קייטרינג תימני נאווה,CineMall,"שד' ההסתדרות 55, קניון סינמול, חיפה, Israel","HaHistadrut Ave 55, Haifa, Israel",4626,"error: 400 {""type"":""error"",""error"":{""type"":""invalid_request_error"","
3712,unique,uncertain,0,ליון,Lyon Cafe,"שד' יצחק רבין 5, אור יהודה, Israel","מתחם מיני, Itzhak rabin 5, Or Yehuda, Israel",716,"error: 400 {""type"":""error"",""error"":{""type"":""invalid_request_error"","
4342,unique,uncertain,0,זותא פיצה,פיצה &פסטה פופולו חולון (כשר בד״ץ בית יוסף) -POPOLO HOLON,"צבי תדמור 12, חולון, Israel","Tzvi Tadmor 12, Holon, Israel",156,"error: 400 {""type"":""error"",""error"":{""type"":""invalid_request_error"","
1792,unique,uncertain,0,פיצה כמעט חינם,פיצה כמעט חינם,"שד' הנשיא 20, דימונה, Israel","Sderot HaNassi 20, Dimona, Israel",883,"error: 400 {""type"":""error"",""error"":{""type"":""invalid_request_error"","
6202,unique,uncertain,0,שווארמה איתי,Shmuel HaNatziv St 6,"שמואל הנציב 6, נתניה, Israel","Shmuel HaNatziv St 6, Netanya, 4228103, Israel",15,"error: 400 {""type"":""error"",""error"":{""type"":""invalid_request_error"","
1631,unique,uncertain,0,טאג'ין,וולטר פארק,"האורגים 22, נמל אשדוד, Israel","HaOrgim St 2, Ashdod, Israel",60,"error: 400 {""type"":""error"",""error"":{""type"":""invalid_request_error"","
3723,chain,uncertain,0,cofix,אמות קניון קריית אונו,"הכלנית 17, קניון קרית אונו, Israel","Shlomo ha-Melekh St 37, Kiryat Ono, 5542133, Israel",84,"error: 400 {""type"":""error"",""error"":{""type"":""invalid_request_error"","
2288,unique,uncertain,0,קיסר מיט בר,מסעדת קיסר ראש פינה - Caesar Meat Bar - כשר למהדרין,"ראש פינה, Israel","Galil road 1, Rosh Pinna, Israel",606,"error: 400 {""type"":""error"",""error"":{""type"":""invalid_request_error"","
3600,unique,uncertain,0,קפה עלית-אספרסו בר,דז׳ה וו | Deja Vu,"שד' החשמונאים 1, מודיעין והסביבה, Israel","Dam HaMacbim St 53, Modi'in-Maccabim-Re'ut, Israel",166,"error: 400 {""type"":""error"",""error"":{""type"":""invalid_request_error"","
4830,unique,uncertain,0,קפה הרובע,קופיז Cofizz,"תפארת ישראל 11, הרובע היהודי, ירושלים, Israel","Ha-Meshorerim St 1, Jerusalem",23,"error: 400 {""type"":""error"",""error"":{""type"":""invalid_request_error"","
6467,unique,uncertain,0,Babbi's,BABBI'S,"הבנאים 3, אשדוד","HaBana'im St 3, Ashdod, Israel",1032,"error: 400 {""type"":""error"",""error"":{""type"":""invalid_request_error"","
1895,unique,uncertain,0,"""מאפית בית הלחם""",בית הלחם והמאפה,"קריית גת, Israel","Derekh ha-Darom 13, Kiryat Gat, Israel",436,"error: 400 {""type"":""error"",""error"":{""type"":""invalid_request_error"","
3768,unique,uncertain,0,פיצה פצץ,פיצה פצץ,"חיים בר לב 10, אור יהודה, Israel","جادة حييم بر لف 10 يهود، Or Yehuda, Israel",283,"error: 400 {""type"":""error"",""error"":{""type"":""invalid_request_error"","
7188,unique,uncertain,0,פלאפל בריבוע מרום נווה,Marom Mall,"חיים לנדאו 7, רמת גן","Khayim Landau St 7, Ramat Gan, Israel",563,"error: 400 {""type"":""error"",""error"":{""type"":""invalid_request_error"","
6663,unique,uncertain,0,Burgers Bar תלפיות,Burgers Bar,"האומן 14, ירושלים","HaUman St 14, Jerusalem, 9342109, Israel",1993,"error: 400 {""type"":""error"",""error"":{""type"":""invalid_request_error"","
2526,chain,uncertain,0,cofix,10fix nahariya,"שד' הגעתון 20, נהריה, Israel","Herzl St 65, Nahariyya, 2240015, Israel",228,"error: 400 {""type"":""error"",""error"":{""type"":""invalid_request_error"","
6755,unique,uncertain,0,B-FRESH - אייס מול,B-Fresh,"קאמפן 8, אילת","Kampen St 8, Eilat, Israel",1742,"error: 400 {""type"":""error"",""error"":{""type"":""invalid_request_error"","
5978,unique,uncertain,0,הרש'יס פיצה,הרשי'ס פיצה,"דברי חיים 20, נתניה, Israel","Divrei Khayim St 20, Netanya, Israel",254,"error: 400 {""type"":""error"",""error"":{""type"":""invalid_request_error"","
5568,unique,uncertain,0,פביוס פיצה,פיצה פביוס יבנה Fabios Pizza Yavne,"שד' דואני 20, מרכז מסחרי לב יבנה, Israel","מרכז מסחרי לב, שדרות דואני 20, יבנה, 81551, Israel",23931,"error: 400 {""type"":""error"",""error"":{""type"":""invalid_request_error"","
2535,unique,uncertain,0,אדן אספרסו בר,Wine Bar by Andre Suidan,"אנדרי סחרוב 9, חיפה, Israel","HaNassi Blvd 98, Haifa, Israel",3208,"error: 400 {""type"":""error"",""error"":{""type"":""invalid_request_error"","
6850,unique,uncertain,0,B-FRESH - באר יעקב,B-FRESH,"שא נס 17, באר יעקב","Sa Nes St 17, Be'er Ya'akov, Israel",943,"error: 400 {""type"":""error"",""error"":{""type"":""invalid_request_error"","
4459,unique,uncertain,0,פיצה טיו ארנסטו,פיצה סטורי אור יהודה,"חיים בר לב 10, אור יהודה, Israel","Haim Bar Lev Blvd 10, Or Yehuda, Israel",283,"error: 400 {""type"":""error"",""error"":{""type"":""invalid_request_error"","
3024,unique,uncertain,0,מסעדת אמא,Mother Restaurant,"רחבעם גנדי זאבי 5, בית שאן, Israel","רחבעם זאבי 5, Beit She'an, Israel",609,"error: 400 {""type"":""error"",""error"":{""type"":""invalid_request_error"","
601,unique,uncertain,0,אלונזו,אלונזו | Alonzo,"נתניה, Israel","Kikar HaAtsmaut 13, Netanya, Israel",447,"error: 400 {""type"":""error"",""error"":{""type"":""invalid_request_error"","
4286,unique,uncertain,0,אמ'ס קיטשן,Weizmann St 1,"ויצמן 1, תל אביב, Israel","Weizmann St 1, Tel Aviv-Yafo, Israel",223,"error: 400 {""type"":""error"",""error"":{""type"":""invalid_request_error"","
2928,unique,uncertain,0,פיצה בן ציון,פיצה סטורי נהריה,"הרצל 91, נהריה, Israel","Herzl St 64, Nahariyya, 2240113, Israel",155,"error: 400 {""type"":""error"",""error"":{""type"":""invalid_request_error"","
6939,unique,uncertain,0,אופיר בסט - רמות,פיצה פלאפל אופיר בסט,"המשורר אצ""ג 2, ירושלים","Ha Meshorer Azag St 3, Jerusalem",6388,"error: 400 {""type"":""error"",""error"":{""type"":""invalid_request_error"","
4460,unique,uncertain,0,מאפה נאמן,Neeman Bakery,"חיים סוטין 4, פתח תקווה, Israel","Khayim Soutin St 4, Petah Tikva, Israel",2927,"error: 400 {""type"":""error"",""error"":{""type"":""invalid_request_error"","
4305,unique,uncertain,0,קייטרינג אריסה,אנגוס פלוס מרכז הבשר והעוף,"גולומב 15, חולון, Israel","Golomb St 15, Holon, Israel",72,"error: 400 {""type"":""error"",""error"":{""type"":""invalid_request_error"","
7000,unique,uncertain,0,פורינה,פיצרייה נאפוליטנית פורינה,"המושב 33, פרדס חנה כרכור","Ha-Moshav St 33, Pardes Hanna-Karkur, 3706933, Israel",2690,"error: 400 {""type"":""error"",""error"":{""type"":""invalid_request_error"","
7187,unique,uncertain,0,פלאג אין רמת ישי,Plugin,"האקליפטוס 3, רמת ישי","Ekaliptus St 3, Ramat Yishai, Israel",1155,"error: 400 {""type"":""error"",""error"":{""type"":""invalid_request_error"","
6277,unique,uncertain,0,דורין אוכל ואהבה,Buy the Way,"עזרא 35, כפר סבא, Israel","Sderot Menachem Begin, Kfar Saba, Israel",4130,"error: 400 {""type"":""error"",""error"":{""type"":""invalid_request_error"","
1714,unique,uncertain,0,קפה גן סיפור,Story Garden Cafe,"שד' משה דיין 4, אשדוד, Israel","Mafkura St 1, Ashdod, Israel",41,"error: 400 {""type"":""error"",""error"":{""type"":""invalid_request_error"","
5454,unique,uncertain,0,אבו הלל,Abu Hilel,"באר טוביה, Israel","Ha-Biluyim St 13, Gedera, Israel",10072,"error: 400 {""type"":""error"",""error"":{""type"":""invalid_request_error"","
3453,unique,uncertain,0,קייטרינג לוטם,קייטרינג חלבי טעם וטקסטורה-בדץ העדה החרדית,"אילת 100, חולון, Israel","HaOrgim St 10, Holon, Israel",3267,"error: 400 {""type"":""error"",""error"":{""type"":""invalid_request_error"","
1749,chain,uncertain,0,בורגראנץ',בורגראנץ' סניף אילת,"המוצר 1, אילת, Israel","קניון הים האדום, Sderot HaTmarim 2, Eilat, Israel",1264,"error: 400 {""type"":""error"",""error"":{""type"":""invalid_request_error"","
3386,unique,uncertain,0,גולדות,Garden 83 - Beer & Burger,"רוטשילד 83, ראשון לציון, Israel","Rothschild St 83, Rishon LeZion, Israel",20,"error: 400 {""type"":""error"",""error"":{""type"":""invalid_request_error"","
5629,unique,uncertain,0,ערמונים,מסעדת ערמונים,"שדה יואב, Israel","Sde Yoav, 7935100, Israel",801,"error: 400 {""type"":""error"",""error"":{""type"":""invalid_request_error"","
3010,unique,uncertain,0,הפועלים,Bank Hapoalim,"להב 42, כרמיאל, Israel","HaGalil St 6, Karmiel, 2192105, Israel",721,"error: 400 {""type"":""error"",""error"":{""type"":""invalid_request_error"","
1549,unique,uncertain,0,שווארמה האחים,פלאפל ושווארמה הירוק השלום 48,"דרך השלום 48, באר שבע, Israel","Derech HaShalom 48, Beersheba, Israel",1529,"error: 400 {""type"":""error"",""error"":{""type"":""invalid_request_error"","
2447,chain,uncertain,0,ארומה,ארומה-Aroma,"יהושע חנקין 48, עפולה, Israel","Joshua Hankin St 49, Afula, 1825459, Israel",976,"error: 400 {""type"":""error"",""error"":{""type"":""invalid_request_error"","
6927,unique,uncertain,0,המשביע - דימונה,המשביע דימונה,"המלך דוד 70, דימונה","David HaMelech St 283, Dimona, 0860000, Israel",263,"error: 400 {""type"":""error"",""error"":{""type"":""invalid_request_error"","
7225,unique,uncertain,0,Frenchy Marche,Frenchy Tlv,"שינקין 54, תל אביב","Sheinkin St 54, Tel Aviv-Yafo, 6713212, Israel",1937,"error: 400 {""type"":""error"",""error"":{""type"":""invalid_request_error"","
4879,unique,uncertain,0,דני במדבר,Danny's Farm,"סוסיא, Israel","Hahita St 7, Sitria, Israel",26522,"error: 400 {""type"":""error"",""error"":{""type"":""invalid_request_error"","
7221,unique,uncertain,0,B-FRESH - בילינסון,"B-FRESH בלינסון פ""ת","זבוטינסקי 39, פתח תקווה","זאב, רחוב זאב ז'בוטינסקי 39, פתח תקווה, Israel",2133,"error: 400 {""type"":""error"",""error"":{""type"":""invalid_request_error"","
3360,unique,uncertain,0,מרכז אסיה,Central Asia,"מסילת ישרים 41, תל אביב, Israel","Mesilat Yesharim St 41, Tel Aviv-Yafo, Israel",11,"error: 400 {""type"":""error"",""error"":{""type"":""invalid_request_error"","
6484,unique,uncertain,0,Wok To Walk נתניה (כשר),ווק טו ווק נתניה,"שושנה דמארי 10, נתניה","Shoshana Damari St 10, Netanya, Israel",5044,"error: 400 {""type"":""error"",""error"":{""type"":""invalid_request_error"","
5830,unique,uncertain,0,פומדרו פיצריה,Pizza Pomedro,"הנשיא וייצמן 66, חדרה, Israel","HaNassi St 66, Hadera, Israel",431,"error: 400 {""type"":""error"",""error"":{""type"":""invalid_request_error"","
4834,unique,uncertain,0,שניצל ג'ורדי,Jordi Schnitzel,"שד' יגאל אלון 6, בית שמש, Israel","Yig'al Alon Ave 6, Beit Shemesh, Israel",1051,"error: 400 {""type"":""error"",""error"":{""type"":""invalid_request_error"","
6967,unique,uncertain,0,פוקצ'ריה,פוקצ'ריה,"ז'בוטינסקי 72, פתח תקווה","הקניון הגדול 72, Jabotinsky St, Petah Tikva, Israel",2309,"error: 400 {""type"":""error"",""error"":{""type"":""invalid_request_error"","
4194,unique,uncertain,0,פיצה הקוסם האיטלקי,פיצה הקוסם האיטלקי פיצריה בבת ים,"הרצל 48, בת ים, Israel","Derech Ben Gurion 79, Bat Yam, Israel",548,"error: 400 {""type"":""error"",""error"":{""type"":""invalid_request_error"","
3338,unique,uncertain,0,"ד""ר פיצה",Dr Pizza,"מורדי הגטאות 42, שיכון המזרח, ראשון לציון, Israel","Mordei ha-Geta'ot St 42, Rishon LeZion, Israel",448,"error: 400 {""type"":""error"",""error"":{""type"":""invalid_request_error"","
4765,unique,uncertain,0,מגש הפיצה,Pizza Italiano,"קידרון 10, גבעת זאב, Israel","מתחם תחנת דלק גבעונים, Giv'at Ze'ev",153921,"error: 400 {""type"":""error"",""error"":{""type"":""invalid_request_error"","
5607,unique,uncertain,0,מטעמים,עד הלום,"אודם 14, עד הלום, Israel","Yahalom St 4, Ashdod, Israel",504,"error: 400 {""type"":""error"",""error"":{""type"":""invalid_request_error"","
2977,unique,uncertain,0,המחבת,Spa Village Hamat Gader,"חמת גדר, Israel",Hamat Gader,513,"error: 400 {""type"":""error"",""error"":{""type"":""invalid_request_error"","
6201,unique,uncertain,0,Food Story,Ha-Prakhim St 68,"הפרחים 68, ניצני עוז, Israel","Ha-Prakhim St 68, Nitzanei Oz, Israel",246,"error: 400 {""type"":""error"",""error"":{""type"":""invalid_request_error"","
2313,chain,uncertain,0,שיפודי האגם,Simha And Sons Grill,"הירקון 1, טבריה, Israel","Al Hadif St, Tiberias, 1424308, Israel",784,"error: 400 {""type"":""error"",""error"":{""type"":""invalid_request_error"","
4432,unique,uncertain,0,Mr. Pretzels,קניון עופר הגבעה,"יוני נתניהו 29, קניון עופר הגבעה, גבעת שמואל, Israel","Yoni Netanyahu St 29-31, Giv'at Shmuel, Israel",99,"error: 400 {""type"":""error"",""error"":{""type"":""invalid_request_error"","
4403,unique,uncertain,0,חומוס הבוטקה,Hummus Beit Ha-Ful,"החשמונאים 88, תל אביב, Israel","HaHashmonaim St 119, Tel Aviv-Yafo, Israel",225,"error: 400 {""type"":""error"",""error"":{""type"":""invalid_request_error"","
7009,unique,uncertain,0,WayCup Coffee מקווה ישראל,WayCup Coffee,"מקווה ישראל 17, תל אביב","Mikve Israel St 17, Tel Aviv-Yafo, Israel",2533,"error: 400 {""type"":""error"",""error"":{""type"":""invalid_request_error"","
4664,unique,uncertain,0,ספיישל סושי,טורו סושי אור יהודה,"אריק איינשטיין 52, אור יהודה, Israel","מתחם מיני, יצחק רבין 5, אור יהודה, Israel",728,"error: 400 {""type"":""error"",""error"":{""type"":""invalid_request_error"","
6647,unique,uncertain,0,מאו סושי,MaO Sushi,"קרן היסוד 8, באר יעקב","Keren HaYesod St 8, Be'er Ya'akov, 7030708, Israel",1251,"error: 400 {""type"":""error"",""error"":{""type"":""invalid_request_error"","
5466,unique,uncertain,0,אורו,אורו,"גאליה, Israel","Ge'alya, Israel",947,"error: 400 {""type"":""error"",""error"":{""type"":""invalid_request_error"","
1672,unique,uncertain,0,באדה בום,באדה בום -Bada Boom,"אשדוד, Israel","Ha-Gdud ha-Ivri St 5, Ashdod, 7770089, Israel",1573,"error: 400 {""type"":""error"",""error"":{""type"":""invalid_request_error"","
2225,generic,uncertain,0,גריל בר 8,הבן של סימו מסעדת בשרים,"ככר צה""ל 20, קריית שמונה, Israel","ת.ד 8716, Tel Hai 108, Kiryat Shmona, Israel",150,"error: 400 {""type"":""error"",""error"":{""type"":""invalid_request_error"","
