id,risk_reasons,source,old_name,old_address,google_name,google_address,google_primary_type,google_types,name_sim,distance_m,google_rating,rating_count,has_photo,llm_verdict,llm_conf,llm_reason,google_maps_uri,search_uri
4719,address-first עם מרחק גבוה וללא מספר בית משותף ברור,address-first,חצר עין כרם,"מדרגות הרומאים 1, עין כרם, ירושלים, Israel",HaTzar Ein Kerem,"Haromaim Stairs, Jerusalem, 9574534, Israel",restaurant,restaurant;point_of_interest;food;establishment,0.875,6046,4.3,754,yes,,,,https://maps.google.com/?cid=17682036791965484767&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA,https://www.google.com/maps/search/?api=1&query=%D7%97%D7%A6%D7%A8%20%D7%A2%D7%99%D7%9F%20%D7%9B%D7%A8%D7%9D%20%D7%9E%D7%93%D7%A8%D7%92%D7%95%D7%AA%20%D7%94%D7%A8%D7%95%D7%9E%D7%90%D7%99%D7%9D%201%2C%20%D7%A2%D7%99%D7%9F%20%D7%9B%D7%A8%D7%9D%2C%20%D7%99%D7%A8%D7%95%D7%A9%D7%9C%D7%99%D7%9D%2C%20Israel
589,כתובת מקור חלשה/רק עיר + מרחק גבוה | address-first עם מרחק גבוה וללא מספר בית משותף ברור,address-first,בליקר בייקרי,"נתניה, Israel",Bleecker Bakery,"Ir Yamim Mall, Beni Berman St 2, Netanya, Israel",italian_restaurant,italian_restaurant;bakery;food_store;store;restaurant;food;point_of_interest;establishment,0.800,5606,3.1,282,yes,,,,https://maps.google.com/?cid=13430416221824190015&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA,https://www.google.com/maps/search/?api=1&query=%D7%91%D7%9C%D7%99%D7%A7%D7%A8%20%D7%91%D7%99%D7%99%D7%A7%D7%A8%D7%99%20%D7%A0%D7%AA%D7%A0%D7%99%D7%94%2C%20Israel
7112,address-first עם מרחק גבוה וללא מספר בית משותף ברור,address-first,B-FRESH- ערבה,"פונדק עין יהב, עין יהב",B-FRESH פונדק עין יהב ערבה,"פונדק, עין יהב, Israel",juice_shop,juice_shop;food;point_of_interest;establishment,1.000,5298,2.3,3,no,,,,https://maps.google.com/?cid=5903457866064268458&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA,https://www.google.com/maps/search/?api=1&query=B-FRESH-%20%D7%A2%D7%A8%D7%91%D7%94%20%D7%A4%D7%95%D7%A0%D7%93%D7%A7%20%D7%A2%D7%99%D7%9F%20%D7%99%D7%94%D7%91%2C%20%D7%A2%D7%99%D7%9F%20%D7%99%D7%94%D7%91
6680,מספר בית שונה בשתי הכתובות + מרחק גבוה | address-first עם מרחק גבוה וללא מספר בית משותף ברור,address-first,Burgers Bar עיר ימים,"שושנה דמארי 30, מרכז פיאנו עיר ימים, נתניה",Burgers Bar,"Shoshana Damari St 10, Netanya, 4266000, Israel",restaurant,restaurant;food;point_of_interest;establishment,1.000,5036,3.7,114,yes,,,,https://maps.google.com/?cid=14331326427720719002&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA,https://www.google.com/maps/search/?api=1&query=Burgers%20Bar%20%D7%A2%D7%99%D7%A8%20%D7%99%D7%9E%D7%99%D7%9D%20%D7%A9%D7%95%D7%A9%D7%A0%D7%94%20%D7%93%D7%9E%D7%90%D7%A8%D7%99%2030%2C%20%D7%9E%D7%A8%D7%9B%D7%96%20%D7%A4%D7%99%D7%90%D7%A0%D7%95%20%D7%A2%D7%99%D7%A8%20%D7%99%D7%9E%D7%99%D7%9D%2C%20%D7%A0%D7%AA%D7%A0%D7%99%D7%94
6940,address-first עם מרחק גבוה וללא מספר בית משותף ברור,address-first,בייגל קפה נתניה,"בני ברמן 2, נתניה",בייגל קפה Bagel Cafe - נתניה,"קניון עיר ימים, Beni Berman, Netanya, Israel",coffee_shop,coffee_shop;cafe;food_store;store;food;point_of_interest;establishment,1.000,4911,4.2,20,yes,,,,https://maps.google.com/?cid=9921484531328875747&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA,https://www.google.com/maps/search/?api=1&query=%D7%91%D7%99%D7%99%D7%92%D7%9C%20%D7%A7%D7%A4%D7%94%20%D7%A0%D7%AA%D7%A0%D7%99%D7%94%20%D7%91%D7%A0%D7%99%20%D7%91%D7%A8%D7%9E%D7%9F%202%2C%20%D7%A0%D7%AA%D7%A0%D7%99%D7%94
6541,מספר בית שונה בשתי הכתובות + מרחק גבוה,llm,Takumi Modiin,"שדרות המלאכות 121 ישפרו סנטר, מודיעין",Takumi,"HaMelahot Blvd 122, Modi'in-Maccabim-Re'ut, Israel",asian_restaurant,asian_restaurant;restaurant;food;point_of_interest;establishment,1.000,4463,3.5,245,yes,yes,0.95,"Unique name 'Takumi' matches perfectly. Same street (HaMelahot/המלאכות) in Modi'in. House numbers 121 vs 122 are adjacent/likely same building (Yisfrael Center). Distance discrepancy (4463m) appears to be geocoding error, not a real location difference.",https://maps.google.com/?cid=17955654955604029893&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA,https://www.google.com/maps/search/?api=1&query=Takumi%20Modiin%20%D7%A9%D7%93%D7%A8%D7%95%D7%AA%20%D7%94%D7%9E%D7%9C%D7%90%D7%9B%D7%95%D7%AA%20121%20%D7%99%D7%A9%D7%A4%D7%A8%D7%95%20%D7%A1%D7%A0%D7%98%D7%A8%2C%20%D7%9E%D7%95%D7%93%D7%99%D7%A2%D7%99%D7%9F
5036,מספר בית שונה בשתי הכתובות + מרחק גבוה | address-first עם מרחק גבוה וללא מספר בית משותף ברור,address-first,נוגטין,"הרב עוזיאל 28, ירושלים, Israel",Nougatine,"הרב עוזיאל 86, הרב ש. שאולזון 51, HaMarpe 1, Jerusalem, Israel",cafe,cafe;food;point_of_interest;establishment,0.800,4287,4.5,432,yes,,,,https://maps.google.com/?cid=14807778051912146084&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA,https://www.google.com/maps/search/?api=1&query=%D7%A0%D7%95%D7%92%D7%98%D7%99%D7%9F%20%D7%94%D7%A8%D7%91%20%D7%A2%D7%95%D7%96%D7%99%D7%90%D7%9C%2028%2C%20%D7%99%D7%A8%D7%95%D7%A9%D7%9C%D7%99%D7%9D%2C%20Israel
7235,כתובת מקור חלשה/רק עיר + מרחק גבוה | address-first עם מרחק גבוה וללא מספר בית משותף ברור,address-first,Lotem Deree Bakery and Bistro,"שכניה, שכניה",לוטם דרעי בייקרי & ביסטרו שף,"Shekhanya, 2018300, Israel",coffee_shop,coffee_shop;cafe;food_store;store;restaurant;food;point_of_interest;establishment,0.818,4233,4.2,720,yes,,,,https://maps.google.com/?cid=13647410339608549543&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA,https://www.google.com/maps/search/?api=1&query=Lotem%20Deree%20Bakery%20and%20Bistro%20%D7%A9%D7%9B%D7%A0%D7%99%D7%94%2C%20%D7%A9%D7%9B%D7%A0%D7%99%D7%94
4725,כתובת מקור חלשה/רק עיר + מרחק גבוה | address-first עם מרחק גבוה וללא מספר בית משותף ברור,address-first,סושי אנד בייגלס,"בית שמש, Israel",Sushi N Bagels,"Hashdera Mall, Menachem Porush 1, Bet Shemesh, 9964114, Israel",restaurant,restaurant;food;point_of_interest;establishment,0.800,4152,4.1,27,yes,,,,https://maps.google.com/?cid=18362895219193039170&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA,https://www.google.com/maps/search/?api=1&query=%D7%A1%D7%95%D7%A9%D7%99%20%D7%90%D7%A0%D7%93%20%D7%91%D7%99%D7%99%D7%92%D7%9C%D7%A1%20%D7%91%D7%99%D7%AA%20%D7%A9%D7%9E%D7%A9%2C%20Israel
6898,address-first עם מרחק גבוה וללא מספר בית משותף ברור,address-first,פלאפל בריבוע אשדוד,"מנגו 4, אשדוד",פלאפל בריבוע,"Mango St, Ashdod, Israel",fast_food_restaurant,fast_food_restaurant;falafel_restaurant;restaurant;food;point_of_interest;establishment,1.000,4009,4,16,yes,,,,https://maps.google.com/?cid=15738476034089132142&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA,https://www.google.com/maps/search/?api=1&query=%D7%A4%D7%9C%D7%90%D7%A4%D7%9C%20%D7%91%D7%A8%D7%99%D7%91%D7%95%D7%A2%20%D7%90%D7%A9%D7%93%D7%95%D7%93%20%D7%9E%D7%A0%D7%92%D7%95%204%2C%20%D7%90%D7%A9%D7%93%D7%95%D7%93
6828,מספר בית שונה בשתי הכתובות + מרחק גבוה,llm,Jorno הרצליה,"חבצלת השרון 36, הרצליה",Jorno Bakery,"Khavatselet ha-Sharon St 37, Herzliya, Israel",coffee_shop,coffee_shop;pastry_shop;cake_shop;salad_shop;sandwich_shop;dessert_shop;cafe;confectionery;bakery;wholesaler;food_store;store;manufacturer;restaurant;food;point_of_interest;establishment,1.000,3931,4.4,883,yes,yes,0.95,"Same unique business name 'Jorno', same street (Khavatzelet ha-Sharon/חבצלת השרון), same city (Herzliya/הרצליה). House numbers differ by only 1 (36 vs 37), which is within expected error margin for address data. Distance of 3.9km appears to be a geocoding error, not a true location difference.",https://maps.google.com/?cid=8331168957120232820&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA,https://www.google.com/maps/search/?api=1&query=Jorno%20%D7%94%D7%A8%D7%A6%D7%9C%D7%99%D7%94%20%D7%97%D7%91%D7%A6%D7%9C%D7%AA%20%D7%94%D7%A9%D7%A8%D7%95%D7%9F%2036%2C%20%D7%94%D7%A8%D7%A6%D7%9C%D7%99%D7%94
3678,כתובת מקור חלשה/רק עיר + מרחק גבוה | address-first עם מרחק גבוה וללא מספר בית משותף ברור,address-first,עלים ירוקים,"תל אביב, Israel",Alim yerukim,"אוניברסיטה, תל אביב-יפו, Israel",restaurant,restaurant;point_of_interest;food;establishment,0.833,3627,4.3,162,yes,,,,https://maps.google.com/?cid=4169232007420031661&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA,https://www.google.com/maps/search/?api=1&query=%D7%A2%D7%9C%D7%99%D7%9D%20%D7%99%D7%A8%D7%95%D7%A7%D7%99%D7%9D%20%D7%AA%D7%9C%20%D7%90%D7%91%D7%99%D7%91%2C%20Israel
2199,כתובת מקור חלשה/רק עיר + מרחק גבוה | address-first עם מרחק גבוה וללא מספר בית משותף ברור,address-first,מינאטו,"קיסריה, Israel",מינאטו סושי בר קיסריה,"תחנת דלק קיסריה, Keisarya, Israel",sushi_restaurant,sushi_restaurant;japanese_restaurant;restaurant;food;point_of_interest;establishment,1.000,3557,3.7,53,yes,,,,https://maps.google.com/?cid=5236297707300001814&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA,https://www.google.com/maps/search/?api=1&query=%D7%9E%D7%99%D7%A0%D7%90%D7%98%D7%95%20%D7%A7%D7%99%D7%A1%D7%A8%D7%99%D7%94%2C%20Israel
575,כתובת מקור חלשה/רק עיר + מרחק גבוה | address-first עם מרחק גבוה וללא מספר בית משותף ברור,address-first,תמרה הבשרי,"ירושלים, Israel",תמרה הבשרי-Tamara events,"HaTa'asiya St 4, Jerusalem, Israel",event_venue,event_venue;catering_service;food_delivery;wedding_venue;service;food;point_of_interest;establishment,1.000,3490,5,53,yes,,,,https://maps.google.com/?cid=1752134098415418270&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA,https://www.google.com/maps/search/?api=1&query=%D7%AA%D7%9E%D7%A8%D7%94%20%D7%94%D7%91%D7%A9%D7%A8%D7%99%20%D7%99%D7%A8%D7%95%D7%A9%D7%9C%D7%99%D7%9D%2C%20Israel
6616,כתובת מקור חלשה/רק עיר + מרחק גבוה | address-first עם מרחק גבוה וללא מספר בית משותף ברור,address-first,Flam Winery,"יער הקדושים, אשתאול",Flam Winery,"יער הקדושים, יער, הקדושים, Eshta'ol, Israel",winery,winery;farm;manufacturer;service;food;point_of_interest;establishment,1.000,3094,4.5,513,yes,,,,https://maps.google.com/?cid=14042046299297317675&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA,https://www.google.com/maps/search/?api=1&query=Flam%20Winery%20%D7%99%D7%A2%D7%A8%20%D7%94%D7%A7%D7%93%D7%95%D7%A9%D7%99%D7%9D%2C%20%D7%90%D7%A9%D7%AA%D7%90%D7%95%D7%9C
4787,מספר בית שונה בשתי הכתובות + מרחק גבוה | address-first עם מרחק גבוה וללא מספר בית משותף ברור,address-first,הלו תימן,"שד' ויצמן 1, גבעת שאול, ירושלים, Israel",מסעדת הלו תימן,"מתחם תחנת דלק פז, ויצמן 3, ירושלים, Israel",gyro_restaurant,gyro_restaurant;restaurant;food;point_of_interest;establishment,1.000,2802,4.1,3007,yes,,,,https://maps.google.com/?cid=7002232581308391668&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA,https://www.google.com/maps/search/?api=1&query=%D7%94%D7%9C%D7%95%20%D7%AA%D7%99%D7%9E%D7%9F%20%D7%A9%D7%93'%20%D7%95%D7%99%D7%A6%D7%9E%D7%9F%201%2C%20%D7%92%D7%91%D7%A2%D7%AA%20%D7%A9%D7%90%D7%95%D7%9C%2C%20%D7%99%D7%A8%D7%95%D7%A9%D7%9C%D7%99%D7%9D%2C%20Israel
5377,address-first עם מרחק גבוה וללא מספר בית משותף ברור,address-first,לימונצ'לו,"אשדוד, Israel",לימונצ׳לו - limoncello,"חוף הפרחים, אשדוד, Israel",restaurant,restaurant;bar;food;point_of_interest;establishment,1.000,2769,4,526,yes,,,,https://maps.google.com/?cid=169913004661725741&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA,https://www.google.com/maps/search/?api=1&query=%D7%9C%D7%99%D7%9E%D7%95%D7%A0%D7%A6'%D7%9C%D7%95%20%D7%90%D7%A9%D7%93%D7%95%D7%93%2C%20Israel
7074,מספר בית שונה בשתי הכתובות + מרחק גבוה,llm,Wok To Walk פתח תקווה (כשר),"תוצרת הארץ 3, פתח תקווה",ווק טו ווק פתח תקוה,"Totseret ha-Arets St 2, Petah Tikva, 4951734, Israel",restaurant,restaurant;food;point_of_interest;establishment,0.600,2691,3.7,381,yes,yes,0.95,"Same unique business name (Wok To Walk / ווק טו ווק - direct translation match), same street (תוצרת הארץ / Totseret ha-Arets), same city (Petah Tikva). House number differs slightly (3 vs 2) but this is within acceptable margin for coordinate/address data errors. Distance of 2.7km appears to be a calculation error rather than actual location difference given matching street and city.",https://maps.google.com/?cid=9335111404970363905&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA,https://www.google.com/maps/search/?api=1&query=Wok%20To%20Walk%20%D7%A4%D7%AA%D7%97%20%D7%AA%D7%A7%D7%95%D7%95%D7%94%20(%D7%9B%D7%A9%D7%A8)%20%D7%AA%D7%95%D7%A6%D7%A8%D7%AA%20%D7%94%D7%90%D7%A8%D7%A5%203%2C%20%D7%A4%D7%AA%D7%97%20%D7%AA%D7%A7%D7%95%D7%95%D7%94
555,כתובת מקור חלשה/רק עיר + מרחק גבוה | address-first עם מרחק גבוה וללא מספר בית משותף ברור,address-first,Thirty Three,"ירושלים, Israel",Thirty Thtee,"בקומת הגלריה, Yirmiyahu 33, Jerusalem, 9446718, Israel",restaurant,restaurant;food;point_of_interest;establishment,0.917,2539,3.8,14,yes,,,,https://maps.google.com/?cid=4428337699881740435&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA,https://www.google.com/maps/search/?api=1&query=Thirty%20Three%20%D7%99%D7%A8%D7%95%D7%A9%D7%9C%D7%99%D7%9D%2C%20Israel
