id,name,dest,country,address,friReason,satReason,category
4694,Florence Kahn,Paris,France,"24 Rue des Écouffes, Paris 4e",,פתוח 10:00 AM–6:30 PM בשבת (חופף ל-08:00–16:00),confirmed
4695,Chez Marianne,Paris,France,"2 Rue des Hospitalières Saint-Gervais, Paris 4e",פתוח עד 12:00 AM בערב שישי (אחרי 21:00),פתוח 9:30 AM–12:00 AM בשבת (חופף ל-08:00–16:00),confirmed
8195,Canal Grill,Paris,France,"153 Rue de Crimée , Paris, 75019 , France",פתוח 24 שעות (כולל כניסת שבת),פתוח 24 שעות בשבת,confirmed
8196,Chabad Champs Elysees Shabbat,Paris,France,"122 Av. des Champs-Élysées, Paris, 75008, France",,פתוח 9:00 AM–3:00 PM בשבת (חופף ל-08:00–16:00),confirmed
8216,Doron 17e,Paris,France,"73 Av. Niel, Paris, 75017, France",פתוח עד 12:00 AM בערב שישי (אחרי 21:00),,confirmed
8220,Friday Night Great Synagogue,Paris,France,"Synagogue de la Victoire 44, rue de la Victoire  , Paris, 75009, France",,פתוח 9:00 AM–12:30 PM בשבת (חופף ל-08:00–16:00),confirmed
8238,La Délicieuse Voltaire,Paris,France,"234, Boulevard Voltaire, Paris, 75011, France",,פתוח 7:00 AM–8:00 PM בשבת (חופף ל-08:00–16:00),confirmed
8270,O'Woks 19,Paris,France,"115, rue Manin, Paris, 75019, France",,פתוח 11:00 AM–3:00 PM בשבת (חופף ל-08:00–16:00),confirmed
8279,Shinzzo Manin,Paris,France,"68 Rue Manin, Paris, 75019, France",פתוח עד 10:45 PM בערב שישי (אחרי 21:00),פתוח 11:00 AM–10:45 PM בשבת (חופף ל-08:00–16:00),confirmed
6422,"בית חב""ד מערב ברלין",Berlin,Germany,"Münstersche Str. 6, 10709 Berlin, Germany.",פתוח עד 10:00 PM בערב שישי (אחרי 21:00),פתוח 8:30 AM–10:00 PM בשבת (חופף ל-08:00–16:00),confirmed
6423,"בית חב""ד ברלין לישראלים – אלכסנדרפלאץ",Berlin,Germany,"Karl-Liebknecht Str. 34, 10178 Berlin.",,פתוח 9:00 AM–6:30 PM בשבת (חופף ל-08:00–16:00),confirmed
6311,hummusbar,Budapest,Hungary,"Budapest, Október 6. u. 19, 1051 Hungary",פתוח עד 9:30 PM בערב שישי (אחרי 21:00),פתוח 11:00 AM–9:30 PM בשבת (חופף ל-08:00–16:00),confirmed
8400,The Bretzel Bakery - ONLY THE BREAD,Dublin,Ireland,"1a Lennox St Portobello, Dublin 8, Dublin, Ireland",,פתוח 9:00 AM–4:00 PM בשבת (חופף ל-08:00–16:00),confirmed
2196,תחנה 4,Afula,Israel,"זלמן הוז 1, עפולה, Israel",פתוח 24 שעות (כולל כניסת שבת),פתוח 24 שעות בשבת,confirmed
6662,BIGA נוף הגליל,Afula,Israel,"דרך העמק 41, נוף הגליל",פתוח עד 11:00 PM בערב שישי (אחרי 21:00),פתוח 8:00 AM–11:00 PM בשבת (חופף ל-08:00–16:00),confirmed
2638,הרופטופ של עכותיקה,Akko,Israel,"רח' 10 31, עכו, Israel",,פתוח 8:30 AM–12:00 PM בשבת (חופף ל-08:00–16:00),confirmed
1444,קמפאי סטריט ווק,Ashdod,Israel,"גור דב 13, אשדוד, Israel",,פתוח 11:30 AM–11:30 PM בשבת (חופף ל-08:00–16:00),confirmed
1837,גרג קיטשן,Ashdod,Israel,"הגדוד העברי 1, אשדוד, Israel",,פתוח 8:00 AM–11:00 PM בשבת (חופף ל-08:00–16:00),confirmed
1892,מקדונלד'ס,Ashdod,Israel,"בלפור 14, קניון לב אשדוד, Israel",,פתוח 10:30 AM–12:00 AM בשבת (חופף ל-08:00–16:00),confirmed
1928,T-MIX,Ashdod,Israel,"העצמאות 4, אשדוד, Israel",,פתוח 9:00 AM–5:00 PM בשבת (חופף ל-08:00–16:00),confirmed
3214,בורה בורה,Bat Yam,Israel,"דרך בן גוריון 96, טיילת בת ים, Israel",,פתוח 9:00 AM–6:00 PM בשבת (חופף ל-08:00–16:00),confirmed
3506,מרכז המאפה,Bat Yam,Israel,"אהוד קנמון 27, בת ים, Israel",פתוח 24 שעות (כולל כניסת שבת),פתוח 24 שעות בשבת,confirmed
3553,ארומה,Bat Yam,Israel,"יוספטל 92, קניון בת ים, Israel",,פתוח 7:00 AM–9:00 PM בשבת (חופף ל-08:00–16:00),confirmed
1324,סומבררו,Be'er Sheva,Israel,"בורנשטיין 801, ירוחם, Israel",פתוח עד 3:00 AM בערב שישי (אחרי 21:00),,confirmed
6582,Cinnabon באר שבע,Be'er Sheva,Israel,"שדרות טוביהו 125 גראנד קניון, באר שבע",פתוח עד 9:30 AM בערב שישי (אחרי 21:00),,confirmed
2180,דלאל,Beit She'an,Israel,"הארבעה 1, בית שאן, Israel",,פתוח 8:00 AM–11:30 PM בשבת (חופף ל-08:00–16:00),confirmed
2694,בויה נקניק מגולגל בטוסט,Beit She'an,Israel,"אהבת ישראל 9, בית שאן, Israel",פתוח עד 11:00 PM בערב שישי (אחרי 21:00),פתוח 6:00 AM–11:00 PM בשבת (חופף ל-08:00–16:00),confirmed
2702,מפגש מאור,Beit She'an,Israel,"ירושלים הבירה 31, בית שאן, Israel",פתוח עד 12:00 AM בערב שישי (אחרי 21:00),,confirmed
2983,מפגש השווארמה,Beit She'an,Israel,"אהבת ישראל 3, בית שאן, Israel",פתוח 24 שעות (כולל כניסת שבת),,confirmed
5455,הבית של זוהרה,Beit Shemesh,Israel,"לוזית, Israel",פתוח 24 שעות (כולל כניסת שבת),,confirmed
1907,הפיצה של יהושוע,Dimona,Israel,"דימונה, Israel",פתוח עד 12:00 AM בערב שישי (אחרי 21:00),פתוח 12:00 AM–5:00 PM בשבת (חופף ל-08:00–16:00),confirmed
1724,כפות תמרים,Eilat,Israel,"אילות, Israel",פתוח 24 שעות (כולל כניסת שבת),פתוח 24 שעות בשבת,confirmed
1728,פיצה מטר אילת,Eilat,Israel,"חיל ההנדסה 6, אילת, Israel",פתוח 24 שעות (כולל כניסת שבת),פתוח 24 שעות בשבת,confirmed
1789,פיצה האט,Eilat,Israel,"אילת, Israel",פתוח עד 12:00 AM בערב שישי (אחרי 21:00),פתוח 11:30 AM–12:00 AM בשבת (חופף ל-08:00–16:00),confirmed
1869,גולדה,Eilat,Israel,"אילת, Israel",פתוח עד 12:00 AM בערב שישי (אחרי 21:00),פתוח 9:00 AM–12:00 AM בשבת (חופף ל-08:00–16:00),confirmed
5566,ארוחות קטנות,Gedera,Israel,"ההדר 94, קדרון, Israel",,פתוח 7:00 AM–6:00 PM בשבת (חופף ל-08:00–16:00),confirmed
5688,חוות אלבואדי מסעדת אג'אויד,Hadera,Israel,"זמר, Israel",פתוח עד 1:00 AM בערב שישי (אחרי 21:00),פתוח 9:00 AM–12:00 AM בשבת (חופף ל-08:00–16:00),confirmed
2034,כתום,Haifa,Israel,"חיפה, Israel",,פתוח 11:30 AM–4:00 PM בשבת (חופף ל-08:00–16:00),confirmed
2520,סטיישן סנדביץ' קלאב-STATION SANDWICH CLUB,Haifa,Israel,"דרך שמחה גולן 54, גרנד קניון חיפה, Israel",פתוח 24 שעות (כולל כניסת שבת),פתוח 24 שעות בשבת,confirmed
2692,ברוקלין 17,Haifa,Israel,"חיפה, Israel",פתוח עד 12:00 AM בערב שישי (אחרי 21:00),,confirmed
6530,Greg חוצות המפרץ חיפה,Haifa,Israel,"החרושת 8, חיפה",,פתוח 10:00 AM–10:30 PM בשבת (חופף ל-08:00–16:00),confirmed
6583,קפה מנדרין,Haifa,Israel,"צפרירים 1, חיפה",,פתוח 7:00 AM–2:30 PM בשבת (חופף ל-08:00–16:00),confirmed
6694,Jorno בייקרי הרצליה,Herzliya,Israel,"הצדף 2, הרצליה",,פתוח 7:00 AM–9:00 PM בשבת (חופף ל-08:00–16:00),confirmed
6828,Jorno הרצליה,Herzliya,Israel,"חבצלת השרון 36, הרצליה",,פתוח 7:00 AM–9:00 PM בשבת (חופף ל-08:00–16:00),confirmed
4370,מיטאו,Holon,Israel,"הפלד 46, חולון, Israel",,פתוח 9:00 AM–7:00 PM בשבת (חופף ל-08:00–16:00),confirmed
4781,בנדורה,Jerusalem,Israel,"יפו 36, ירושלים, Israel",פתוח עד 1:00 AM בערב שישי (אחרי 21:00),פתוח 1:00 PM–12:00 AM בשבת (חופף ל-08:00–16:00),confirmed
4845,בר יין,Jerusalem,Israel,"עזה 82, ירושלים, Israel",פתוח עד 1:30 AM בערב שישי (אחרי 21:00),פתוח 8:00 AM–12:00 AM בשבת (חופף ל-08:00–16:00),confirmed
5060,שערי שמחה,Jerusalem,Israel,"שכונת גאולה, ירושלים, Israel",פתוח עד 12:00 AM בערב שישי (אחרי 21:00),פתוח 7:00 AM–12:00 AM בשבת (חופף ל-08:00–16:00),confirmed
5072,קפה עלית-אספרסו בר,Jerusalem,Israel,"הר הצופים 1, ירושלים, Israel",,פתוח 7:00 AM–9:00 PM בשבת (חופף ל-08:00–16:00),confirmed
5081,מסעדת טרסה,Jerusalem,Israel,"נכון 6, ירושלים, Israel",,פתוח 8:00 AM–1:00 PM בשבת (חופף ל-08:00–16:00),confirmed
5282,אימפריאל רד,Jerusalem,Israel,"קריית ענבים, Israel",פתוח עד 12:00 AM בערב שישי (אחרי 21:00),,confirmed
5300,מזנון רוקפלר,Jerusalem,Israel,"סולטן סולימן, ירושלים העתיקה, Israel",פתוח 24 שעות (כולל כניסת שבת),פתוח 24 שעות בשבת,confirmed
5324,גריל B,Jerusalem,Israel,"המגיד ממעזריטש 70, ביתר עילית, Israel",,פתוח 24 שעות בשבת,confirmed
6544,באב אל ימן,Jerusalem,Israel,"דרך עזה 29, ירושלים",,פתוח 10:00 AM–12:00 AM בשבת (חופף ל-08:00–16:00),confirmed
6580,Mula Botani,Jerusalem,Israel,"הגן הבוטני האוניברסיטאי, גבעת רם, ירושלים",,פתוח 9:00 AM–6:00 PM בשבת (חופף ל-08:00–16:00),confirmed
2210,DINER BURGER דיינר בורגר,Karmiel,Israel,"שד' קק""ל 98, כרמיאל, Israel",פתוח עד 11:30 PM בערב שישי (אחרי 21:00),פתוח 10:30 AM–11:30 PM בשבת (חופף ל-08:00–16:00),confirmed
2545,שניצל 20 טעמים,Karmiel,Israel,"מעלה כמון 5, כרמיאל, Israel",פתוח עד 11:30 PM בערב שישי (אחרי 21:00),,confirmed
6510,טגלוס,Karmiel,Israel,"מתחם גן העיר, כרמיאל",פתוח עד 11:00 PM בערב שישי (אחרי 21:00),פתוח 9:00 AM–10:30 PM בשבת (חופף ל-08:00–16:00),confirmed
3688,חומוס כספי,Kfar Saba,Israel,"יהודה המכבי 61, תל אביב, Israel",,פתוח 10:30 AM–3:00 PM בשבת (חופף ל-08:00–16:00),confirmed
4014,סקיצה,Kfar Saba,Israel,"דרך האורנים 13, רינתיה, Israel",פתוח עד 11:00 PM בערב שישי (אחרי 21:00),,confirmed
2435,פיצה מייקר,Kiryat Ata,Israel,"סוקולוב 40, קרית אתא, Israel",,פתוח 12:00 PM–12:00 AM בשבת (חופף ל-08:00–16:00),confirmed
1313,פיצה סופיה,Kiryat Gat,Israel,"אמציה, Israel",פתוח עד 12:00 AM בערב שישי (אחרי 21:00),פתוח 2:23 PM–12:00 AM בשבת (חופף ל-08:00–16:00),confirmed
1870,הקוסקוס של רותם,Kiryat Gat,Israel,"דרך הדרום 9, קריית גת, Israel",פתוח 24 שעות (כולל כניסת שבת),פתוח 24 שעות בשבת,confirmed
4672,קולינאריק,Kiryat Ono,Israel,"המייסדים 3, קריית אונו, Israel",,פתוח 9:00 AM–6:00 PM בשבת (חופף ל-08:00–16:00),confirmed
2837,בית האוכל של מושיקו,Kiryat Shmona,Israel,"קריית שמונה, Israel",,פתוח 11:00 AM–4:53 PM בשבת (חופף ל-08:00–16:00),confirmed
3206,בונז'ור מלך השווארמה,Lod,Israel,"הרצל 64, לוד, Israel",,פתוח 8:00 AM–8:00 PM בשבת (חופף ל-08:00–16:00),confirmed
6751,בייגל קפה מבשרת,Mevaseret Zion,Israel,"קניון הראל, מבשרת ציון",פתוח עד 9:30 PM בערב שישי (אחרי 21:00),,confirmed
3507,ג'פניקה,Modiin,Israel,"לב העיר 2, מודיעין והסביבה, Israel",פתוח עד 12:00 AM בערב שישי (אחרי 21:00),פתוח 12:00 PM–12:00 AM בשבת (חופף ל-08:00–16:00),confirmed
2494,סחבק,Nahariya,Israel,"שד' הגעתון 20, נהריה, Israel",פתוח עד 10:30 PM בערב שישי (אחרי 21:00),,confirmed
6678,BBB נהריה,Nahariya,Israel,"ויצמן 71, נהריה",פתוח עד 12:00 AM בערב שישי (אחרי 21:00),פתוח 12:00 PM–12:00 AM בשבת (חופף ל-08:00–16:00),confirmed
6773,איבן בית מאפה,Ness Ziona,Israel,"הסנונית 18, נס ציונה",,פתוח 8:00 AM–2:00 PM בשבת (חופף ל-08:00–16:00),confirmed
3232,מקדונלד'ס,Netanya,Israel,"נחלת יצחק 20, תל אביב, Israel",,פתוח 11:00 AM–10:00 PM בשבת (חופף ל-08:00–16:00),confirmed
5903,צ'יקו,Netanya,Israel,"דרך דגניה 14, נתניה, Israel",פתוח 24 שעות (כולל כניסת שבת),,confirmed
5990,הכרם אירועים,Netanya,Israel,"גד מכנס 6, נתניה, Israel",פתוח עד 4:09 AM בערב שישי (אחרי 21:00),,confirmed
7170,Jorno בייקרי נתניה,Netanya,Israel,"קהילת צפת 1, נתניה",,פתוח 7:00 AM–9:00 PM בשבת (חופף ל-08:00–16:00),confirmed
3330,בורגרים,Petah Tikva,Israel,"בן ציון גליס 30, B סנטר פתח תקווה, Israel",,פתוח 9:00 AM–5:00 PM בשבת (חופף ל-08:00–16:00),confirmed
4126,קסאנאדו Xanadu,Petah Tikva,Israel,"בן ציון גליס 50, פתח תקווה, Israel",פתוח עד 12:00 AM בערב שישי (אחרי 21:00),,confirmed
5791,פיצה פארטי,Ra'anana,Israel,"ביל""ו 21, רעננה, Israel",,פתוח 8:00 AM–7:00 PM בשבת (חופף ל-08:00–16:00),confirmed
3189,קפה לוגאנו,Ramat Gan,Israel,"החוגה 2, רמת אפעל, Israel",פתוח עד 11:00 PM בערב שישי (אחרי 21:00),,confirmed
3302,הדרים קייטרינג,Ramat Gan,Israel,"זיסמן שלום 14, מתחם הבורסה, רמת גן, Israel",פתוח 24 שעות (כולל כניסת שבת),פתוח 9:00 AM–5:00 PM בשבת (חופף ל-08:00–16:00),confirmed
3410,מפגש בר,Ramat Gan,Israel,"תובל 16, מתחם הבורסה, רמת גן, Israel",,פתוח 8:00 AM–12:00 AM בשבת (חופף ל-08:00–16:00),confirmed
4268,פיצה קראסט,Ramat Gan,Israel,"קריניצי 12, רמת גן, Israel",,פתוח 11:00 AM–12:00 AM בשבת (חופף ל-08:00–16:00),confirmed
3130,מאנצ'י טוסט,Ramla,Israel,"אבא אחימאיר 15, רמלה, Israel",פתוח 24 שעות (כולל כניסת שבת),,confirmed
5461,מאפיית פארין,Rehovot,Israel,"הרצל 192, רחובות, Israel",פתוח 24 שעות (כולל כניסת שבת),פתוח 24 שעות בשבת,confirmed
5538,טרי,Rehovot,Israel,"הרצל 194, רחובות, Israel",פתוח עד 11:30 PM בערב שישי (אחרי 21:00),פתוח 10:30 AM–11:30 PM בשבת (חופף ל-08:00–16:00),confirmed
5567,הרצל street food,Rehovot,Israel,"הרצל 210, רחובות, Israel",פתוח עד 2:00 AM בערב שישי (אחרי 21:00),פתוח 10:00 AM–12:00 AM בשבת (חופף ל-08:00–16:00),confirmed
5610,שווארמה אקספרס,Rehovot,Israel,"ביל""ו 2, קניון רחובות, Israel",,פתוח 24 שעות בשבת,confirmed
3386,גולדות,Rishon LeZion,Israel,"רוטשילד 83, ראשון לציון, Israel",פתוח עד 4:00 AM בערב שישי (אחרי 21:00),,confirmed
3475,כל טעם,Rishon LeZion,Israel,"רוטשילד 64, ראשון לציון, Israel",פתוח עד 3:00 AM בערב שישי (אחרי 21:00),פתוח 10:00 AM–12:00 AM בשבת (חופף ל-08:00–16:00),confirmed
4375,שווארמה רוטשילד,Rishon LeZion,Israel,"רוטשילד 39, ראשון לציון, Israel",פתוח עד 11:00 PM בערב שישי (אחרי 21:00),,confirmed
7182,"B-FRESH - ראשונים ראשל""צ",Rishon LeZion,Israel,"שדרות נים 2, ראשון לציון",פתוח עד 10:00 PM בערב שישי (אחרי 21:00),,confirmed
4067,מאפיית הכפר,Rosh HaAyin,Israel,"הרב שלום שבזי 26, ראש העין, Israel",,פתוח 24 שעות בשבת,confirmed
216,חומוס הבן של הסורי,Tel Aviv,Israel,"Yigal Alon St 121, Tel Aviv-Yafo, Israel",פתוח עד 3:00 AM בערב שישי (אחרי 21:00),,confirmed
3313,מסי,Tel Aviv,Israel,"השרון 10, תל אביב, Israel",פתוח עד 12:00 AM בערב שישי (אחרי 21:00),פתוח 12:00 AM–12:00 PM בשבת (חופף ל-08:00–16:00),confirmed
4049,פיתה בשר,Tel Aviv,Israel,"נחלת בנימין 75, תל אביב, Israel",פתוח עד 5:00 AM בערב שישי (אחרי 21:00),,confirmed
4295,מסעדת הלובי,Tel Aviv,Israel,"אליעזר פרי 10, תל אביב, Israel",פתוח 24 שעות (כולל כניסת שבת),פתוח 24 שעות בשבת,confirmed
4690,Miznon,Tel Aviv,Israel,"23 Ibn Gavirol St, Tel Aviv",,פתוח 1:00 PM–12:00 AM בשבת (חופף ל-08:00–16:00),confirmed
4691,Meshek Barzilay,Tel Aviv,Israel,"6 Ahad Ha'am St, Tel Aviv",פתוח עד 11:00 PM בערב שישי (אחרי 21:00),פתוח 10:00 AM–11:00 PM בשבת (חופף ל-08:00–16:00),confirmed
7020,Banana beach,Tel Aviv,Israel,"יוניצמן 21, תל אביב",פתוח עד 10:00 PM בערב שישי (אחרי 21:00),פתוח 7:00 AM–10:00 PM בשבת (חופף ל-08:00–16:00),confirmed
7083,"דלאל הקונדיטוריה, נוה צדק",Tel Aviv,Israel,"כל ישראל חברים 7, תל אביב",,פתוח 9:00 AM–4:00 PM בשבת (חופף ל-08:00–16:00),confirmed
7238,"Jorno בייקרי ת""א",Tel Aviv,Israel,"ויינשל 6, תל אביב",,פתוח 7:00 AM–4:00 PM בשבת (חופף ל-08:00–16:00),confirmed
5466,אורו,Yavne,Israel,"גאליה, Israel",פתוח 24 שעות (כולל כניסת שבת),פתוח 24 שעות בשבת,confirmed
4058,ביג בורגר,Yehud,Israel,"צבי ישי 1, יהוד, Israel",,פתוח 8:30 AM–12:00 PM בשבת (חופף ל-08:00–16:00),confirmed
6629,ארקפה יהוד,Yehud,Israel,"אלטלף 4, יהוד",,פתוח 7:00 AM–10:00 PM בשבת (חופף ל-08:00–16:00),confirmed
2437,דונסון,Zichron Yaakov,Israel,"חוחית 16, זכרון יעקב, Israel",פתוח 24 שעות (כולל כניסת שבת),,confirmed
6698,משיגנע,Zichron Yaakov,Israel,"המייסדים 41, זיכרון יעקב",,פתוח 8:30 AM–6:00 PM בשבת (חופף ל-08:00–16:00),confirmed
8353,Bona Pizza Romana,Rome,Italy,"Via del Portico d'Ottavia, 7, 00186 Roma RM, Italy, Rome, 00186, Italy",פתוח עד 9:30 PM בערב שישי (אחרי 21:00),פתוח 9:30 AM–9:30 PM בשבת (חופף ל-08:00–16:00),confirmed
8451,First Grill Marrakech,Marrakech,Morocco,"Av. du Président Kennedy,  Marrakech 40000, , Morocco",פתוח 24 שעות (כולל כניסת שבת),פתוח 24 שעות בשבת,confirmed
6415,סופרמרקט ג'מבו  Jumbo,Amsterdam,Netherlands,"Kastelenstraat 70, Amsterdam.",פתוח עד 10:00 PM בערב שישי (אחרי 21:00),פתוח 8:00 AM–10:00 PM בשבת (חופף ל-08:00–16:00),confirmed
8327,Jewish Museum Cafe Amsterdam,Amsterdam,Netherlands,"Nieuwe Amstelstraat 1, Amsterdam, 1011 PL , Netherlands",,פתוח 11:00 AM–5:00 PM בשבת (חופף ל-08:00–16:00),confirmed
8385,Chabad Barcelona Tourist Center,Barcelona,Spain,"Carrer de Sant Honorat, 9, Barcelona, 08002, Spain",,פתוח 9:30 AM–8:00 PM בשבת (חופף ל-08:00–16:00),confirmed
8401,Chabad of Bangkok Dairy Cafe,Bangkok,Thailand,"18 Phra Sumen Rd, Talat Yot, Phra Nakhon,, Bangkok, 10200, Thailand",פתוח עד 12:00 AM בערב שישי (אחרי 21:00),פתוח 8:00 AM–10:00 PM בשבת (חופף ל-08:00–16:00),confirmed
8410,Burekas Ramle Koh Samui,Ko Samui,Thailand,"200, 15, Bo Put, Amphoe Ko Samui, Surat Thani , 84320, Thailand",,פתוח 9:00 AM–12:00 AM בשבת (חופף ל-08:00–16:00),confirmed
8417,Oria'Sweets - Banana Market,Ko Samui,Thailand,"30 Chaweng Beach Rd, Bo Put Ko Samui District, Surat Thani , 84320, Thailand",פתוח עד 12:00 AM בערב שישי (אחרי 21:00),פתוח 3:00 PM–12:00 AM בשבת (חופף ל-08:00–16:00),confirmed
8429,Le Triskel,Pai,Thailand,"28, rue Saint-Hilaire, Saint-Maur-des-Fossés, 94210, France",פתוח עד 10:30 PM בערב שישי (אחרי 21:00),פתוח 11:45 AM–10:30 PM בשבת (חופף ל-08:00–16:00),confirmed
8422,Chabad Phuket,Phuket,Thailand,"9/6 Rat-U-Thit 200 Pee Rd Patong, Kathu District, Phuket, Thailand, Phuket, 83150, Thailand",פתוח עד 10:30 PM בערב שישי (אחרי 21:00),פתוח 8:00 AM–10:30 PM בשבת (חופף ל-08:00–16:00),confirmed
8425,Pistachio Restaurant Phuket | Patong,Phuket,Thailand,"9 Rat Uthit Song Roi Pi Rd, Pa Tong Kathu District, Phuket , 83150, Thailand",פתוח עד 1:00 AM בערב שישי (אחרי 21:00),פתוח 8:00 AM–12:00 AM בשבת (חופף ל-08:00–16:00),confirmed
8122,Hot Cut,London,United Kingdom,"98 Golders Green Rd Golders Green, London NW11 8HB, UK",,פתוח 11:00 AM–12:00 AM בשבת (חופף ל-08:00–16:00),confirmed
8131,M&S Muswell Hill,London,United Kingdom,"Simply Food, The, 126-138 Muswell Hill Broadway, Muswell Hill, London, N10 3RU, UK",,פתוח 8:00 AM–9:00 PM בשבת (חופף ל-08:00–16:00),confirmed
7540,Dairy Star Ice Cream of Lincolnwood,Chicago,United States,"3472 W Devon Ave, Lincolnwood, IL 60712, USA",פתוח עד 12:00 AM בערב שישי (אחרי 21:00),פתוח 2:00 PM–12:00 AM בשבת (חופף ל-08:00–16:00),confirmed
7542,Dunkin Donuts Skokie,Chicago,United States,"3900 Dempster Street, Skokie, IL 60076, United States",פתוח עד 10:00 PM בערב שישי (אחרי 21:00),פתוח 4:00 AM–10:00 PM בשבת (חופף ל-08:00–16:00),confirmed
7543,Dunkin Donuts/Baskin Robbins,Chicago,United States,"3132 West Devon Avenue West Rogers Park, Chicago, 60659-1427, Illinois",פתוח 24 שעות (כולל כניסת שבת),פתוח 24 שעות בשבת,confirmed
7547,Graeter's Ice Cream,Chicago,United States,"1347 Shermer Road, Northbrook, IL 60062",פתוח עד 11:00 PM בערב שישי (אחרי 21:00),פתוח 11:00 AM–11:00 PM בשבת (חופף ל-08:00–16:00),confirmed
7560,Rocket Slice,Chicago,United States,"3918 West Touhy Avenue, Lincolnwood, IL, 60712, USA",,פתוח 10:00 AM–12:00 AM בשבת (חופף ל-08:00–16:00),confirmed
7713,"Tom Thumb Bakery, Kosher Deli and Fresh Meat Market",Dallas,United States,"The Market at Preston Forest 11920 Preston Road, Dallas, TX  75230",פתוח עד 11:00 PM בערב שישי (אחרי 21:00),פתוח 6:00 AM–11:00 PM בשבת (חופף ל-08:00–16:00),confirmed
7699,Pita's,Las Vegas,United States,"5115 Spring Mountain Rd, Las Vegas, NV , 89103, USA",פתוח עד 9:30 PM בערב שישי (אחרי 21:00),פתוח 10:00 AM–9:30 PM בשבת (חופף ל-08:00–16:00),confirmed
7580,Bacio di Latte - Century City Mall,Los Angeles,United States,"10250 Santa Monica Boulevard, Los Angeles, CA 90067, USA",פתוח עד 11:00 PM בערב שישי (אחרי 21:00),פתוח 11:00 AM–11:00 PM בשבת (חופף ל-08:00–16:00),confirmed
7582,Baskin-Robbins (LA Cienega Plaza),Los Angeles,United States,"1831 S La Cienega Blvd Suite B Los Angeles, CA, 90035, United States",פתוח עד 10:00 PM בערב שישי (אחרי 21:00),פתוח 10:00 AM–10:00 PM בשבת (חופף ל-08:00–16:00),confirmed
