id,old_name,google_name,name_sim,old_address,google_address,distance_m,business_status,google_phone,google_rating,google_rating_count,has_photo,google_maps_uri,confidence,status,reason
584,המאפה הצרפתי,Le Parisien,0.200,"נתניה, Israel","Israel Zangvill St 14, Netanya, Israel",471,OPERATIONAL,09-882-8981,4.5,170,yes,https://maps.google.com/?cid=759669676619093362&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA,0.2,no_match,dist=471m name=0.20 no-match
1422,פיצה של אפרים,הפיצה של אפרים,1.000,"הנשיא 97, אשקלון, Israel","Ha-Nasi St 97, Ashkelon, Israel",139,OPERATIONAL,077-231-4040,4,248,yes,https://maps.google.com/?cid=4961232610822643933&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA,0.88,verified,dist=139m name=1.00 near+name
5877,בית רצון,Beit Razon,0.400,"שער הגיא 5, נתניה, Israel","Sha'ar HaGai St 5, Netanya, Israel",58,OPERATIONAL,09-861-6157,4.3,746,yes,https://maps.google.com/?cid=4875595253253478742&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA,0.95,verified,dist=58m name=0.40 close-proximity
6850,B-FRESH - באר יעקב,B-FRESH,1.000,"שא נס 17, באר יעקב","Sa Nes St 17, Be'er Ya'akov, Israel",943,OPERATIONAL,053-445-3020,3.5,15,yes,https://maps.google.com/?cid=12773023469658799936&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA,0.7,flagged,dist=943m name=1.00 needs-review
5038,קפה גלאטה,Galata Coffee,0.750,"יפו 97, ירושלים, Israel","Jaffa St 97, Jerusalem, Israel",52,OPERATIONAL,,4.3,15,yes,https://maps.google.com/?cid=8221856876224886166&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA,0.95,verified,dist=52m name=0.75 close-proximity
5554,יוגו,Yogo,0.333,"ביל""ו 2, קניון רחובות, Israel","Bilu St 2, Rehovot, Israel",20029,OPERATIONAL,08-857-1936,3.9,45,yes,https://maps.google.com/?cid=2062654127221563763&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA,0.2,no_match,dist=20029m name=0.33 no-match
5230,פאפאס פיצה פלאפל,פאפא דה פיצה ירושלים Papa de pizza,0.385,"תפארת ישראל 2, הרובע היהודי, ירושלים, Israel","The Armenian Patriarchate St 73, Jerusalem",343,OPERATIONAL,02-537-7776,4.9,71,yes,https://maps.google.com/?cid=8937899228295303918&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA,0.2,no_match,dist=343m name=0.38 no-match
6574,רוזה מודיעין,ROZA,0.250,"ישפרו סנטר, שד' המלאכות 1, מודיעין","ישפרו סנטר, שד' המלאכות 1, Modi'in Makabim-Re'ut, Israel",4466,OPERATIONAL,08-630-4644,4.5,4232,yes,https://maps.google.com/?cid=2984329953532350164&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA,0.2,no_match,dist=4466m name=0.25 no-match
6546,Station 9 | סטיישן 9,Station 9,1.000,"דוד רמז 4, ירושלים","מתחם התחנה הראשונה, דוד רמז 4, ירושלים, Israel",1039,OPERATIONAL,072-212-5152,4.1,1270,yes,https://maps.google.com/?cid=3725917100213003234&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA,0.7,flagged,dist=1039m name=1.00 needs-review
3723,cofix,אמות קניון קריית אונו,0.000,"הכלנית 17, קניון קרית אונו, Israel","Shlomo ha-Melekh St 37, Kiryat Ono, 5542133, Israel",84,OPERATIONAL,03-635-2845,4.1,8928,yes,https://maps.google.com/?cid=5206489036775307084&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA,0.7,flagged,dist=84m name=0.00 needs-review
2447,ארומה,ארומה-Aroma,1.000,"יהושע חנקין 48, עפולה, Israel","Joshua Hankin St 49, Afula, 1825459, Israel",976,OPERATIONAL,04-689-6050,4.2,1355,yes,https://maps.google.com/?cid=10144413540386255845&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA,0.7,flagged,dist=976m name=1.00 needs-review
3321,מהמטבח של חני,Yehuda Halevi St 49,0.250,"יהודה הלוי 49, גבעת שמואל, Israel","Yehuda Halevi St 49, Giv'at Shmuel, Israel",88,,,,,no,https://maps.google.com/?cid=13761510740493454077&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA,0.7,flagged,dist=88m name=0.25 needs-review
3360,מרכז אסיה,Central Asia,0.000,"מסילת ישרים 41, תל אביב, Israel","Mesilat Yesharim St 41, Tel Aviv-Yafo, Israel",11,OPERATIONAL,03-639-3859,4.4,289,yes,https://maps.google.com/?cid=542051346196821635&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA,0.6,flagged,dist=11m name=0.00 proximity-name-mismatch
7225,Frenchy Marche,Frenchy Tlv,0.571,"שינקין 54, תל אביב","Sheinkin St 54, Tel Aviv-Yafo, 6713212, Israel",1937,OPERATIONAL,054-750-0125,4.1,120,yes,https://maps.google.com/?cid=18156903266010468076&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA,0.2,no_match,dist=1937m name=0.57 no-match
3600,קפה עלית-אספרסו בר,דז׳ה וו | Deja Vu,0.125,"שד' החשמונאים 1, מודיעין והסביבה, Israel","Dam HaMacbim St 53, Modi'in-Maccabim-Re'ut, Israel",166,OPERATIONAL,055-970-4930,4.9,68,yes,https://maps.google.com/?cid=10806550388101793027&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA,0.7,flagged,dist=166m name=0.13 needs-review
3616,ברגר קינג,Burger King,1.000,"דיזנגוף 50, תל אביב, Israel","דיזנגוף 50 דיזנגוף סנטר, Tel Aviv-Jaffa, 6433267, Israel",22,CLOSED_PERMANENTLY,,3.3,643,yes,https://maps.google.com/?cid=403237209668120401&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA,0.4,flagged,dist=22m name=1.00 business=CLOSED_PERMANENTLY (non-operational)
3843,דומיניק,Dominik,0.800,"תובל 11, מתחם הבורסה, רמת גן, Israel","Tuval St 11, Ramat Gan, Israel",13,OPERATIONAL,03-751-1144,4,2058,yes,https://maps.google.com/?cid=541167239507666223&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA,0.95,verified,dist=13m name=0.80 close-proximity
4633,להבות,Lehavot Restaurant,0.800,"יוסף לישנסקי 20, ראשון לציון, Israel","Yosef Lishanski Blvd 20, Rishon LeZion, Israel",88,CLOSED_PERMANENTLY,03-956-5757,3.6,750,yes,https://maps.google.com/?cid=9125494018192151689&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA,0.4,flagged,dist=88m name=0.80 business=CLOSED_PERMANENTLY (non-operational)
3809,לה וויס,La Voice - לה ווייס קריוקי,0.417,"המרץ 13, ראש העין, Israel","HaMerEts St 13, Rosh Haayin, 4801713, Israel",381,OPERATIONAL,052-535-2552,4.7,65,yes,https://maps.google.com/?cid=5722283289192786335&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA,0.2,no_match,dist=381m name=0.42 no-match
6157,ג'מס ביר פקטורי,Jem's Beer Pub,0.500,"האורנים 12, פרדס חנה-כרכור, Israel","HaOranim St 12, Pardes Hanna-Karkur, Israel",506,CLOSED_PERMANENTLY,04-984-6560,4.2,319,yes,https://maps.google.com/?cid=2258098625514976017&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA,0.4,flagged,dist=506m name=0.50 business=CLOSED_PERMANENTLY (non-operational)
6201,Food Story,Ha-Prakhim St 68,0.167,"הפרחים 68, ניצני עוז, Israel","Ha-Prakhim St 68, Nitzanei Oz, Israel",246,,,,,no,https://maps.google.com/?cid=16093100461969595554&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA,0.7,flagged,dist=246m name=0.17 needs-review
5568,פביוס פיצה,פיצה פביוס יבנה Fabios Pizza Yavne,1.000,"שד' דואני 20, מרכז מסחרי לב יבנה, Israel","מרכז מסחרי לב, שדרות דואני 20, יבנה, 81551, Israel",23931,OPERATIONAL,08-942-0960,4,274,yes,https://maps.google.com/?cid=16091616843940060278&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA,0.2,no_match,dist=23931m name=1.00 no-match
5022,פאלאס,Waldorf Astoria Jerusalem,0.083,"אגרון 26, ירושלים, Israel","Gershon Agron St 26-28, Jerusalem, 9419008, Israel",125,OPERATIONAL,02-542-3333,4.6,4276,yes,https://maps.google.com/?cid=16740845258508265519&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA,0.7,flagged,dist=125m name=0.08 needs-review
2580,ארקפה,ארקפה קיסריה Arcaffe Caesarea,1.000,"הרקיע 1, קיסריה, Israel","ונוס קיסריה, Ha-Rakia St 1, Caesarea, 3070216, Israel",112,OPERATIONAL,072-241-9303,4,834,yes,https://maps.google.com/?cid=13620114599354302625&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA,0.88,verified,dist=112m name=1.00 near+name
2525,סאן סושי ונודלס,San Sushi Ashdod,0.500,"שדרות הנשיא בן צבי 1, נהריה, Israel","Ha-Gdud ha-Ivri St, Ashdod, Israel",141735,OPERATIONAL,08-930-1255,3.7,421,yes,https://maps.google.com/?cid=4243936532338521410&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA,0.2,no_match,dist=141735m name=0.50 no-match
3225,האופה מבגדד,האופה מבגדד,1.000,"רוטשילד 45, בת ים, Israel","Rothschild St 40, Bat Yam, 59876, Israel",145,OPERATIONAL,03-505-0043,4.2,29,yes,https://maps.google.com/?cid=12674829839202886468&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA,0.88,verified,dist=145m name=1.00 near+name
5938,Big Ben Pizza חדרה,פיצה ביג בן חדרה,1.000,"התנאים 1, חדרה, Israel","HaTana'im St 1, Hadera, 3832301, Israel",171,OPERATIONAL,077-204-0977,4.4,85,yes,https://maps.google.com/?cid=1380945828913023945&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA,0.88,verified,dist=171m name=1.00 near+name
6250,פיצה אורגנו,Oregano Pizza Kadima,0.333,"החסידה 1, קדימה, Israel","בן צבי 78, קדימה צורן, Israel",61,CLOSED_PERMANENTLY,09-777-7747,4.3,49,yes,https://maps.google.com/?cid=12099803832565392354&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA,0.4,flagged,dist=61m name=0.33 business=CLOSED_PERMANENTLY (non-operational)
7221,B-FRESH - בילינסון,"B-FRESH בלינסון פ""ת",0.846,"זבוטינסקי 39, פתח תקווה","זאב, רחוב זאב ז'בוטינסקי 39, פתח תקווה, Israel",2133,OPERATIONAL,052-474-2466,3.3,4,yes,https://maps.google.com/?cid=12588815335070658724&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA,0.2,no_match,dist=2133m name=0.85 no-match
1934,בלחמניה,Big Eilat,0.167,"הסתת 20, ביג אילת, Israel","Ha-Satat St 20, Eilat, Israel",20,OPERATIONAL,072-274-8888,4.3,13259,yes,https://maps.google.com/?cid=11810556187410836740&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA,0.6,flagged,dist=20m name=0.17 proximity-name-mismatch
2845,חצ'פורי ליאון,חצ'פורי לאון,1.000,"זבולון 2, קרית אתא, Israel","Zevulun St 9, Kiryat Ata, Israel",22,OPERATIONAL,,5,1,no,https://maps.google.com/?cid=18218558588438231194&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA,0.95,verified,dist=22m name=1.00 close-proximity
4444,סביח מלכה,סביח מלכה - Sabich Malka,1.000,"המלך ג'ורג' 46, תל אביב, Israel","King George St 46, Tel Aviv-Yafo, 6329808, Israel",11,CLOSED_PERMANENTLY,,4.9,89,yes,https://maps.google.com/?cid=11102211461297117614&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA,0.4,flagged,dist=11m name=1.00 business=CLOSED_PERMANENTLY (non-operational)
4890,ברמן,Berman Bakery,1.000,"בית הדפוס 24, ירושלים, Israel","Beit Ha-Defus St 24, Jerusalem, 9548329, Israel",85,OPERATIONAL,02-652-2241,4.1,191,yes,https://maps.google.com/?cid=5938533545676091756&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA,0.88,verified,dist=85m name=1.00 near+name
566,שווארמה ובשרים,מפגש חברים,0.357,"אשדוד, Israel","Kibuts Galuyot St 1, Ashdod, Israel",968,OPERATIONAL,08-852-1752,4.3,120,yes,https://maps.google.com/?cid=9552667259260125996&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA,0.2,no_match,dist=968m name=0.36 no-match
1929,פיצה צ'ולו,פיצה צ'ולו,1.000,"מבצע עובדה 22, באר שבע, Israel","Mivtsa Uvda St 22, Be'er Sheva, 8446027, Israel",510,OPERATIONAL,077-505-1553,3.4,36,no,https://maps.google.com/?cid=15803932644993635557&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA,0.7,flagged,dist=510m name=1.00 needs-review
5978,הרש'יס פיצה,הרשי'ס פיצה,1.000,"דברי חיים 20, נתניה, Israel","Divrei Khayim St 20, Netanya, Israel",254,OPERATIONAL,072-255-7557,4.2,66,yes,https://maps.google.com/?cid=16111581250270350361&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA,0.7,flagged,dist=254m name=1.00 needs-review
2505,בזיליקום,Ha-Histadrut St 6,0.000,"ההסתדרות 6, חצור הגלילית, Israel","Ha-Histadrut St 6, Hatzor HaGlilit, Israel",265,,,,,no,"https://maps.google.com/?q=Ha-Histadrut+St+6,+Hatzor+HaGlilit,+Israel&ftid=0x151c21f3579fad11:0xc33b582c54b15b6d&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA",0.2,no_match,dist=265m name=0.00 no-match
4643,בורגרים,Burgerim,0.833,"מצדה 9, פרדס כץ, בני ברק, Israel","מגדלי בסר 3, מצדה 9, Bnei Brak, Israel",64,OPERATIONAL,03-537-8823,4.1,444,yes,https://maps.google.com/?cid=14319596512283063919&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA,0.95,verified,dist=64m name=0.83 close-proximity
1471,"מאפיית איכות חורי בע""מ","מאפיית איכות חורי בע""מ",1.000,"הרצל 33, שדרות, Israel","מול בנק הפועלים, הרצל 33, שדרות, Israel",62,OPERATIONAL,08-689-1212,4.6,482,yes,https://maps.google.com/?cid=3498055830545772911&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA,0.95,verified,dist=62m name=1.00 close-proximity
4534,הפלאפל של הג'ינג'י,פלאפל הג'ינג'י - פלאפל חולון - שניצל חולון,0.500,"חיים ויצמן 1, חולון, Israel","Haim Weizman St 1, Holon, Israel",23,OPERATIONAL,054-433-4009,4.4,493,yes,https://maps.google.com/?cid=10405623050951808954&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA,0.95,verified,dist=23m name=0.50 close-proximity
5363,פיצה שמש,Pizza Shemesh,1.000,"דרך יצחק רבין 15, בית שמש, Israel","Derech Yitshak Rabin 15, Beit Shemesh, Israel",1263,OPERATIONAL,02-586-9444,4,469,yes,https://maps.google.com/?cid=870062509193755146&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA,0.2,no_match,dist=1263m name=1.00 no-match
6866,סטייג',Maale Adumim Cultural Hall,0.077,"דרך מדבר יהודה 8, מעלה אדומים","דרך מדבר יהודה 8, Derekh Midbar Yehuda 5, Ma'ale Adumim",457,OPERATIONAL,02-544-4100,4.6,474,yes,https://maps.google.com/?cid=8094195362494204855&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA,0.2,no_match,dist=457m name=0.08 no-match
3996,ריבר נודלס בר,rebar,0.375,"לב העיר 2, קניון מודיעין, Israel","Lev ha-Ir St 2, Adamowice, Israel",73,OPERATIONAL,08-971-7554,3.7,110,yes,https://maps.google.com/?cid=8916821134416893387&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA,0.95,verified,dist=73m name=0.38 close-proximity
2535,אדן אספרסו בר,Wine Bar by Andre Suidan,0.250,"אנדרי סחרוב 9, חיפה, Israel","HaNassi Blvd 98, Haifa, Israel",3208,OPERATIONAL,058-427-4558,4.7,449,yes,https://maps.google.com/?cid=6499151719812483270&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA,0.2,no_match,dist=3208m name=0.25 no-match
5492,מייק בורגר,Mike Burger מייק בורגר נס ציונה,1.000,"ויצמן 22, נס ציונה, Israel","Weizman St 22, Ness Ziona, 7403019, Israel",8,OPERATIONAL,08-930-0949,4.2,251,yes,https://maps.google.com/?cid=1386298087537635060&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA,0.95,verified,dist=8m name=1.00 close-proximity
7306,קפה קפה,Cafe Cafe,0.111,"יגאל אלון 53, יד אליהו, תל אביב, Israel","Yigal Alon St 53, Tel Aviv-Yafo, 6706206, Israel",19,CLOSED_PERMANENTLY,077-408-0588,3.9,611,yes,https://maps.google.com/?cid=7544457236922523223&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA,0.4,flagged,dist=19m name=0.11 business=CLOSED_PERMANENTLY (non-operational)
1631,טאג'ין,וולטר פארק,0.125,"האורגים 22, נמל אשדוד, Israel","HaOrgim St 2, Ashdod, Israel",60,OPERATIONAL,08-852-9311,4.4,207,yes,https://maps.google.com/?cid=15116059778820852276&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA,0.6,flagged,dist=60m name=0.13 proximity-name-mismatch
4407,שופרא רומה,שופרא רומה,1.000,"ויצמן 17, יהוד, Israel","Weizman St 13, Yehud-Monosson, Israel",342,OPERATIONAL,03-624-5755,4.6,94,yes,https://maps.google.com/?cid=5900119166404064205&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA,0.7,flagged,dist=342m name=1.00 needs-review
2689,פיצה האט,Pizza Hut,1.000,"קרית אתא, Israel","Kiryat Ata, Israel",4160,OPERATIONAL,,3.5,726,yes,https://maps.google.com/?cid=9087568287286287869&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA,0.2,no_match,dist=4160m name=1.00 no-match
5800,מאפיית שיבולת הארץ,שיבולת הארץ,1.000,"סוקולוב 17, הרצליה, Israel","Sokolov St 17, Herzliya, Israel",675,OPERATIONAL,09-955-6622,4.2,54,yes,https://maps.google.com/?cid=1057021484347057389&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA,0.7,flagged,dist=675m name=1.00 needs-review
