buckets,id,final,source,old_name,old_address,old_lat,old_lng,google_place_id,google_name,google_address,google_lat,google_lng,name_sim,distance_m,business_status,food_signal,google_primary_type,google_types,google_phone,google_rating,rating_count,opening_hours,has_photo,photo_name,photo_attribution,llm_verdict,llm_conf,llm_reason,google_maps_uri,resolved_final,collision
LLM low-sim (<0.4)|LLM (other),5711,verified,llm,פיצה השף,"תל חי 33, כפר סבא, Israel",32.1740328,34.9139797,ChIJwf9LzLY5HRURcvJNkIOxHFE,Pizza Chef,"Tel-Hay St 33, Kefar Sava, Israel",32.1737073,34.9138018,0.250,40,OPERATIONAL,food,pizza_delivery,pizza_delivery;meal_delivery;food_delivery;food;point_of_interest;establishment,09-766-2593,4.6,105,Monday: 12:30 – 11:00 PM | Tuesday: 12:30 – 11:00 PM | Wednesday: 12:30 – 11:00 PM | Thursday: 12:30 – 11:00 PM | Friday: Closed | Saturday: 8:00 – 11:00 PM | Sunday: 12:30 – 11:00 PM,yes,places/ChIJwf9LzLY5HRURcvJNkIOxHFE/photos/AaVGc3kf7dMd0HqK-1sVVAmVuqv8CD4YKOhGBcSOZHxmswPwazTVFu_Zm727FJ6tklXvR1PC8dtYPADY3-KhIaKL53HVsIJP7bsyUdsXmQ1yriSK7KBObYfBYggPp-OpkD3bfK4Mr2NohWbiNxtJNTX1_xvDpujMilbcgXcDdyw-CuOF_ahntv2ZVibtRXiVqTj2hLGzloDZkxeM-Y3hB98DIhhpKv3JdhzNqTnjpRZpeAPCNnUc8H_QSKekaKqIVsgBQMOdG0VJFFqkxsAQ4_uJxXAKElwXTd3K4MwyLGbXWwykEfRjc6DcfxawHQcGXvcBdnuZm7oija88wKJj8J4GHCiCFVY8hUxmdw0vOJWKB7b35InQvmY2RFGcqx4jHlpMm6Rgpdly0sNUCOzh24jdFVf-cJyieUQl8gMKyle2Rjf0jGw,Eyal Levi,yes,0.98,"Matching unique name (Hebrew 'פיצה השף' = 'Pizza Chef'), identical street (Tel-Hay/תל חי), same house number (33), same city (Kefar Sava), minimal distance.",https://maps.google.com/?cid=5844741595039920754&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA,verified,
LLM low-sim (<0.4)|high distance (>1km)|chain name|resolved-collision winner|LLM (other),3143,verified,llm,ארקפה,"מצדה (כנרת) 5, פרדס כץ, בני ברק, Israel",32.0873899,34.8324376,ChIJPZfqeylKHRURu7w6lhJZ1eg,Arcaffè,"Kinneret St 5, Bnei Brak, 6515252, Israel",32.0947008,34.8242547,0.250,1120,OPERATIONAL,food,cafe,cafe;deli;bakery;food_store;food;store;point_of_interest;establishment,050-670-4777,4.1,339,Monday: 7:00 AM – 7:00 PM | Tuesday: 7:00 AM – 7:00 PM | Wednesday: 7:00 AM – 7:00 PM | Thursday: 7:00 AM – 7:00 PM | Friday: Closed | Saturday: Closed | Sunday: 7:00 AM – 7:00 PM,yes,places/ChIJPZfqeylKHRURu7w6lhJZ1eg/photos/AaVGc3lUZ2IEaNF40-wKOZ4saXXjZJnZbh0p_nI0Au6fhgvoSYoVnueXbWGnAnFcX7EyyG-GrblENtVl3yoNL9IcqX-sMMy0yYNEpUjwUtv0DBK5lKEY_DRka2XLJO4EjfsaoKmDI6kLLfzNSl0VegNcLbN0oQvYMGNwwgwJNVBZq3zYUUWq9x6UMtVy9Ke1y024jnlzUFiB9-hn6cd1kR1OTqCtOENxdakES4-L7FFg9OVhPArLMWyuN4Zner1EbjR75XHGYvUBoLc4pJJGzbW15YXaNyQVGQ-GVajo4RcAfMDWRbMSNfCFLMbx_LNxBue_zqca5hw9yW96H0YDJarfI5S2E8wu4FCMAoypoUSbBL8UDDO2JYTcO0qYFgLw1G8klehrTVriaYdEwfg_lkC-nwQMAK2yQtRv23SsFy1ln1is5A,משה דולב,yes,0.95,"Chain name 'ארקפה' (Arcaffè) matches exactly. Address components align: street 'מצדה (כנרת)' = 'Kinneret St', house number 5 matches, city Bnei Brak matches. Large distance (1120m) is likely coordinate error, not a disqualifier for chain stores. Street and house number clearly match.",https://maps.google.com/?cid=16777413923203366075&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA,verified,
LLM low-sim (<0.4)|high distance (>1km)|LLM (other),6820,verified,llm,Leonie,"איינשטיין 139, חיפה",32.794,34.9896,ChIJM4Up7-G7HRUR25saJgIQm3Y,לאוני איינשטיין,"Albert Einstein St 139, Haifa, 3460177, Israel",32.7773051,35.0006748,0.250,2126,OPERATIONAL,food,deli,deli;coffee_shop;cafe;food_store;store;food;point_of_interest;establishment,074-772-5315,4.4,86,Monday: 7:30 AM – 7:00 PM | Tuesday: 7:30 AM – 7:00 PM | Wednesday: 7:30 AM – 7:00 PM | Thursday: 7:30 AM – 7:00 PM | Friday: 7:00 AM – 3:00 PM | Saturday: Closed | Sunday: 7:30 AM – 7:00 PM,yes,places/ChIJM4Up7-G7HRUR25saJgIQm3Y/photos/AaVGc3m-_DMtd7FUqD6djhYUvfBEqrwIbluRpfKDc63gf0S0zilDzShvu6gPhDxW8ofk1O8Z54ZOSHHVeL1ZhhnDNUJ1ZQDaHzE6Ot45bIW1B_NVijCSUjNLLGj11fj3tXVMdTnrKcEfJLqjyDxofMgaVjyB0_sTevGt2GA1XGwlaCSkQUg4jCIkZJtworfVtOF9NSgjIthP3CL55pSNnVPtgYUlkkHMsk8lTTUhCnxK7VWvjDcrYNXdPujTyHcfM2hq0rSmzzOG0snLrkthAbsKlOR3hS-RcNjgxrk0leZsDmuPrHApgwT_MO3G8rpNGbpjs4SrMNoUlw-7ofscwdyULmOGtJBrqp6O6t6Fs8suUphtee0GDVYhoE_-v2F7xb5igasgy4wuIFFfReSpTTWDuGuTrtTbd4h7BWOCdsRaQJCP4g,לאוני Leonie,yes,0.95,"Name matches (Leonie/לאוני are the same business). Street and house number align perfectly (Einstein/איינשטיין 139). Distance of 2126m likely reflects coordinate error in our database, not a different location. Same city (Haifa/חיפה). Unique name strongly supports match.",https://maps.google.com/?cid=8546442319280905179&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA,verified,
LLM low-sim (<0.4)|LLM (other),4258,verified,llm,ריבר נודלס בר,"אריאל שרון 3, אור יהודה, Israel",32.0217001,34.853173,ChIJj39UIKdKHRURm6NVS8fJsxk,River,"Ariel Sharon Blvd 3, Or Yehuda, Israel",32.0204904,34.8598186,0.250,641,OPERATIONAL,food,asian_restaurant,asian_restaurant;sushi_restaurant;japanese_restaurant;restaurant;food;point_of_interest;establishment,03-716-1520,3.9,864,Monday: 12:00 – 11:00 PM | Tuesday: 12:00 – 11:00 PM | Wednesday: 12:00 – 11:00 PM | Thursday: 12:00 – 11:30 PM | Friday: Closed | Saturday: 7:30 – 11:30 PM | Sunday: 12:00 – 11:00 PM,yes,places/ChIJj39UIKdKHRURm6NVS8fJsxk/photos/AaVGc3kGSqLzlZtuh99aLX52bK9EObUcs6bvMjnzW3rTp8qJokWKM-lhrUBq9N5-8v_VBIB6hs8YO01fvjJDwjDhDTcA2HrkaYDsjSM4z575Q8djvOKtyVO9F01lOqzv1E4WYEPXE06pg-mLJfTzyIYM89JdbrO8YfG1yZskrdg0EdrsurnwrQ-X23zXPjzFaNS5_fqtuvEnr7a4xJbkDEkMmdHdmXt2CevijGbxZPUSrSs27TXf-UH4FyCVg8lHbtT61h31ycn5jMimICrz1YWta1-dRJDfiVGMThOLd3jV1RwOwWveYG2RYHBsN_4oPSy6lJeQoLfqk6KHyJvq1RlALiEios03-YFApXe8CyYKHD1mSj_oUus5vRrZBdFuDTO0HW5Z5QqmJXf34QNvc8Ac1IXFkg_xsU6GxJ1bLbK1AzNx0g,Shai Sherman,yes,0.92,"Strong match: A's name 'ריבר נודלס בר' (River Noodles Bar) clearly translates to B's 'River'. Street and house number match exactly (Ariel Sharon 3 / Ariel Sharon Blvd 3). Distance of 641m likely due to coordinate imprecision, not unusual for our database. Same city (Or Yehuda). Unique name and address alignment confirm same physical business.",https://maps.google.com/?cid=1852045729578984347&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA,verified,
LLM low-sim (<0.4)|LLM (other),5518,verified,llm,גוג'ו,"טלר 32, רחובות, Israel",31.8956289,34.8109288,ChIJMduiRAS3AhURdSWx8DsptL4,Gojo Restaurant,"Israel Teller St 32, Rehovot, Israel",31.895542699999996,34.8109693,0.250,10,OPERATIONAL,food,ethiopian_restaurant,ethiopian_restaurant;cajun_restaurant;indian_restaurant;meal_takeaway;american_restaurant;event_venue;restaurant;food;point_of_interest;establishment,08-996-4644,4.7,1228,Monday: 12:00 – 9:30 PM | Tuesday: 12:00 – 9:30 PM | Wednesday: 12:00 – 9:30 PM | Thursday: 12:00 – 9:30 PM | Friday: 11:30 AM – 2:00 PM | Saturday: Closed | Sunday: 12:00 – 9:30 PM,yes,places/ChIJMduiRAS3AhURdSWx8DsptL4/photos/AaVGc3kNfiyrZJA-wPvzOLOjDKkblknO7IEI3YYgNPVHx0DavBezWJisLhbBS1EKuiJDPBwP8OhhIIwOn1MXGbtDcw-V02ALn9Xf-SW6P7bFeGKnEm-XhR0VJeEXbMrVfRb1u1XEE1sAw2IFfxX5gPtZ5y4-XrdGVexrxK7WVTAi7K9QNc7V4a2rqfB2Xz4ALOjXiJOMajU6F3IGqs9GxLREpbql2Cyu8vRz6uht4itipuPa1AYtwUFkfD9CRKZ3Bw-rPh4JBb-IAi0SqWYivpvVH6EzCYclH4mcSxkBXFYJSXX93rfHa1akG86rolg8l9TMCKHkDp4f1RrUUJO4d9PrMmqHvh9fuMXl2okozxgkyT3c-oENuUhpuSKewGrwqAsnnLV-Gx3YxbtAHfmNI-o38OW4HcbWZ0iNV6-T9c4iSMCNdg,גוג'ו מסעדה אתיופית רחובות,yes,0.95,Strong match: 'גוג'ו' (Gojo) transliterates to 'Gojo Restaurant'; identical street (Teller/Teller) and house number (32); same city (Rehovot); 10m distance within expected GPS variance.,https://maps.google.com/?cid=13741653700432176501&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA,verified,
LLM low-sim (<0.4)|high distance (>1km)|LLM (other),7167,verified,llm,קפה נטו גילמן,"בניין גילמן אוניברסיטת תל אביב, תל אביב",32.0853,34.7818,ChIJMbrGn2VJHRURnn_5h_MDdlc,Cafe Neto,"בניין גילמן פקולטה למדעי הרוח באוניברסיטת, Tel Aviv-Jaffa, Israel",32.11266560000001,34.804516,0.286,3720,OPERATIONAL,food,cafe,cafe;food;point_of_interest;establishment,09-955-4040,3.9,226,Monday: 7:30 AM – 6:00 PM | Tuesday: 7:30 AM – 6:00 PM | Wednesday: 7:30 AM – 6:00 PM | Thursday: 7:30 AM – 6:00 PM | Friday: Closed | Saturday: Closed | Sunday: 7:30 AM – 6:00 PM,yes,places/ChIJMbrGn2VJHRURnn_5h_MDdlc/photos/AaVGc3m1FYzrb8M6pqIZWq6SWfaJY6iZYljFFVjolL9DYNuGoxDh__by6GwGavqnm0tf3mBxYu1nI05kku6VpJyDcRuLnE0Q0nrb9oHZERPsk-YjHWPrzDQt7mZzv_yKaFmLw1x2E9EdnKRiwEyy40wAANcONuktOhIE2oFo-ilDRpvMvr_71htjWHufk1ItDRN-ehkFbaRW8QSiJg_46jb2i6anP0etqWFY6xcZoa3xJIaIYSClzUVZLTH0pk_hRUnRG7XEW0YJSNyzMZJQUrQXl8HuFFBnD-junBrIsOfqsBUEGIjOL0ep4poq7tLl86FMkQ_nwNE-KdLq1Tl6tpj9HyK5DzmuiiPcRW4VZuvXseey7wVdeP2k_gmqT5YsngYWAX4Mdm2CrKocO4cZ04Gr1Ov3xKlaKxxsIA0t0gNH_8zvqg,Ola Shmerling,yes,0.95,"Unique name 'קפה נטו' (Cafe Neto) matches exactly. Both addresses refer to Gilman Building at Tel Aviv University. Large distance (3720m) is likely a GPS error, not a dealbreaker given strong name match and identical building reference. Both are food businesses in the same university building.",https://maps.google.com/?cid=6302229073044799390&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA,verified,
LLM low-sim (<0.4)|high distance (>1km)|LLM (other),6997,verified,llm,PizzaGarage פרישמן,"פרישמן 16, תל אביב",32.0853,34.7818,ChIJjxd6S3lMHRURkMd82YamCXw,Pizza Garage,"Frishman St 16, Tel Aviv-Yafo, Israel",32.0798079,34.769370099999996,0.333,1321,OPERATIONAL,food,pizza_restaurant,pizza_restaurant;pizza_delivery;meal_delivery;food_delivery;restaurant;food;point_of_interest;establishment,03-522-4448,4.3,509,Monday: 11:00 AM – 10:00 PM | Tuesday: 11:00 AM – 10:00 PM | Wednesday: 11:00 AM – 10:00 PM | Thursday: 11:00 AM – 11:00 PM | Friday: 11:00 AM – 4:30 PM | Saturday: 7:30 – 11:00 PM | Sunday: 11:00 AM – 10:00 PM,yes,places/ChIJjxd6S3lMHRURkMd82YamCXw/photos/AaVGc3laMaXU9awjxwpSoQDxRg0GHRv2erixx23KmqTx2upeVoVsrO652HUgdC5LPOrJjxsbMEbVIqotO1Ck4qM9IbAR81UVrcixtmDbvUGgX8gyfgenaGGqNHO4oD0zSe4dab3bpVWEDQHGDEsstbp4tjKFjim3_k07b98_WdjHkD8zv7iHRdMOVT_mg7cVQlmZZgpfYtp1DzRSwmejU2KK7gX8Ft6lPqxBjJN_cSFFAni8nuFqi-qZAy3hyVs_FlQcGz0VOj3h0wa8fTKhzSZPoJg_xEoI5lL-oHs2mk9kLesyZRQWyeRRdiZ2n24wy0m-vPkK4DIlHZoFp15nkW9GSPIlYg5ioEZ4zKj4X0gCORP3J-pBAFjITuAuUg5TS30CEXdUs77acqr6CKlrDNKALM0aPHu4EcHbvBaPvJiY62nWvg,פיצה גראז' פרישמן,yes,0.98,"Name matches exactly (PizzaGarage). Street name matches (Frishman/פרישמן). House number 16 matches. City matches (Tel Aviv). Distance of 1321m is likely a coordinate error, not a dealbreaker given perfect address string alignment.",https://maps.google.com/?cid=8937858033598121872&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA,verified,
LLM low-sim (<0.4)|high distance (>1km)|LLM (other),6580,verified,llm,Mula Botani,"הגן הבוטני האוניברסיטאי, גבעת רם, ירושלים",31.7683,35.2137,ChIJX3JADsXXAhURaV3H0yR1F1o,Jerusalem Botanical Gardens,"Yehuda Burla St 1, Jerusalem, Israel",31.765788499999996,35.2018268,0.333,1157,OPERATIONAL,other,botanical_garden,botanical_garden;point_of_interest;establishment,02-679-4012,4.3,8389,Monday: 9:00 AM – 7:00 PM | Tuesday: 9:00 AM – 7:00 PM | Wednesday: 9:00 AM – 7:00 PM | Thursday: 9:00 AM – 7:00 PM | Friday: 9:00 AM – 3:00 PM | Saturday: 9:00 AM – 6:00 PM | Sunday: 9:00 AM – 7:00 PM,yes,places/ChIJX3JADsXXAhURaV3H0yR1F1o/photos/AaVGc3lGIuohHDpskZZItygoSyTg7icANfO8kqPORajb5Ub-KtZkvlbO3I7QzAcNr3s1JNyms5YsVsYChfdyeA7zna0eeSrfF0D9XyYrc6zyU3EPzjbHEVqrZs5Zwt6pNNUbGZbzJtgBTHYMQ6E-PXVkr_5iUi6BOeKXA1RIqYKsnT6ZHwHdTFZaWO2-xo8izc9DAPVZSEzBldGFudYJ3s1kjS1q96tZvEjnXhso1XWKgUjXWZ9jJPHAzfuTYIK5eFgzCq685tgTjQ-LaVStR8oh3pyEOe_6qWNfkBPFbIdbPAMLZo2IhjWygW0j3rLdPwNPTmuEiQE6oIHWlOXss3tDxFjNPhM8KqmkaKEJUJUStLCM8YGYljMfaGZgWKWq-AUcjuDPQUH-wxcQRh6XcyxmJd0HgFlV6ah5fauKZ-Qa3jKcZQ,הגן הבוטני האוניברסיטאי בגבעת רם,yes,0.95,"Both refer to the University Botanical Garden in Jerusalem (Gan Botani). 'Mula Botani' appears to be a restaurant/café within the botanical garden. Google's listing uses the garden's English name. The 1157m distance is likely due to coordinate inaccuracy in our database, but the street address (Yehuda Burla St 1) matches the botanical garden's location. The unique name match and same city confirm this is the same physical location.",https://maps.google.com/?cid=6491786188910189929&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA,verified,
LLM low-sim (<0.4)|high distance (>1km)|LLM (other),4044,verified,llm,טוצ'קה,"דרך יצחק רבין 6, פתח תקווה, Israel",32.1971789,34.9564133,ChIJc1Ma_f1JHRURaecSjeriQYY,Tuchka,"Derech Yitshak Rabin 6, Petah Tikva, Israel",32.0888354,34.8618642,0.333,14979,OPERATIONAL,food,restaurant,restaurant;food;point_of_interest;establishment,03-523-5935,4.2,443,Monday: 7:00 AM – 8:00 PM | Tuesday: 7:00 AM – 8:00 PM | Wednesday: 7:00 AM – 8:00 PM | Thursday: 7:00 AM – 8:00 PM | Friday: 7:00 AM – 3:00 PM | Saturday: Closed | Sunday: 7:00 AM – 4:00 PM,yes,places/ChIJc1Ma_f1JHRURaecSjeriQYY/photos/AaVGc3nENvuOB7l3RqDvJv7fq-feBcjcmWbCOwJgE9ykR-QZooupSP9OyLk3m-7R_8zVl_6-ykmmJBa4SVIQBB9Oz0JxORYBqPhv_8Bg45urQc47BE5W_fR7-0zA55bs6xgSMeA2aaIpcj5t3CmLSmE7gUEUNiKOL1kiRWsvHLvaqed7nH-2EmZWVxqJLOSmMNoOVYM0BTWBMu8zSuOGBK9rR2rEwvgXHTGmJkaGZyvBk2Hg5jAFeooFkJjRHGLy_PqGdWl5Dc4eF22cf-sr0e3P7JiTlb9BZBwLTsSpM-P360JREatRvNMpVMjSnfLekH9SG-n9YGe7NzMyxowVXhbebYCbaFuHxbWQcFLD6CvHLbxsdQXpCIorRlUL3sZY5J6fzh2uugN2KKDLEM0iS3bKbHPoQn9np6DeWSXrB7q0fZrrSg,Naftali Tannin,yes,0.95,"Exact street address match (Derech Yitshak Rabin 6, Petah Tikva), and 'טוצ'קה' (Tutchka/Tuchka) is a transliteration match. Large distance_meters value appears to be a data error; street address and house number are identical. Unique restaurant name reinforces match.",https://maps.google.com/?cid=9674262971585587049&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA,verified,
LLM low-sim (<0.4)|LLM (other),3100,verified,llm,לה לזניה,"דיזנגוף 177, תל אביב, Israel",32.0852822,34.7743758,ChIJb9QkL4hLHRURG8LPvPfgTKk,La Lasagna,"Dizengoff St 177, Tel Aviv-Yafo, Israel",32.085213599999996,34.77441880000001,0.333,9,OPERATIONAL,food,restaurant,vegetarian_restaurant;restaurant;food;point_of_interest;establishment,03-523-0037,3.8,900,Monday: 11:00 AM – 10:30 PM | Tuesday: 11:00 AM – 10:30 PM | Wednesday: 11:00 AM – 10:30 PM | Thursday: 11:00 AM – 11:00 PM | Friday: Closed | Saturday: 6:30 PM – 12:00 AM | Sunday: 11:00 AM – 10:30 PM,yes,places/ChIJb9QkL4hLHRURG8LPvPfgTKk/photos/AaVGc3m14vVcAdtVhRzcRXoym5xzx9tM-f1LhWcve9tLj48nPu1MiyXBC1xJeTbPum_V3DyvlQfM1Ny73Ip_8a6nQEX-0Js4h038afxHUw9TnGIZwmpgo1RoCZ6gql2_rbWUJ8Sx4vwdQZ_b4oL98BlE3gNR8XqaJCcFFGRc5-vWQbmmLXEYcVqf0v7B7ZTJn13GQXwKY_i6O-wd-twbCpp5dg19e-GmvXcaOxvhZPiorIrCqk13iT_RgAg820YiQgM68xVVnPs1GKBHnQs9m40PhZzkkbhjh9pj8-ULS3It0fcroUTnMNnF3ajoSj3AJ3Dt7G7FfyOCh7-i5H1CZ00SqbSny0y3IN9zXTtBFtTcgnzLMfnIe3-99sYtOPxhdGIDUqYn08Yuz8kntYoR0S3mB10AspDpTcU40aELWLNp96acQA,La Lasagna,yes,0.99,"Name matches (Hebrew 'לה לזניה' = English 'La Lasagna'), identical street address (Dizengoff 177, Tel Aviv), same house number, minimal distance (9m likely GPS variance). Strong unique name, food business.",https://maps.google.com/?cid=12199372845269107227&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA,verified,
LLM low-sim (<0.4)|high distance (>1km)|LLM (other),6218,verified,llm,פיצה רונדו רעננה,"אחוזה 68, רעננה, Israel",32.1825932,34.8655222,ChIJM7x8poE5HRURRa7_s4n_WSI,Pizza Rondo,"Ahuza St 68, Ra'anana, 4320938, Israel",32.179363300000006,34.8810959,0.333,1509,OPERATIONAL,food,pizza_restaurant,pizza_restaurant;restaurant;food;point_of_interest;establishment,09-880-7537,4.2,298,Monday: 11:00 AM – 11:00 PM | Tuesday: 11:00 AM – 11:00 PM | Wednesday: 11:00 AM – 11:00 PM | Thursday: 11:00 AM – 11:30 PM | Friday: 10:30 AM – 3:00 PM | Saturday: 5:40 – 11:30 PM | Sunday: 11:00 AM – 11:00 PM,yes,places/ChIJM7x8poE5HRURRa7_s4n_WSI/photos/AaVGc3nu9ZkJoqj5aL3PsjDCGXXSvuKU6ohapjgcK-HyGKk8jWssrkvvjkiQv02xyTQd0bBkqZUki3YrEb_8MpYeENrcBD8eEaeT9IF7Gd3zI4kHQjYxkBGK9Xllcxr0j2qprJDfKT0xkwg7xsX8nzwfl9cLo-NyOVM8-Xj6qs12TfdeL-alRTsCslipxH5y59N-nT41gWb873qvA-TUBw5kGX_wVrhUiaVoFXUps79XyqBVe9HSPdB0adc_-8mzYGgscdn9Shz5kyEgJgY_wu7a7hUYhBPH_8WGi-XLbx2qdGw2YnzCDocgG4X5YxBfTEjljMI0PXxmXuOhCwinrVSHTVLuoCd-2XtxzxMejRaULnLTeBauZupbdPrNzkbA7Darzpdebpab2DmSG1HWWD-bZl4ObTjkLZRywPKYFiK5JZ1K_dWc,Moises Zack,yes,0.95,"Name matches (Hebrew 'פיצה רונדו' = 'Pizza Rondo'), street and house number identical (Ahuza 68), city matches (Ra'anana/רעננה). Distance of 1509m likely due to coordinate inaccuracy in our database, but address details align perfectly.",https://maps.google.com/?cid=2475290437112278597&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA,verified,
LLM (other)|LLM low-sim (<0.4),4240,verified,llm,לה-קוקט,"נחלת בנימין 13, תל אביב, Israel",32.068112,34.770194,ChIJxyJdvoNMHRURLk8Qu0wBzRA,Le Coquette - Restaurant,"Nahalat Binyamin St 13, Tel Aviv-Yafo, Israel",32.0681474,34.770129,0.333,7,OPERATIONAL,food,coffee_shop,coffee_shop;pastry_shop;dessert_shop;cafe;confectionery;bakery;food_store;store;food;point_of_interest;establishment,03-516-3336,4.3,305,Monday: 7:00 AM – 6:00 PM | Tuesday: 7:00 AM – 6:00 PM | Wednesday: 7:00 AM – 6:00 PM | Thursday: 7:00 AM – 6:00 PM | Friday: 7:00 AM – 5:00 PM | Saturday: Closed | Sunday: 7:00 AM – 6:00 PM,yes,places/ChIJxyJdvoNMHRURLk8Qu0wBzRA/photos/AaVGc3kVSFWGTLNjd53OV3jtEnzQQ3UyD_tQXclsB7z5GSBsDwsw7FJnO4DEQMZD02Eh9Y8k4ZVg3h4mRXxBgGflevPVWpXGJAXEfgRRMMham9Icj-xDuQRRbSTSnsa_I29ODkWNlJDIfpwRz-VapmZpjj2VCNmDqrfYwOV2HVCKmsGCMfp6PkrnsebalL0kU8hGwQDuaqzW7guQttoxc5FHhW6xPNNJCbxSiQcaekHK9tA5UIZpAZ3fWThVIuMdxmSmxOnmVvS13YexUCI4heOaLfXSI6NWR7gcgShqOErtopJzoF5baW9yA52mA0_2T0eL10FryXIu9L19QYuQ3sUCl8INR3m8EKn4u25Wzlw58HOfqxS5AxUO_REoMosb0jEtlDD6DMKTnerOh_OF8wh-uPiuTrNliHX9J7NHzMsWAhYmXuan,לה קוקט - בית קפה קונדיטוריה,yes,0.99,"Perfect match: 'לה-קוקט' (La-Coquette) transliterates to 'Le Coquette'. Identical street address (Nahalat Binyamin 13, Tel Aviv), minimal distance (7m likely GPS variance). Unique restaurant name confirms this is the same physical business.",https://maps.google.com/?cid=1210625303900081966&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA,verified,
LLM low-sim (<0.4)|LLM (other),4433,verified,llm,סביח זיסמן הבורסה,"זיסמן שלום 3, מתחם הבורסה, רמת גן, Israel",32.0830368,34.8010862,ChIJERV4ar9LHRURDjxoKhetrsw,Sabih Frishman Branch Exchange,"Zisman Shalom St 3, Ramat Gan, Israel",32.0836313,34.8005523,0.357,83,OPERATIONAL,food,restaurant,restaurant;food;point_of_interest;establishment,03-559-4663,4.2,249,Monday: 9:00 AM – 8:00 PM | Tuesday: 9:00 AM – 8:00 PM | Wednesday: 9:00 AM – 8:00 PM | Thursday: 9:00 AM – 8:00 PM | Friday: Closed | Saturday: Closed | Sunday: 9:00 AM – 8:00 PM,yes,places/ChIJERV4ar9LHRURDjxoKhetrsw/photos/AaVGc3n8JYKI1gDtIfNXSiqLZfLOQ-TRePFfZushDRD8t2DJfs-ig5ym2Nw_UtbvmeyIucQv6Tl0JEAnUon38VYS05f6I9RIOW3oXctmNDIF_kFl-pRLUHaYQCDyKAWBmgWdmxT8IZBm_dAtjeKsSDWhUt6T6cDYEoPz8jioZM-jlwxtTIC0zy4SH3hl2utBOCRFQjZIEkWgLwE9iNEAsYNiVNTnSxrqC0RXQcoPfzJXg3wTJ-b9FHKS_VuXGr3uM4YqSrTZXwQn6Og8LblDdI2dvV5jvwBBYEbZS6kmH24h0GqHkfBviHMJ9PKcqmuLGtXLFhPeoOR1MFnDsUzF2wGrp2HuJ3kg63gAzDSnZfIy-6i_9iBlgAjQOcRquA7JfytgsyhWghQgiybu-8FfDdVqyPXMqTkJ8EIBIItihJMuz9JPlNOP,shlomi Bittan,yes,0.95,"Name matches (סביח זיסמן = Sabih Zisman/Frishman - transliteration variant), identical street address (Zisman Shalom St 3), same city (Ramat Gan), and 'הבורסה' (The Exchange) aligns with 'Exchange' in Google name. Distance of 83m is negligible for coordinate errors.",https://maps.google.com/?cid=14748916144692280334&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA,verified,
